Data	Abertura	Máxima	Mínima	Fechamento	Prior Cote Ajuste
28/08/2026 09:00	177645,00	179220,00	176425,00	177640,00	177822,00
27/08/2026 09:00	177670,00	178280,00	176105,00	177725,00	177489,00
26/08/2026 09:00	178005,00	179135,00	176910,00	177900,00	177497,00
25/08/2026 09:00	174565,00	177775,00	173875,00	177465,00	174753,00
24/08/2026 09:00	173480,00	176065,00	172000,00	174715,00	173918,00
21/08/2026 09:00	172250,00	175010,00	171025,00	174035,00	170877,00
20/08/2026 09:00	170650,00	172770,00	169310,00	170990,00	170929,00
19/08/2026 09:00	169635,00	173530,00	168680,00	171035,00	169311,00
18/08/2026 09:00	169640,00	171500,00	168555,00	169640,00	169863,00
17/08/2026 09:00	170245,00	171170,00	169385,00	169975,00	169904,00
14/08/2026 09:00	171100,00	171240,00	167975,00	169975,00	170311,00
13/08/2026 09:00	170665,00	171865,00	169370,00	170775,00	170864,00
12/08/2026 09:00	172260,00	172260,00	170225,00	170430,00	168017,00
11/08/2026 09:00	172325,00	172505,00	167565,00	168300,00	172422,00
10/08/2026 09:00	173025,00	173700,00	171670,00	172250,00	172608,00
07/08/2026 09:00	176420,00	176825,00	172275,00	172670,00	175857,00
06/08/2026 09:00	178400,00	178435,00	175550,00	175825,00	178180,00
05/08/2026 09:00	178990,00	180720,00	178030,00	178230,00	178350,00
04/08/2026 09:00	179225,00	181930,00	178020,00	178360,00	178561,00
03/08/2026 09:00	179590,00	179715,00	177410,00	178650,00	178845,00
31/07/2026 09:00	177470,00	179495,00	176985,00	178725,00	178002,00
30/07/2026 09:00	174995,00	178220,00	174510,00	177600,00	174638,00
29/07/2026 09:00	177985,00	178565,00	174000,00	174000,00	177649,00
28/07/2026 09:00	177010,00	179625,00	177010,00	177645,00	176554,00
27/07/2026 09:00	175440,00	176870,00	175065,00	176760,00	175012,00
24/07/2026 09:00	177860,00	177875,00	174700,00	174700,00	177811,00
23/07/2026 09:00	178400,00	179125,00	177400,00	178025,00	178924,00
22/07/2026 09:00	174250,00	179230,00	174245,00	178775,00	174590,00
21/07/2026 09:00	175245,00	175345,00	173500,00	174690,00	174782,00
20/07/2026 09:00	175580,00	175955,00	174530,00	174665,00	175208,00
17/07/2026 09:00	174550,00	176065,00	174515,00	175070,00	175423,00
16/07/2026 09:00	177505,00	178765,00	175100,00	175255,00	177844,00
15/07/2026 09:00	178050,00	178665,00	176980,00	177920,00	178561,00
14/07/2026 09:00	178140,00	179220,00	177285,00	178200,00	177537,00
13/07/2026 09:00	179670,00	180245,00	176990,00	177400,00	180138,00
10/07/2026 09:00	175900,00	180670,00	175900,00	180515,00	175049,00
09/07/2026 09:00	173025,00	175490,00	172460,00	175490,00	172698,00
08/07/2026 09:00	172230,00	173885,00	172005,00	172665,00	174095,00
07/07/2026 09:00	174370,00	175795,00	173545,00	173600,00	174658,00
06/07/2026 09:00	176600,00	176835,00	173855,00	174535,00	176602,00
03/07/2026 09:00	175725,00	177175,00	175300,00	176910,00	175254,00
02/07/2026 09:00	174560,00	177055,00	173910,00	175175,00	174269,00
01/07/2026 09:00	174005,00	174685,00	172050,00	174530,00	174816,00
30/06/2026 09:00	175910,00	176140,00	173025,00	174590,00	175886,00
29/06/2026 09:00	177200,00	177205,00	174980,00	175760,00	176252,00
26/06/2026 09:00	174000,00	176920,00	173765,00	176290,00	174994,00
25/06/2026 09:00	174310,00	176275,00	173755,00	174650,00	173671,00
24/06/2026 09:00	174500,00	174685,00	172210,00	174250,00	174367,00
