data;setup;nivel;lado;entrada;hora;saida;motivo;pts
2021-08-24;A;ABERTURA;VENDA;118910;09:00;09:01;STOP;-100.00
2021-08-25;A;ABERTURA;VENDA;121145;09:00;09:17;ALVO;196.67
2021-08-26;A;ABERTURA;COMPRA;121050;09:00;09:01;STOP;-100.00
2021-08-27;A;ABERTURA;VENDA;119985;09:00;09:08;STOP+;0.00
2021-08-30;A;ABERTURA;COMPRA;121120;09:00;09:01;STOP;-100.00
2021-08-31;A;ABERTURA;COMPRA;120190;09:00;09:01;STOP;-100.00
2021-09-01;A;ABERTURA;VENDA;119400;09:00;09:01;STOP;-100.00
2021-09-02;A;ABERTURA;COMPRA;119595;09:01;09:03;STOP+;0.00
2021-09-03;A;ABERTURA;VENDA;117665;09:00;09:01;STOP;-100.00
2021-09-06;A;ABERTURA;VENDA;117200;09:00;09:01;STOP;-100.00
2021-09-08;A;ABERTURA;COMPRA;117150;09:00;09:00;STOP;-100.00
2021-09-09;A;ABERTURA;VENDA;114570;09:00;09:11;STOP+;0.00
2021-09-10;A;ABERTURA;VENDA;117250;09:00;09:01;STOP;-100.00
2021-09-13;A;ABERTURA;VENDA;115600;09:00;09:01;STOP;-100.00
2021-09-14;A;ABERTURA;COMPRA;116300;09:00;09:00;STOP;-100.00
2021-09-15;A;ABERTURA;VENDA;116650;09:00;09:02;STOP+;0.00
2021-09-16;A;ABERTURA;COMPRA;114845;09:00;09:01;STOP;-100.00
2021-09-17;A;ABERTURA;COMPRA;113780;09:00;09:43;STOP+;0.00
2021-09-20;A;ABERTURA;COMPRA;109205;09:03;09:03;STOP;-100.00
2021-09-22;A;ABERTURA;VENDA;111500;09:00;09:00;STOP;-100.00
2021-09-23;A;ABERTURA;VENDA;112895;09:00;09:01;STOP;-100.00
2021-09-24;A;ABERTURA;COMPRA;113265;09:00;09:01;STOP;-100.00
2021-09-27;A;ABERTURA;VENDA;114080;09:00;09:03;ALVO;196.67
2021-09-28;A;ABERTURA;COMPRA;112555;09:00;09:00;STOP;-100.00
2021-09-29;A;ABERTURA;VENDA;110700;09:00;09:00;STOP;-100.00
2021-09-30;A;ABERTURA;VENDA;111650;09:00;09:01;STOP;-100.00
2021-10-01;A;ABERTURA;VENDA;111050;09:00;09:06;STOP+;0.00
2021-10-04;A;ABERTURA;COMPRA;112300;09:00;09:00;STOP;-100.00
2021-10-05;A;ABERTURA;VENDA;111070;09:00;09:02;STOP+;0.00
2021-10-06;A;ABERTURA;COMPRA;109290;09:00;09:01;STOP;-100.00
2021-10-08;A;ABERTURA;VENDA;111345;09:00;09:04;STOP+;0.00
2021-10-11;A;ABERTURA;VENDA;113200;09:00;09:00;STOP;-100.00
2021-10-14;A;ABERTURA;VENDA;115295;09:00;09:00;STOP;-100.00
2021-10-15;A;ABERTURA;VENDA;114870;09:00;10:10;ALVO;196.67
2021-10-18;A;ABERTURA;COMPRA;115060;09:00;09:01;STOP;-100.00
2021-10-19;A;ABERTURA;COMPRA;114890;09:00;09:00;STOP;-100.00
2021-10-20;A;ABERTURA;VENDA;112390;09:00;09:02;ALVO;196.67
2021-10-21;A;ABERTURA;COMPRA;108580;09:03;09:04;ALVO;196.67
2021-10-22;A;ABERTURA;COMPRA;107850;09:02;09:03;STOP;-100.00
2021-10-25;A;ABERTURA;VENDA;107905;09:03;09:04;STOP;-100.00
2021-10-27;A;ABERTURA;VENDA;107400;09:05;09:05;STOP;-100.00
2021-10-28;A;ABERTURA;VENDA;107475;09:03;09:14;ALVO;196.67
2021-10-29;A;ABERTURA;COMPRA;105855;09:01;09:25;ALVO;196.67
2021-11-01;A;ABERTURA;VENDA;105330;09:06;09:13;STOP+;0.00
2021-11-03;A;ABERTURA;COMPRA;105365;09:00;09:00;STOP;-100.00
2021-11-04;A;ABERTURA;VENDA;107500;09:00;09:09;ALVO;196.67
2021-11-05;A;ABERTURA;VENDA;104600;09:00;09:01;STOP;-100.00
2021-11-08;A;ABERTURA;COMPRA;104850;09:00;09:00;STOP;-100.00
2021-11-09;A;ABERTURA;VENDA;105840;09:00;09:07;STOP+;0.00
2021-11-10;A;ABERTURA;COMPRA;105740;09:00;09:00;STOP;-100.00
2021-11-11;A;ABERTURA;VENDA;107550;09:00;09:00;STOP;-100.00
2021-11-12;A;ABERTURA;VENDA;108500;09:00;09:10;STOP+;0.00
2021-11-16;A;ABERTURA;VENDA;107210;09:00;09:00;STOP;-100.00
