data;setup;nivel;lado;entrada;hora;saida;motivo;pts
2021-08-25;B;AJUSTE;VENDA;120815;09:09;10:03;ALVO;196.67
2021-08-26;B;AJUSTE;COMPRA;121453;10:59;10:59;STOP;-100.00
2021-08-31;B;AJUSTE;COMPRA;120280;09:01;09:01;STOP;-100.00
2021-09-01;B;AJUSTE;VENDA;119011;09:08;09:09;STOP;-100.00
2021-09-03;B;AJUSTE;VENDA;117112;11:23;11:24;STOP;-100.00
2021-09-06;B;AJUSTE;VENDA;117198;09:00;09:01;STOP;-100.00
2021-09-09;B;AJUSTE;VENDA;113749;09:45;09:46;STOP;-100.00
2021-09-10;B;AJUSTE;VENDA;115891;11:33;11:33;STOP;-100.00
2021-09-14;B;AJUSTE;COMPRA;116871;09:34;09:35;STOP;-100.00
2021-09-15;B;AJUSTE;VENDA;116505;09:26;09:30;STOP+;0.00
2021-09-27;B;AJUSTE;VENDA;113520;09:07;09:07;STOP;-100.00
2021-09-30;B;AJUSTE;VENDA;111240;13:13;13:13;STOP;-100.00
2021-10-05;B;AJUSTE;VENDA;110360;10:37;10:37;STOP;-100.00
2021-10-06;B;AJUSTE;COMPRA;110419;15:48;15:48;STOP;-100.00
2021-10-07;B;AJUSTE;VENDA;110514;17:04;17:06;STOP;-100.00
2021-10-11;B;AJUSTE;VENDA;112962;10:00;10:00;STOP;-100.00
2021-10-14;B;AJUSTE;VENDA;114580;10:18;10:18;STOP;-100.00
2021-10-15;B;AJUSTE;VENDA;114340;10:10;10:22;STOP+;0.00
2021-10-18;B;AJUSTE;COMPRA;115637;13:08;13:08;STOP;-100.00
2021-10-20;B;AJUSTE;VENDA;111762;09:03;09:10;STOP+;0.00
2021-10-22;B;AJUSTE;COMPRA;108661;15:44;15:44;STOP;-100.00
2021-10-27;B;AJUSTE;VENDA;107197;16:18;16:18;STOP;-100.00
2021-10-28;B;AJUSTE;VENDA;107346;09:03;09:03;STOP;-100.00
2021-10-29;B;AJUSTE;COMPRA;106219;09:01;09:01;STOP;-100.00
2021-11-03;B;AJUSTE;COMPRA;106383;11:34;11:35;STOP;-100.00
2021-11-04;B;AJUSTE;VENDA;106612;09:25;09:31;STOP+;0.00
2021-11-05;B;AJUSTE;VENDA;104195;09:00;09:00;STOP;-100.00
2021-11-08;B;AJUSTE;COMPRA;105498;10:58;11:36;ALVO;196.67
2021-11-10;B;AJUSTE;COMPRA;106166;10:13;10:13;STOP;-100.00
2021-11-12;B;AJUSTE;VENDA;108236;09:01;09:02;STOP;-100.00
2021-11-16;B;AJUSTE;VENDA;106841;10:20;10:24;ALVO;196.67
2021-11-17;B;AJUSTE;COMPRA;104930;09:01;09:01;STOP;-100.00
2021-11-18;B;AJUSTE;VENDA;103522;09:35;09:38;STOP+;0.00
2021-11-19;B;AJUSTE;VENDA;102978;09:00;09:00;STOP;-100.00
2021-11-22;B;AJUSTE;VENDA;103558;10:15;10:15;STOP;-100.00
2021-11-23;B;AJUSTE;VENDA;102627;09:00;09:00;STOP;-100.00
2021-11-24;B;AJUSTE;COMPRA;104066;09:02;09:02;STOP;-100.00
2021-11-25;B;AJUSTE;COMPRA;104899;09:04;09:18;ALVO;196.67
2021-11-30;B;AJUSTE;COMPRA;103158;10:57;11:01;STOP+;0.00
2021-12-01;B;AJUSTE;VENDA;102268;15:07;15:07;STOP;-100.00
2021-12-03;B;AJUSTE;COMPRA;104531;09:35;09:35;STOP;-100.00
2021-12-08;B;AJUSTE;VENDA;107843;09:46;09:48;STOP;-100.00
2021-12-13;B;AJUSTE;VENDA;107884;13:31;13:33;STOP;-100.00
2021-12-14;B;AJUSTE;COMPRA;107502;09:00;09:00;STOP;-100.00
2021-12-21;B;AJUSTE;VENDA;106381;11:30;11:30;STOP;-100.00
2021-12-22;B;AJUSTE;COMPRA;106768;09:07;09:07;STOP;-100.00
2021-12-23;B;AJUSTE;VENDA;106541;10:20;11:15;ALVO;196.67
2021-12-27;B;AJUSTE;VENDA;106047;09:00;09:01;STOP;-100.00
2021-12-28;B;AJUSTE;VENDA;106645;10:26;10:57;ALVO;196.67
2021-12-29;B;AJUSTE;VENDA;105960;09:04;09:10;STOP+;0.00
2021-12-30;B;AJUSTE;VENDA;105195;09:00;09:00;STOP;-100.00
2022-01-03;B;AJUSTE;VENDA;105815;11:15;11:16;STOP;-100.00
2022-01-04;B;AJUSTE;VENDA;104889;10:15;10:15;STOP;-100.00
2022-01-05;B;AJUSTE;VENDA;104400;09:19;09:36;ALVO;196.67
2022-01-06;B;AJUSTE;VENDA;101839;09:23;09:35;STOP+;0.00
2022-01-07;B;AJUSTE;VENDA;102349;09:00;09:00;STOP;-100.00
2022-01-10;B;AJUSTE;COMPRA;103333;11:27;11:31;STOP+;0.00
