data;setup;nivel;lado;entrada;hora;saida;motivo;pts
2021-08-24;CD;B119;VENDA;119000;09:01;09:01;STOP;-100.00
2021-08-24;CD;R2;VENDA;119632;10:03;10:05;STOP+;45.00
2021-08-24;CD;B120;VENDA;120000;10:34;10:36;STOP+;45.00
2021-08-24;CD;R4;VENDA;120353;10:50;10:52;STOP+;45.00
2021-08-24;CD;B121;VENDA;121000;11:51;11:54;STOP+;45.00
2021-08-25;CD;S3;COMPRA;119853;10:36;15:11;ALVO;350.57
2021-08-27;CD;B120;VENDA;120000;09:00;09:02;STOP+;45.00
2021-08-30;CD;S2;COMPRA;120357;10:33;10:34;STOP;-100.00
2021-08-30;CD;B120;COMPRA;120000;10:35;10:37;STOP+;45.00
2021-08-31;CD;S4;COMPRA;118943;13:44;13:49;STOP;-100.00
2021-09-02;CD;S1;COMPRA;118889;10:09;10:09;STOP;-100.00
2021-09-02;CD;S2;COMPRA;118453;10:37;10:37;STOP;-100.00
2021-09-02;CD;B117;COMPRA;117000;17:04;17:08;STOP+;45.00
2021-09-03;CD;R1;VENDA;118294;09:30;09:32;STOP+;45.00
2021-09-08;CD;S2;COMPRA;116393;10:54;10:57;STOP+;45.00
2021-09-08;CD;B116;COMPRA;116000;11:20;11:24;STOP+;45.00
2021-09-08;CD;S4;COMPRA;115637;11:36;11:37;STOP;-100.00
2021-09-08;CD;B115;COMPRA;115000;12:05;12:12;STOP+;45.00
2021-09-10;CD;B118;VENDA;118000;09:01;09:03;STOP+;45.00
2021-09-10;CD;S3;COMPRA;114772;14:41;15:22;ALVO;403.08
2021-09-13;CD;B116;VENDA;116000;09:22;09:24;STOP;-100.00
2021-09-13;CD;R1;VENDA;116439;09:56;09:59;STOP+;45.00
2021-09-14;CD;B116;COMPRA;116000;09:02;09:08;STOP+;45.00
2021-09-15;CD;S2;COMPRA;115787;10:33;10:35;STOP+;45.00
2021-09-16;CD;S1;COMPRA;114174;10:09;10:11;STOP+;45.00
2021-09-17;CD;B113;COMPRA;113000;10:34;10:34;STOP;-100.00
2021-09-17;CD;S4;COMPRA;112350;11:05;11:10;STOP+;45.00
2021-09-17;CD;B112;COMPRA;112000;11:32;11:35;STOP+;45.00
2021-09-20;CD;B109;COMPRA;109000;09:03;09:05;STOP+;45.00
2021-09-22;CD;R1;VENDA;112134;09:10;09:12;STOP+;45.00
2021-09-22;CD;R4;VENDA;113553;15:15;15:17;STOP+;45.00
2021-09-23;CD;B114;VENDA;114000;11:03;11:05;STOP+;45.00
2021-09-28;CD;S1;COMPRA;111633;11:21;11:25;STOP+;45.00
2021-09-29;CD;B111;VENDA;111000;09:01;09:01;STOP;-100.00
2021-09-29;CD;B112;VENDA;112000;12:05;12:07;STOP;-100.00
2021-09-30;CD;B112;VENDA;112000;09:31;09:36;STOP+;45.00
2021-10-01;CD;R1;VENDA;111521;10:14;10:15;STOP;-100.00
2021-10-01;CD;B112;VENDA;112000;11:00;11:01;STOP;-100.00
2021-10-04;CD;B112;COMPRA;112000;09:35;09:37;STOP+;45.00
2021-10-04;CD;S2;COMPRA;111550;10:25;10:27;STOP;-100.00
2021-10-04;CD;S4;COMPRA;110800;11:39;11:43;STOP+;45.00
2021-10-04;CD;B110;COMPRA;110000;12:41;12:41;STOP;-100.00
2021-10-06;CD;B109;COMPRA;109000;09:01;09:01;STOP;-100.00
2021-10-06;CD;S1;COMPRA;108616;09:05;09:05;STOP;-100.00
2021-10-08;CD;B113;VENDA;113000;11:17;11:25;STOP;-100.00
2021-10-08;CD;B114;VENDA;114000;12:19;12:19;STOP;-100.00
2021-10-11;CD;B112;COMPRA;112000;17:01;17:03;STOP+;45.00
2021-10-15;CD;R1;VENDA;115423;11:03;11:04;STOP;-100.00
2021-10-18;CD;B115;COMPRA;115000;09:01;09:01;STOP;-100.00
2021-10-18;CD;S2;COMPRA;114323;09:46;09:53;STOP+;45.00
2021-10-18;CD;B114;COMPRA;114000;10:23;10:35;STOP+;45.00
2021-10-19;CD;S1;COMPRA;114256;09:01;09:01;STOP;-100.00
2021-10-19;CD;S2;COMPRA;113863;09:11;09:12;STOP;-100.00
2021-10-19;CD;B111;COMPRA;111000;16:07;16:09;STOP+;45.00
2021-10-20;CD;B110;COMPRA;110000;17:54;17:54;STOP;-100.00
2021-10-21;CD;B107;COMPRA;107000;14:50;14:51;STOP;-100.00
