data;setup;nivel;lado;entrada;hora;saida;motivo;pts
2021-08-24;D;B119;VENDA;119000;09:01;09:01;STOP;-100.00
2021-08-24;D;B120;VENDA;120000;10:34;10:38;STOP+;0.00
2021-08-24;D;B121;VENDA;121000;11:51;12:18;STOP+;0.00
2021-08-25;D;B120;COMPRA;120000;10:33;10:36;STOP;-100.00
2021-08-27;D;B120;VENDA;120000;09:00;09:08;STOP+;0.00
2021-08-30;D;B120;COMPRA;120000;10:35;10:44;STOP+;0.00
2021-09-02;D;B119;COMPRA;119000;10:07;10:09;STOP+;0.00
2021-09-03;D;B118;VENDA;118000;09:08;09:17;STOP+;0.00
2021-09-08;D;B116;COMPRA;116000;11:20;11:25;STOP+;0.00
2021-09-08;D;B115;COMPRA;115000;12:05;12:15;STOP+;0.00
2021-09-10;D;B118;VENDA;118000;09:01;09:03;STOP+;0.00
2021-09-10;D;B115;COMPRA;115000;14:28;14:41;STOP+;0.00
2021-09-13;D;B116;VENDA;116000;09:22;09:24;STOP;-100.00
2021-09-14;D;B116;COMPRA;116000;09:02;09:30;ALVO;196.67
2021-09-17;D;B112;COMPRA;112000;11:32;11:37;STOP+;0.00
2021-09-20;D;B109;COMPRA;109000;09:03;09:08;STOP+;0.00
2021-09-22;D;B112;VENDA;112000;09:01;09:08;STOP+;0.00
2021-09-24;D;B113;COMPRA;113000;09:51;10:10;STOP+;0.00
2021-09-29;D;B111;VENDA;111000;09:01;09:01;STOP;-100.00
2021-09-30;D;B112;VENDA;112000;09:31;09:43;STOP+;0.00
2021-10-01;D;B112;VENDA;112000;11:00;11:01;STOP;-100.00
2021-10-04;D;B112;COMPRA;112000;09:35;10:04;STOP+;0.00
2021-10-04;D;B111;COMPRA;111000;11:25;11:27;STOP;-100.00
2021-10-04;D;B110;COMPRA;110000;12:41;12:41;STOP;-100.00
2021-10-06;D;B109;COMPRA;109000;09:01;09:01;STOP;-100.00
2021-10-08;D;B114;VENDA;114000;12:19;12:19;STOP;-100.00
2021-10-11;D;B112;COMPRA;112000;17:01;17:54;FECHAMENTO;63.33
2021-10-18;D;B115;COMPRA;115000;09:01;09:01;STOP;-100.00
2021-10-18;D;B114;COMPRA;114000;10:23;10:35;STOP+;0.00
2021-10-19;D;B114;COMPRA;114000;09:04;09:10;STOP+;0.00
2021-10-20;D;B110;COMPRA;110000;17:54;17:54;STOP;-100.00
2021-10-21;D;B107;COMPRA;107000;14:50;14:51;STOP;-100.00
2021-10-22;D;B104;COMPRA;104000;11:46;11:48;ALVO;196.67
2021-10-25;D;B108;VENDA;108000;09:04;09:04;STOP;-100.00
2021-10-27;D;B109;VENDA;109000;11:10;11:33;STOP+;0.00
2021-10-29;D;B107;VENDA;107000;09:58;10:01;STOP+;0.00
2021-11-03;D;B107;VENDA;107000;12:39;12:44;STOP+;0.00
2021-11-04;D;B106;COMPRA;106000;10:18;10:23;STOP+;0.00
2021-11-05;D;B105;VENDA;105000;09:32;09:34;STOP+;0.00
2021-11-05;D;B106;VENDA;106000;10:52;10:52;STOP;-100.00
2021-11-10;D;B107;VENDA;107000;11:27;11:30;STOP;-100.00
2021-11-11;D;B108;VENDA;108000;09:27;09:28;STOP;-100.00
2021-11-11;D;B109;VENDA;109000;11:44;12:05;STOP+;0.00
2021-11-12;D;B107;COMPRA;107000;11:29;11:31;STOP+;0.00
2021-11-16;D;B106;COMPRA;106000;11:11;11:17;STOP+;0.00
2021-11-16;D;B105;COMPRA;105000;12:02;12:18;STOP+;0.00
2021-11-17;D;B106;VENDA;106000;10:00;10:00;STOP;-100.00
2021-11-24;D;B105;VENDA;105000;12:50;12:50;STOP;-100.00
2021-11-26;D;B103;COMPRA;103000;10:15;10:16;STOP;-100.00
2021-11-29;D;B104;VENDA;104000;09:07;09:18;STOP+;0.00
2021-11-30;D;B101;COMPRA;101000;13:00;13:15;ALVO;196.67
2021-12-01;D;B104;VENDA;104000;10:14;10:23;ALVO;196.67
2021-12-02;D;B102;VENDA;102000;09:02;09:02;STOP;-100.00
2021-12-09;D;B107;COMPRA;107000;10:51;10:55;STOP;-100.00
2021-12-10;D;B107;VENDA;107000;09:01;09:01;STOP;-100.00
2021-12-10;D;B108;VENDA;108000;10:15;10:30;STOP+;0.00
2021-12-14;D;B109;VENDA;109000;10:08;10:30;STOP+;0.00
2021-12-16;D;B110;VENDA;110000;09:01;09:02;STOP;-100.00
2021-12-17;D;B109;COMPRA;109000;09:34;09:43;STOP+;0.00
2021-12-17;D;B108;COMPRA;108000;12:16;12:34;ALVO;196.67
2021-12-20;D;B107;COMPRA;107000;09:09;10:05;STOP+;0.00
2021-12-22;D;B106;COMPRA;106000;11:12;11:15;STOP;-100.00
2021-12-28;D;B106;COMPRA;106000;11:00;11:01;STOP;-100.00
2021-12-30;D;B106;VENDA;106000;10:49;11:13;ALVO;196.67
2022-01-03;D;B107;VENDA;107000;10:14;10:16;STOP+;0.00
2022-01-03;D;B105;COMPRA;105000;11:32;11:37;STOP+;0.00
2022-01-05;D;B102;COMPRA;102000;17:05;17:07;STOP;-100.00
2022-01-14;D;B107;VENDA;107000;12:17;12:39;STOP+;0.00
2022-01-17;D;B107;COMPRA;107000;10:50;10:55;STOP+;0.00
2022-01-19;D;B109;VENDA;109000;10:50;11:23;STOP+;0.00
2022-01-21;D;B109;COMPRA;109000;09:05;09:06;STOP;-100.00
2022-01-26;D;B112;VENDA;112000;09:26;09:30;STOP+;0.00
2022-01-27;D;B113;VENDA;113000;10:12;10:14;STOP;-100.00
2022-02-02;D;B113;COMPRA;113000;11:43;11:57;STOP+;0.00
2022-02-02;D;B112;COMPRA;112000;13:41;16:40;ALVO;196.67
2022-02-04;D;B111;COMPRA;111000;10:30;10:30;STOP;-100.00
2022-02-21;D;B113;COMPRA;113000;18:21;18:24;FECHAMENTO;-50.00
2022-02-22;D;B114;VENDA;114000;09:05;09:13;STOP+;0.00
2022-02-23;D;B113;COMPRA;113000;18:03;18:24;FECHAMENTO;33.33
2022-02-25;D;B112;COMPRA;112000;09:14;09:34;STOP+;0.00
2022-02-25;D;B114;VENDA;114000;17:43;17:46;STOP+;0.00
2022-03-03;D;B117;VENDA;117000;10:17;10:36;STOP+;0.00
2022-03-07;D;B115;COMPRA;115000;09:01;09:13;STOP+;0.00
2022-03-07;D;B113;COMPRA;113000;16:43;17:03;STOP+;0.00
2022-03-07;D;B112;COMPRA;112000;18:10;18:21;STOP;-100.00
2022-03-08;D;B113;VENDA;113000;09:04;09:05;STOP;-100.00
2022-03-10;D;B114;COMPRA;114000;09:06;09:06;STOP;-100.00
2022-03-11;D;B113;COMPRA;113000;16:52;17:02;STOP+;0.00
2022-03-15;D;B110;COMPRA;110000;09:49;10:01;STOP+;0.00
2022-03-15;D;B109;COMPRA;109000;10:50;10:53;STOP+;0.00
2022-03-18;D;B115;VENDA;115000;14:00;14:04;STOP;-100.00
2022-03-18;D;B116;VENDA;116000;16:32;17:00;STOP+;0.00
2022-03-21;D;B117;VENDA;117000;10:38;10:52;ALVO;196.67
2022-03-22;D;B118;VENDA;118000;10:15;10:16;STOP;-100.00
2022-03-28;D;B119;COMPRA;119000;10:40;10:40;STOP;-100.00
2022-03-29;D;B121;VENDA;121000;09:24;09:25;STOP;-100.00
2022-04-01;D;B121;VENDA;121000;09:01;09:04;STOP+;0.00
2022-04-08;D;B118;COMPRA;118000;10:33;10:45;STOP+;0.00
2022-04-11;D;B117;COMPRA;117000;10:03;10:31;ALVO;196.67
2022-04-12;D;B118;VENDA;118000;09:30;09:34;STOP+;0.00
2022-04-19;D;B117;COMPRA;117000;10:01;10:02;STOP;-100.00
2022-04-20;D;B116;COMPRA;116000;11:04;12:12;STOP+;0.00
2022-04-22;D;B114;COMPRA;114000;09:12;10:30;STOP+;0.00
2022-04-27;D;B111;VENDA;111000;09:01;09:01;STOP;-100.00
2022-04-29;D;B112;VENDA;112000;09:16;09:16;STOP;-100.00
2022-04-29;D;B113;VENDA;113000;09:51;09:55;STOP+;0.00
2022-05-04;D;B107;COMPRA;107000;10:05;10:15;STOP+;0.00
2022-05-05;D;B109;COMPRA;109000;09:00;09:00;STOP;-100.00
2022-05-05;D;B108;COMPRA;108000;10:29;10:30;STOP;-100.00
2022-05-05;D;B107;COMPRA;107000;10:58;11:05;STOP+;0.00
2022-05-05;D;B106;COMPRA;106000;11:43;11:47;STOP+;0.00
2022-05-18;D;B108;COMPRA;108000;12:54;13:09;STOP+;0.00
2022-05-18;D;B107;COMPRA;107000;14:53;15:47;STOP+;0.00
2022-05-20;D;B109;VENDA;109000;09:02;09:26;STOP+;0.00
2022-05-24;D;B110;COMPRA;110000;09:00;09:02;STOP+;0.00
2022-06-02;D;B113;VENDA;113000;10:02;10:50;ALVO;196.67
2022-06-03;D;B112;COMPRA;112000;09:07;09:10;STOP+;0.00
2022-06-10;D;B106;COMPRA;106000;09:54;10:09;STOP+;0.00
2022-06-10;D;B105;COMPRA;105000;10:26;10:28;STOP+;0.00
2022-06-13;D;B102;COMPRA;102000;11:17;11:26;STOP+;0.00
2022-06-14;D;B102;COMPRA;102000;11:25;11:29;STOP+;0.00
2022-06-17;D;B103;COMPRA;103000;09:04;09:20;STOP+;0.00
2022-06-17;D;B102;COMPRA;102000;10:23;10:23;STOP;-100.00
2022-06-21;D;B101;COMPRA;101000;15:01;15:13;STOP+;0.00
2022-06-22;D;B102;VENDA;102000;13:45;15:10;STOP+;0.00
2022-06-23;D;B102;VENDA;102000;10:16;10:22;ALVO;196.67
2022-06-23;D;B100;COMPRA;100000;13:51;14:01;STOP+;0.00
2022-06-24;D;B101;VENDA;101000;09:45;10:09;ALVO;196.67
2022-06-29;D;B103;VENDA;103000;09:15;09:30;STOP+;0.00
2022-06-29;D;B101;COMPRA;101000;12:22;13:24;STOP+;0.00
2022-06-30;D;B100;COMPRA;100000;09:02;09:03;STOP;-100.00
2022-07-01;D;B99;COMPRA;99000;09:00;09:03;ALVO;196.67
2022-07-05;D;B99;COMPRA;99000;09:00;09:01;STOP;-100.00
2022-07-07;D;B101;VENDA;101000;09:02;09:04;STOP+;0.00
2022-07-07;D;B102;VENDA;102000;10:38;10:41;STOP+;0.00
2022-07-11;D;B100;COMPRA;100000;09:38;10:08;STOP+;0.00
2022-07-14;D;B97;COMPRA;97000;10:38;10:41;STOP;-100.00
2022-07-21;D;B98;COMPRA;98000;10:24;10:55;ALVO;196.67
2022-08-01;D;B103;COMPRA;103000;10:25;10:32;STOP;-100.00
2022-08-02;D;B104;VENDA;104000;13:41;14:10;STOP+;0.00
2022-08-04;D;B105;VENDA;105000;09:19;09:26;STOP+;0.00
2022-08-04;D;B106;VENDA;106000;13:28;13:32;STOP;-100.00
2022-08-04;D;B107;VENDA;107000;17:45;17:46;STOP;-100.00
2022-08-08;D;B108;VENDA;108000;10:35;10:37;STOP+;0.00
2022-08-10;D;B110;VENDA;110000;09:30;09:30;STOP;-100.00
2022-08-11;D;B110;COMPRA;110000;15:53;15:53;STOP;-100.00
2022-08-12;D;B111;VENDA;111000;10:17;10:22;STOP+;0.00
2022-08-12;D;B112;VENDA;112000;14:40;14:51;STOP+;0.00
2022-08-15;D;B111;COMPRA;111000;09:02;09:36;STOP+;0.00
