Data	Abertura	Máxima	Mínima	Fechamento	VWAP D	Média Móvel E [21]
11/09/2026 14:15:43.417	189260,00	189265,00	189180,00	189220,00	189430,33	189463,54
11/09/2026 13:58:07.762	189360,00	189435,00	189250,00	189260,00	189431,23	189487,90
11/09/2026 13:51:34.392	189260,00	189370,00	189205,00	189360,00	189432,91	189510,68
11/09/2026 13:39:05.609	189360,00	189425,00	189255,00	189260,00	189434,15	189525,75
11/09/2026 13:37:14.909	189460,00	189530,00	189360,00	189360,00	189436,01	189552,33
11/09/2026 13:36:38.983	189560,00	189585,00	189455,00	189460,00	189435,92	189571,56
11/09/2026 13:36:30.668	189660,00	189660,00	189560,00	189560,00	189435,65	189582,72
11/09/2026 13:34:53.572	189760,00	189795,00	189655,00	189660,00	189435,43	189584,99
11/09/2026 13:33:20.128	189860,00	189875,00	189760,00	189760,00	189434,33	189577,49
11/09/2026 13:32:00.388	189760,00	189875,00	189700,00	189860,00	189433,07	189559,24
11/09/2026 13:31:30.118	189660,00	189760,00	189640,00	189760,00	189431,55	189529,16
11/09/2026 13:30:49.141	189760,00	189775,00	189660,00	189660,00	189431,23	189506,08
11/09/2026 13:30:30.272	189660,00	189760,00	189650,00	189760,00	189430,57	189490,68
11/09/2026 13:26:32.734	189560,00	189660,00	189480,00	189660,00	189430,07	189463,75
11/09/2026 13:22:39.651	189460,00	189565,00	189410,00	189560,00	189429,05	189444,13
11/09/2026 13:19:08.277	189360,00	189460,00	189305,00	189460,00	189428,75	189432,54
11/09/2026 13:17:17.455	189460,00	189500,00	189360,00	189360,00	189429,04	189429,80
11/09/2026 13:15:47.934	189560,00	189625,00	189395,00	189460,00	189429,06	189436,78
11/09/2026 13:15:11.156	189660,00	189665,00	189560,00	189560,00	189428,65	189434,45
11/09/2026 13:10:05.919	189560,00	189665,00	189470,00	189660,00	189428,35	189421,90
11/09/2026 13:06:35.257	189460,00	189560,00	189360,00	189560,00	189426,95	189398,09
11/09/2026 13:04:38.748	189560,00	189615,00	189455,00	189460,00	189426,96	189381,90
11/09/2026 13:04:22.169	189460,00	189560,00	189460,00	189560,00	189426,41	189374,09
11/09/2026 13:03:54.628	189360,00	189460,00	189345,00	189460,00	189426,28	189355,49
11/09/2026 13:03:30.172	189460,00	189480,00	189360,00	189360,00	189426,30	189345,04
11/09/2026 13:00:05.750	189360,00	189465,00	189295,00	189460,00	189426,30	189343,55
11/09/2026 12:52:27.840	189260,00	189365,00	189170,00	189360,00	189426,72	189331,90
11/09/2026 12:52:01.771	189360,00	189365,00	189255,00	189260,00	189429,03	189329,09
