i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
83;2026-03-06 10:19:00;-1;10,316666666666666;182900,0;182850,0;150,19260449526305;0,0883186869441585;-0,03378553454295794;False;0,26052138778941886;2,415418419768516;-0,4154184197686087;0;-0,560359080272876;3;360,0;2,396922279960556;;;;;;;125,0;0,12;True;84;182850,0;60,0;86;182950,0;0,0;110,0;-150,0;3,0;stop_zero;True;2026-03-06 10:20:00;;False;True;False;True;False;prata;T1
111;2026-03-06 10:29:00;-1;10,483333333333333;183100,0;183050,0;157,81071092525073;0,018749329872177922;-0,0032577848148606396;False;0,09268622222890528;2,6972725917627987;-0,6972725917628703;0;-0,35168524940396645;2;225,0;1,4257587376725933;;;;;;;125,0;0,16;True;112;183050,0;0,0;114;183150,0;0,0;120,0;-255,0;3,0;stop_zero;True;2026-03-06 10:30:00;;False;True;False;True;False;prata;T1
123;2026-03-06 10:30:00;1;10,5;183300,0;183350,0;162,77495679449908;0,15364055254840295;-0,03559786448341279;False;0,7553414804468788;1,5707673913211941;0,42923260867880875;0;0,3264446354104109;3;440,0;2,7031185181360136;;;;;;;190,0;0,02631578947368421;True;124;183350,0;60,0;126;183250,0;0,0;150,0;-155,0;3,0;stop_zero;True;2026-03-06 10:31:00;;False;True;False;True;False;prata;T1
195;2026-03-06 10:53:00;1;10,883333333333333;182100,0;182150,0;144,0457035660225;0,01753136509421432;0,020140127954898692;True;-0,1712571963711528;3,746779280118999;-1,7467792801190065;0;-0,8321326610997024;2;205,0;1,4231594204129765;;;;;;;155,0;0,3225806451612903;True;196;182150,0;0,0;198;182050,0;-100,0;75,0;-160,0;3,0;stop;False;2026-03-06 10:53:00;;False;True;False;True;False;prata;T1
212;2026-03-06 10:57:00;1;10,95;181800,0;181850,0;144,71499425819667;0,017319258460986694;0,00842437795532362;True;-0,08846640539910808;3,3587387639889705;-1,3587387639888737;0;-0,6939722609362854;2;205,0;1,4165774669779168;;;;;;;160,0;0,375;True;213;181850,0;60,0;215;181750,0;0,0;135,0;-165,0;3,0;stop_zero;True;2026-03-06 10:59:00;;False;True;False;True;False;prata;T1
261;2026-03-06 11:17:00;1;11,283333333333333;181500,0;181550,0;144,79980426718637;0,18301055307815495;-0,04885896362026163;False;0,35113522117907875;2,015523082529209;-0,015523082529262853;2;-0,19983420008954156;2;245,0;1,6919912374185464;;;;;;;140,0;0,17857142857142858;True;262;181550,0;0,0;264;181450,0;0,0;100,0;-155,0;3,0;stop_zero;True;2026-03-06 11:17:00;;False;True;False;True;False;prata;T1
344;2026-03-06 11:44:00;1;11,733333333333333;181600,0;181650,0;144,91686570380693;0,10046699627193123;-0,039003259526988625;False;0,15023421805023776;2,5488303137457455;-0,5488303137457048;0;-0,5282789622216564;2;260,0;1,794132095924635;;;;;;;115,0;0,043478260869565216;True;345;181650,0;120,0;351;181550,0;0,0;255,0;-150,0;7,0;stop_zero;True;2026-03-06 11:46:00;;False;True;False;True;False;prata;T1
389;2026-03-06 12:03:00;1;12,05;181500,0;181550,0;145,74720193204922;0,13595249065615347;-0,045614159924711364;False;0,2118699377243387;2,5537771907025593;-0,5537771907024696;0;-0,6701558342914913;3;370,0;2,5386422181367347;;;;;;;115,0;0,0;True;390;181550,0;0,0;390;181450,0;-100,0;25,0;-150,0;1,0;stop;False;2026-03-06 12:03:00;;False;True;False;True;False;prata;T1
455;2026-03-06 12:44:00;-1;12,733333333333333;182300,0;182250,0;156,47758232315164;0,13309603646618973;-0,0296552334189701;False;0,16440858367414143;2,7068802018940756;-0,7068802018941397;0;-0,4478513219524158;2;305,0;1,9491609946409156;;;;;;;115,0;0,08695652173913043;True;456;182250,0;660,0;462;182350,0;0,0;220,0;-155,0;7,0;stop_zero;True;2026-03-06 12:55:00;;False;True;False;True;False;prata;T1
487;2026-03-06 13:09:00;-1;13,15;182500,0;182450,0;131,86244479189313;0,04826025125404998;-0,010337047113283709;False;0,09245220821139016;2,538961616525904;-0,5389616165258125;0;-0,6995861908395199;2;235,0;1,7821601925467088;;;;;;;115,0;0,043478260869565216;True;488;182450,0;300,0;495;182150,0;200,0;325,0;-40,0;8,0;alvo;True;2026-03-06 13:14:00;;False;True;False;True;False;prata;T1
