i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
62;2026-03-06 10:09:00;-1;10,15;182800,0;182750,0;146,48438754171724;0,024541283541008166;0,028092150147804872;True;-0,17404120385376665;3,947381914650644;-1,947381914650693;0;-0,5569072682042683;1;150,0;1,0239999123270496;;;;;;;150,0;0,3333333333333333;True;63;182750,0;60,0;65;182850,0;-100,0;145,0;-165,0;3,0;stop;False;2026-03-06 10:11:00;;False;False;False;False;False;bronze;T1
68;2026-03-06 10:12:00;-1;10,2;182800,0;182750,0;146,58780450784207;0,07704971519684063;-0,0031367868336007066;False;-0,2055087829539551;3,348189707414368;-1,3481897074143618;0;-0,3624301915299078;1;150,0;1,0232774854880604;;;;;;;150,0;0,3;True;69;182750,0;0,0;69;182850,0;-100,0;5,0;-155,0;1,0;stop;False;2026-03-06 10:12:00;;False;False;False;False;False;bronze;T1
83;2026-03-06 10:19:00;-1;10,316666666666666;182900,0;182850,0;150,19260449526305;0,0883186869441585;-0,03378553454295794;False;0,26052138778941886;2,415418419768516;-0,4154184197686087;0;-0,560359080272876;3;360,0;2,396922279960556;;;;;;;125,0;0,12;True;84;182850,0;60,0;86;182950,0;-100,0;110,0;-150,0;3,0;stop;False;2026-03-06 10:20:00;;False;True;False;True;False;prata;T1
111;2026-03-06 10:29:00;-1;10,483333333333333;183100,0;183050,0;157,81071092525073;0,018749329872177922;-0,0032577848148606396;False;0,09268622222890528;2,6972725917627987;-0,6972725917628703;0;-0,35168524940396645;2;225,0;1,4257587376725933;;;;;;;125,0;0,16;True;112;183050,0;0,0;114;183150,0;-100,0;120,0;-255,0;3,0;stop;False;2026-03-06 10:30:00;;False;True;False;True;False;prata;T1
123;2026-03-06 10:30:00;1;10,5;183300,0;183350,0;162,77495679449908;0,15364055254840295;-0,03559786448341279;False;0,7553414804468788;1,5707673913211941;0,42923260867880875;0;0,3264446354104109;3;440,0;2,7031185181360136;;;;;;;190,0;0,02631578947368421;True;124;183350,0;60,0;126;183250,0;-100,0;150,0;-155,0;3,0;stop;False;2026-03-06 10:31:00;;False;True;False;True;False;prata;T1
195;2026-03-06 10:53:00;1;10,883333333333333;182100,0;182150,0;144,0457035660225;0,01753136509421432;0,020140127954898692;True;-0,1712571963711528;3,746779280118999;-1,7467792801190065;0;-0,8321326610997024;2;205,0;1,4231594204129765;;;;;;;155,0;0,3225806451612903;True;196;182150,0;0,0;198;182050,0;-100,0;75,0;-160,0;3,0;stop;False;2026-03-06 10:53:00;;False;True;False;True;False;prata;T1
211;2026-03-06 10:57:00;1;10,95;181900,0;181950,0;143,18649368401634;0,008989832407971502;0,03664553043268055;True;-0,16819084164096285;3,46088532941559;-1,460885329415625;0;-0,0731284820446488;1;115,0;0,803148376925702;;;;;;;115,0;0,043478260869565216;True;212;181950,0;0,0;212;181850,0;-100,0;10,0;-150,0;1,0;stop;False;2026-03-06 10:57:00;;False;False;False;False;False;bronze;T1
212;2026-03-06 10:57:00;1;10,95;181800,0;181850,0;144,71499425819667;0,017319258460986694;0,00842437795532362;True;-0,08846640539910808;3,3587387639889705;-1,3587387639888737;0;-0,6939722609362854;2;205,0;1,4165774669779168;;;;;;;160,0;0,375;True;213;181850,0;60,0;215;181750,0;-100,0;135,0;-165,0;3,0;stop;False;2026-03-06 10:59:00;;False;True;False;True;False;prata;T1
261;2026-03-06 11:17:00;1;11,283333333333333;181500,0;181550,0;144,79980426718637;0,18301055307815495;-0,04885896362026163;False;0,35113522117907875;2,015523082529209;-0,015523082529262853;2;-0,19983420008954156;2;245,0;1,6919912374185464;;;;;;;140,0;0,17857142857142858;True;262;181550,0;0,0;264;181450,0;-100,0;100,0;-155,0;3,0;stop;False;2026-03-06 11:17:00;;False;True;False;True;False;prata;T1
280;2026-03-06 11:25:00;1;11,416666666666666;181600,0;181650,0;140,11899734046708;0,0023743170252136826;-0,0069199654226667785;False;0,20303417013358044;1,6064514214809689;0,39354857851905756;0;0,04838377876850882;1;210,0;1,4987261112762111;;;;;;;210,0;0,47619047619047616;True;281;181650,0;120,0;286;181950,0;300,0;375,0;-55,0;6,0;alvo;False;2026-03-06 11:28:00;;False;False;False;False;False;bronze;T1
