i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
58;2026-08-06 10:54:30.265;1;10,9;177100,0;177150,0;152,2147623173388;0,002647117775039521;0,007788471656579867;True;-0,09330361997761766;2,6515533900021744;-0,6515533900021998;0;0,1087696134952541;1;120,0;0,7883598027753895;195,0;0,0;95,0;0,0;0,48717948717948717;0,5128205128205128;120,0;0,041666666666666664;True;58;177100,0;136,783;59;177000,0;-100,0;5,0;-120,0;2;stop;False;2026-08-06 10:56:47.048;95,0;False;False;False;False;False;bronze;T1
64;2026-08-06 10:59:33.354;-1;10,983333333333333;176900,0;176850,0;140,95245792684466;0,06578815044973157;0,0030756984555242546;True;0,46277760691790615;1,4946199118397976;0,5053800881602395;0;0,7848620194282281;2;250,0;1,773647680055014;115,0;0,0;15,0;0,0;0,13043478260869565;0,8695652173913043;125,0;0,04;True;64;176900,0;284,723;71;177000,0;-100,0;210,0;-115,0;8;stop;False;2026-08-06 11:04:18.077;15,0;True;True;False;False;False;bronze;T1
73;2026-08-06 11:06:34.895;1;11,1;177000,0;177050,0;136,68685897784178;0,006453710890575797;0,027328170981532042;True;-0,049970924313515276;2,6237585647754043;-0,6237585647753425;0;0,44913382577505584;1;125,0;0,9144990303732392;140,0;5,0;35,0;0,03571428571428571;0,25;0,7142857142857143;125,0;0,2;True;73;177000,0;111,413;76;176900,0;-100,0;110,0;-120,0;4;stop;False;2026-08-06 11:08:26.308;40,0;False;False;True;False;False;bronze;T1
79;2026-08-06 11:11:11.910;-1;11,183333333333334;176800,0;176750,0;139,43994532383687;0,029220844060349496;0,02257005015054902;True;0,21939628918503692;1,595862728107309;0,40413727189279125;0;0,8798668295753426;1;185,0;1,3267360337122476;160,0;0,0;60,0;0,0;0,375;0,625;185,0;0,43243243243243246;True;79;176800,0;665,802;86;176900,0;-100,0;155,0;-110,0;8;stop;False;2026-08-06 11:22:17.712;60,0;True;False;True;False;False;bronze;T1
90;2026-08-06 11:26:15.688;1;11,433333333333334;176900,0;176950,0;138,68021319050874;0,02126737689029848;0,019893884694899583;True;0,03188777890228597;2,4440642455105657;-0,44406424551049983;0;0,3393607870040638;1;155,0;1,1176792740221153;140,0;0,0;40,0;0,0;0,2857142857142857;0,7142857142857143;155,0;0,2903225806451613;True;90;176900,0;407,661;95;177200,0;300,0;310,0;-90,0;6;alvo;False;2026-08-06 11:33:03.349;40,0;False;False;True;False;False;bronze;T1
147;2026-08-06 16:00:19.227;1;16,0;176400,0;176450,0;153,24943860078662;0,06038266254328901;0,017603290994497284;True;-0,1288112709019345;3,6980567941611557;-1,6980567941611207;0;-0,18629966130316142;2;220,0;1,4355680647750886;195,0;5,0;90,0;0,02564102564102564;0,46153846153846156;0,5128205128205128;135,0;0,25925925925925924;True;147;176400,0;374,084;148;176300,0;-100,0;30,0;-100,0;2;stop;False;2026-08-06 16:06:33.311;95,0;False;True;False;True;False;prata;T1
186;2026-08-07 09:03:58.405;-1;9,05;176320,0;176270,0;156,40664173633914;0,1175875087656729;0,03405286025712313;True;0,3933328382316343;3,4184164204810825;-1,4184164204811278;0;0,6684608475039953;2;270,0;1,7262694026456349;210,0;20,0;90,0;0,09523809523809523;0,42857142857142855;0,47619047619047616;145,0;0,1724137931034483;True;186;176320,0;11,719;189;176020,0;300,0;310,0;0,0;4;alvo;False;2026-08-07 09:04:10.124;110,0;True;True;False;False;False;bronze;T1
194;2026-08-07 09:04:44.152;-1;9,066666666666666;176120,0;176070,0;153,4744738597227;0,2707044203675112;-0,011033378447579163;False;0,4629166925951734;2,2718484074761376;-0,2718484074761481;0;1,0176972837373712;1;125,0;0,8144676887066661;205,0;10,0;95,0;0,04878048780487805;0,4634146341463415;0,4878048780487805;125,0;0,16;True;194;176120,0;238,646;199;175820,0;300,0;300,0;-75,0;6;alvo;False;2026-08-07 09:08:42.798;105,0;False;False;False;False;False;bronze;T1
227;2026-08-07 09:30:04.452;-1;9,5;175420,0;175370,0;209,49243048755747;0,03721248381124423;-0,004398026002542815;False;0,3470278068460998;1,14353656933674;0,8564634306632875;0;0,7584972986000833;1;215,0;1,026290064512711;295,0;120,0;75,0;0,4067796610169492;0,2542372881355932;0,3389830508474576;200,0;0,425;True;227;175420,0;1,246;230;175520,0;-100,0;120,0;-130,0;4;stop;False;2026-08-07 09:30:05.698;195,0;False;False;False;False;False;bronze;T1
237;2026-08-07 09:30:13.716;1;9,5;175620,0;175670,0;168,29742218420864;0,10140213898483834;-0,012534114551243668;False;0,19192111401605627;2,595845948308402;-0,5958459483084881;0;0,14219190723788083;3;400,0;2,376744663160575;170,0;20,0;50,0;0,11764705882352941;0,29411764705882354;0,5882352941176471;160,0;0,0625;True;237;175620,0;12,278;240;175920,0;300,0;305,0;-50,0;4;alvo;False;2026-08-07 09:30:25.994;70,0;False;True;True;True;True;ouro;T1
