i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
105;2026-03-06 10:28:00;1;10,466666666666667;183100,0;183150,0;162,4290758574482;0,11316029068260668;-0,024833075138116268;False;0,3154834933921602;1,5163760785996503;0,4836239214003693;0;0,33836369737423755;3;435,0;2,678091946923141;155,0;25,0;30,0;0,16129032258064516;0,1935483870967742;0,6451612903225806;175,0;0,2;True;105;183100,0;60,0;108;183000,0;-100,0;125,0;-220,0;4;stop;False;2026-03-06 10:29:00;55,0;False;True;True;True;True;ouro;T1
112;2026-03-06 10:30:00;-1;10,5;183000,0;182950,0;158,46428265931885;0,034148602280911135;0,015476602339690084;True;0,14128149952553504;2,685777449119561;-0,6857774491195594;0;0,2552929796077054;2;225,0;1,4198783235192864;165,0;0,0;65,0;0,0;0,3939393939393939;0,6060606060606061;125,0;0,16;True;112;183000,0;0,0;113;183100,0;-100,0;70,0;-110,0;2;stop;False;2026-03-06 10:30:00;65,0;False;True;True;True;True;ouro;T1
124;2026-03-06 10:30:00;1;10,5;183400,0;183450,0;162,52268799499916;0,136683550173487;-0,017195484264577295;False;0,6318036869932743;1,519076679185641;0,480923320814443;0;0,8565909575398867;3;440,0;2,7073143167158227;160,0;10,0;50,0;0,0625;0,3125;0,625;190,0;0,02631578947368421;True;124;183400,0;0,0;125;183300,0;-100,0;100,0;-100,0;2;stop;False;2026-03-06 10:30:00;60,0;False;True;True;True;True;ouro;T1
196;2026-03-06 10:53:00;1;10,883333333333333;182200,0;182250,0;145,49609415092954;0,04557440907245043;0,028217806929926346;True;-0,09165421510981388;3,6713797848340084;-1,6713797848339422;0;-0,12412163641853384;2;205,0;1,4089725308182117;160,0;0,0;60,0;0,0;0,375;0,625;155,0;0,3225806451612903;True;196;182200,0;0,0;197;182100,0;-100,0;25,0;-100,0;2;stop;False;2026-03-06 10:53:00;60,0;False;True;True;True;True;ouro;T1
213;2026-03-06 10:58:00;1;10,966666666666667;181900,0;181950,0;146,10454023472425;0,038060901414309026;0,020906359983143875;True;-0,017437174187128812;3,3074889739686077;-1,3074889739686295;0;-0,0026642925181695164;2;205,0;1,4031049252176369;160,0;5,0;55,0;0,03125;0,34375;0,625;160,0;0,375;True;213;181900,0;0,0;214;181800,0;-100,0;85,0;-115,0;2;stop;False;2026-03-06 10:58:00;60,0;False;True;True;True;True;ouro;T1
319;2026-03-06 11:37:00;-1;11,616666666666667;181700,0;181650,0;147,75789234305435;0,19774132209964068;-0,01905374715749639;False;0,528121969948723;2,172479815021462;-0,17247981502144547;1;0,6689474255142208;3;330,0;2,2333832377212595;165,0;5,0;60,0;0,030303030303030304;0,36363636363636365;0,6060606060606061;180,0;0,4166666666666667;True;319;181700,0;60,0;324;181800,0;-100,0;165,0;-105,0;6;stop;False;2026-03-06 11:38:00;65,0;False;True;True;True;True;ouro;T1
456;2026-03-06 12:44:00;-1;12,733333333333333;182200,0;182150,0;155,8887112028651;0,12667670459045913;-0,006922103445876885;False;0,09171028348684189;2,6003228517601413;-0,6003228517601992;0;0,17449107629864172;2;305,0;1,9565239692250043;150,0;0,0;50,0;0,0;0,3333333333333333;0,6666666666666666;115,0;0,08695652173913043;True;456;182200,0;540,0;461;182300,0;-100,0;170,0;-110,0;6;stop;False;2026-03-06 12:53:00;50,0;False;True;True;True;True;ouro;T1
471;2026-03-06 12:58:00;1;12,966666666666667;182500,0;182550,0;139,813011567601;0,16264836460203644;-0,0027493858368004007;False;0,4867173692816234;1,982031686976946;0,017968313023084062;3;0,8242935196447571;2;230,0;1,6450543295020341;170,0;0,0;70,0;0,0;0,4117647058823529;0,5882352941176471;120,0;0,08333333333333333;True;471;182500,0;60,0;472;182400,0;-100,0;25,0;-100,0;2;stop;False;2026-03-06 12:59:00;70,0;False;True;True;True;True;ouro;T1
488;2026-03-06 13:09:00;-1;13,15;182400,0;182350,0;133,96585890172102;0,05418380843290656;0,00668129720503801;True;0,01486792787844516;2,4815752284732144;-0,4815752284732311;0;0,05259721731801121;2;235,0;1,7541782803960437;155,0;10,0;45,0;0,06451612903225806;0,2903225806451613;0,6451612903225806;115,0;0,043478260869565216;True;488;182400,0;420,0;497;182500,0;-100,0;275,0;-105,0;10;stop;False;2026-03-06 13:16:00;55,0;False;True;True;True;True;ouro;T1
518;2026-03-06 13:34:00;1;13,566666666666666;182600,0;182650,0;137,16060074876145;0,11226551525683165;-0,018332846791189662;False;0,3764071125782414;1,5399743650831077;0,4600256349168292;0;0,4052910121336899;3;320,0;2,333031484647311;140,0;10,0;30,0;0,07142857142857142;0,21428571428571427;0,7142857142857143;120,0;0,08333333333333333;True;518;182600,0;120,0;521;182900,0;300,0;300,0;-65,0;4;alvo;False;2026-03-06 13:36:00;40,0;False;True;True;True;True;ouro;T1
