i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
63;2026-03-06 10:10:00;-1;10,166666666666666;182700,0;182650,0;143,16762503792475;0,06609165215548507;0,04098182101845306;True;-0,09838638226572224;3,9381027616654145;-1,9381027616654227;0;0,11697527727751957;1;150,0;1,0477229049533048;110,0;5,0;5,0;0,045454545454545456;0,045454545454545456;0,9090909090909091;150,0;0,3333333333333333;True;63;182700,0;0,0;64;182800,0;-100,0;95,0;-105,0;2;stop;False;2026-03-06 10:10:00;10,0;False;False;False;False;False;bronze;T1
74;2026-03-06 10:14:00;1;10,233333333333333;183000,0;183050,0;144,23880944988176;0,044854268949704686;0,018048667069976047;True;0,5240179556095329;1,2253769174602482;0,7746230825396535;0;1,13439238275588;1;115,0;0,7972888880503324;195,0;10,0;85,0;0,05128205128205128;0,4358974358974359;0,5128205128205128;110,0;0,0;True;74;183000,0;60,0;75;182900,0;-100,0;90,0;-110,0;2;stop;False;2026-03-06 10:15:00;95,0;True;False;False;False;False;bronze;T1
84;2026-03-06 10:19:00;-1;10,316666666666666;182800,0;182750,0;146,0841859047846;0,07521792340339323;-0,01558460621737454;False;0,18126774315651434;2,3617397891873915;-0,3617397891874598;0;0,09856216053620905;3;360,0;2,4643324516634704;105,0;0,0;5,0;0,0;0,047619047619047616;0,9523809523809523;125,0;0,12;True;84;182800,0;0,0;85;182900,0;-100,0;60,0;-120,0;2;stop;False;2026-03-06 10:19:00;5,0;False;True;False;True;False;prata;T1
90;2026-03-06 10:21:00;1;10,35;183000,0;183050,0;147,8025232576155;0,05921701371286814;0,012021257879803451;True;0,35393877777459876;1,895528756707791;0,1044712432922472;5;0,8491507027388313;1;185,0;1,2516701063184854;150,0;0,0;50,0;0,0;0,3333333333333333;0,6666666666666666;185,0;0,43243243243243246;True;90;183000,0;120,0;91;182900,0;-100,0;5,0;-100,0;2;stop;False;2026-03-06 10:23:00;50,0;True;False;True;False;False;bronze;T1
96;2026-03-06 10:25:00;1;10,416666666666666;183000,0;183050,0;147,75340406433392;0,027378380175717157;0,015376458962687906;True;0,12984375630022135;1,9048803083499046;0,09511969165013412;11;0,703895635042638;1;120,0;0,8121640293833793;195,0;15,0;80,0;0,07692307692307693;0,41025641025641024;0,5128205128205128;120,0;0,08333333333333333;True;96;183000,0;60,0;98;183200,0;200,0;200,0;-10,0;3;alvo;False;2026-03-06 10:26:00;95,0;True;False;False;False;False;bronze;T1
105;2026-03-06 10:28:00;1;10,466666666666667;183100,0;183150,0;162,4290758574482;0,11316029068260668;-0,024833075138116268;False;0,3154834933921602;1,5163760785996503;0,4836239214003693;0;0,33836369737423755;3;435,0;2,678091946923141;155,0;25,0;30,0;0,16129032258064516;0,1935483870967742;0,6451612903225806;175,0;0,2;True;105;183100,0;60,0;108;183000,0;-100,0;125,0;-220,0;4;stop;False;2026-03-06 10:29:00;55,0;False;True;True;True;True;ouro;T1
112;2026-03-06 10:30:00;-1;10,5;183000,0;182950,0;158,46428265931885;0,034148602280911135;0,015476602339690084;True;0,14128149952553504;2,685777449119561;-0,6857774491195594;0;0,2552929796077054;2;225,0;1,4198783235192864;165,0;0,0;65,0;0,0;0,3939393939393939;0,6060606060606061;125,0;0,16;True;112;183000,0;0,0;113;183100,0;-100,0;70,0;-110,0;2;stop;False;2026-03-06 10:30:00;65,0;False;True;True;True;True;ouro;T1
116;2026-03-06 10:30:00;1;10,5;183200,0;183250,0;171,81222775720158;0,02630613453726477;0,020080750677548928;True;0,1829531974211714;1,5663290463409951;0,4336709536589459;0;0,7221028702418952;1;240,0;1,396873803063416;160,0;5,0;55,0;0,03125;0,34375;0,625;240,0;0,4583333333333333;True;116;183200,0;0,0;118;183400,0;200,0;280,0;-15,0;3;alvo;False;2026-03-06 10:30:00;60,0;True;False;True;False;False;bronze;T1
124;2026-03-06 10:30:00;1;10,5;183400,0;183450,0;162,52268799499916;0,136683550173487;-0,017195484264577295;False;0,6318036869932743;1,519076679185641;0,480923320814443;0;0,8565909575398867;3;440,0;2,7073143167158227;160,0;10,0;50,0;0,0625;0,3125;0,625;190,0;0,02631578947368421;True;124;183400,0;0,0;125;183300,0;-100,0;100,0;-100,0;2;stop;False;2026-03-06 10:30:00;60,0;False;True;True;True;True;ouro;T1
196;2026-03-06 10:53:00;1;10,883333333333333;182200,0;182250,0;145,49609415092954;0,04557440907245043;0,028217806929926346;True;-0,09165421510981388;3,6713797848340084;-1,6713797848339422;0;-0,12412163641853384;2;205,0;1,4089725308182117;160,0;0,0;60,0;0,0;0,375;0,625;155,0;0,3225806451612903;True;196;182200,0;0,0;197;182100,0;-100,0;25,0;-100,0;2;stop;False;2026-03-06 10:53:00;60,0;False;True;True;True;True;ouro;T1
213;2026-03-06 10:58:00;1;10,966666666666667;181900,0;181950,0;146,10454023472425;0,038060901414309026;0,020906359983143875;True;-0,017437174187128812;3,3074889739686077;-1,3074889739686295;0;-0,0026642925181695164;2;205,0;1,4031049252176369;160,0;5,0;55,0;0,03125;0,34375;0,625;160,0;0,375;True;213;181900,0;0,0;214;181800,0;-100,0;85,0;-115,0;2;stop;False;2026-03-06 10:58:00;60,0;False;True;True;True;True;ouro;T1
262;2026-03-06 11:17:00;1;11,283333333333333;181600,0;181650,0;142,09073115198763;0,16760203086986092;-0,018897764364500275;False;0,2613202971656132;1,8936835093267297;0,10631649067322035;3;0,45466497718501164;2;245,0;1,724250399823302;115,0;10,0;5,0;0,08695652173913043;0,043478260869565216;0,8695652173913043;140,0;0,17857142857142858;True;262;181600,0;0,0;263;181500,0;-100,0;50,0;-105,0;2;stop;False;2026-03-06 11:17:00;15,0;False;True;False;True;False;prata;T1
279;2026-03-06 11:25:00;1;11,416666666666666;181700,0;181750,0;133,1308970745138;0,009782143485949827;0,013223049682336493;True;0,31017472042112;1,583200480263459;0,41679951973657137;0;0,8071562468724547;1;110,0;0,8262544789916998;110,0;0,0;10,0;0,0;0,09090909090909091;0,9090909090909091;110,0;0,09090909090909091;True;279;181700,0;0,0;280;181600,0;-100,0;100,0;-110,0;2;stop;False;2026-03-06 11:25:00;10,0;True;False;False;False;False;bronze;T1
281;2026-03-06 11:26:00;1;11,433333333333334;181700,0;181750,0;140,56272485497007;0,015525369916870903;0,01315854812051912;True;0,24866895405031486;1,6612281490402605;0,33877185095976337;0;0,6905974583023822;1;210,0;1,4939949422343226;145,0;0,0;45,0;0,0;0,3103448275862069;0,6896551724137931;210,0;0,47619047619047616;True;281;181700,0;0,0;282;181600,0;-100,0;60,0;-100,0;2;stop;False;2026-03-06 11:26:00;45,0;True;False;True;False;False;bronze;T1
