i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
237;2026-08-07 09:30:13.716;1;9,5;175620,0;175670,0;168,29742218420864;0,10140213898483834;-0,012534114551243668;False;0,19192111401605627;2,595845948308402;-0,5958459483084881;0;0,14219190723788083;3;400,0;2,376744663160575;170,0;20,0;50,0;0,11764705882352941;0,29411764705882354;0,5882352941176471;160,0;0,0625;True;237;175620,0;0,819;239;175820,0;200,0;210,0;-50,0;3;alvo;False;2026-08-07 09:30:14.535;70,0;False;True;True;True;True;ouro;T1
407;2026-08-07 16:26:45.385;1;16,433333333333334;172620,0;172670,0;140,03370881945477;0,0010186238248010738;0,021064894500040586;True;-0,06608183438759427;3,075363302760826;-1,0753633027608926;0;-0,08122030147880632;2;210,0;1,4996389210168863;135,0;0,0;35,0;0,0;0,25925925925925924;0,7407407407407407;120,0;0,125;True;407;172620,0;271,592;409;172820,0;200,0;205,0;0,0;3;alvo;False;2026-08-07 16:31:16.977;35,0;False;True;True;True;True;ouro;T1
468;2026-08-10 09:35:09.026;1;9,583333333333334;173025,0;173075,0;133,95452633882033;0,01748198158295172;0,014027487653590668;True;0,03208758040020464;3,155257668045515;-1,1552576680456155;0;-0,16375187989637513;3;315,0;2,3515442785654663;140,0;20,0;20,0;0,14285714285714285;0,14285714285714285;0,7142857142857143;135,0;0,18518518518518517;True;468;173025,0;111,372;471;172925,0;-100,0;155,0;-100,0;4;stop;False;2026-08-10 09:37:00.398;40,0;False;True;True;True;True;ouro;T1
472;2026-08-10 09:49:41.407;1;9,816666666666666;173025,0;173075,0;139,39350204140447;0,04686530681733623;0,012664446300073575;True;-0,07590781027071042;2,8724767748347952;-0,8724767748347667;0;-0,09719090456277746;2;255,0;1,8293535657369207;165,0;15,0;50,0;0,09090909090909091;0,30303030303030304;0,6060606060606061;170,0;0,4117647058823529;True;472;173025,0;393,239;473;172925,0;-100,0;35,0;-100,0;2;stop;False;2026-08-10 09:56:14.646;65,0;False;True;True;True;True;ouro;T1
509;2026-08-10 10:34:46.889;-1;10,566666666666666;172725,0;172675,0;143,62175271226116;0,05733115727472282;-0,01079891322731785;False;0,19678675085777786;1,9203448748521605;0,079655125147885;9;0,34867678731065255;2;295,0;2,0540064052206453;125,0;5,0;20,0;0,04;0,16;0,8;105,0;0,047619047619047616;True;509;172725,0;29,377;510;172825,0;-100,0;45,0;-100,0;2;stop;False;2026-08-10 10:35:16.266;25,0;False;True;True;True;True;ouro;T1
552;2026-08-10 11:20:54.363;1;11,333333333333334;172025,0;172075,0;151,02737388049624;0,054405790271053855;0,01344522388201524;True;-0,10740639752768434;3,8311635047619164;-1,8311635047619041;0;-0,15087575480201176;2;275,0;1,8208619598828477;190,0;5,0;85,0;0,02631578947368421;0,4473684210526316;0,5263157894736842;135,0;0,25925925925925924;True;552;172025,0;67,856;553;171925,0;-100,0;85,0;-100,0;2;stop;False;2026-08-10 11:22:02.219;90,0;False;True;True;True;True;ouro;T1
593;2026-08-10 13:19:26.919;-1;13,316666666666666;172325,0;172275,0;145,61452061246192;0,1479024047975459;-0,007031697490780713;False;0,37174203729417976;2,642024455043568;-0,6420244550435419;0;0,6348886010394159;2;300,0;2,0602340943621904;185,0;10,0;75,0;0,05405405405405406;0,40540540540540543;0,5405405405405406;200,0;0,275;True;593;172325,0;759,776;596;172425,0;-100,0;110,0;-105,0;4;stop;False;2026-08-10 13:32:06.695;85,0;False;True;True;True;True;ouro;T1
616;2026-08-10 16:03:41.150;1;16,05;172425,0;172475,0;142,26232814682092;0,07255852239172216;-0,009705569479376787;False;0,09741650434901958;2,2266361370916314;-0,2266361370915614;1;0,18616257379623327;2;215,0;1,511292573379726;135,0;0,0;35,0;0,0;0,25925925925925924;0,7407407407407407;105,0;0,047619047619047616;True;616;172425,0;702,274;618;172625,0;200,0;200,0;-10,0;3;alvo;False;2026-08-10 16:15:23.424;35,0;False;True;True;True;True;ouro;T1
689;2026-08-11 09:53:21.363;-1;9,883333333333333;172025,0;171975,0;151,89677382218852;0,0564491591686692;-0,0014894611530466458;False;-0,0639118501677585;2,1330024260753033;-0,13300242607536797;2;-0,07977617713522694;2;300,0;1,9750254890283727;140,0;15,0;25,0;0,10714285714285714;0,17857142857142858;0,7142857142857143;175,0;0,42857142857142855;True;689;172025,0;328,461;692;172125,0;-100,0;140,0;-115,0;4;stop;False;2026-08-11 09:58:49.824;40,0;False;True;True;True;True;ouro;T1
903;2026-08-12 09:01:34.841;-1;9,016666666666667;171460,0;171410,0;171,9331022529973;0,3022710207081428;-0,033420243312592045;False;0,19435638146826414;2,2867326368840275;-0,28673263688405404;0;0,3403577985925683;2;300,0;1,7448646948657622;135,0;5,0;30,0;0,037037037037037035;0,2222222222222222;0,7407407407407407;210,0;0,42857142857142855;True;903;171460,0;0,424;904;171560,0;-100,0;20,0;-120,0;2;stop;False;2026-08-12 09:01:35.265;35,0;False;True;True;True;True;ouro;T1
