i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
237;2026-08-07 09:30:13.716;1;9,5;175620,0;175670,0;168,29742218420864;0,10140213898483834;-0,012534114551243668;False;0,19192111401605627;2,595845948308402;-0,5958459483084881;0;0,14219190723788083;3;400,0;2,376744663160575;170,0;20,0;50,0;0,11764705882352941;0,29411764705882354;0,5882352941176471;160,0;0,0625;True;238;175570,0;12,258;240;175870,0;200,0;355,0;0,0;3,0;alvo;True;2026-08-07 09:30:25.994;70,0;False;True;True;True;True;ouro;T1
472;2026-08-10 09:49:41.407;1;9,816666666666666;173025,0;173075,0;139,39350204140447;0,04686530681733623;0,012664446300073575;True;-0,07590781027071042;2,8724767748347952;-0,8724767748347667;0;-0,09719090456277746;2;255,0;1,8293535657369207;165,0;15,0;50,0;0,09090909090909091;0,30303030303030304;0,6060606060606061;170,0;0,4117647058823529;True;473;172975,0;106,594;474;172875,0;-100,0;0,0;-155,0;2,0;stop;False;2026-08-10 09:58:01.240;65,0;False;True;True;True;True;ouro;T1
509;2026-08-10 10:34:46.889;-1;10,566666666666666;172725,0;172675,0;143,62175271226116;0,05733115727472282;-0,01079891322731785;False;0,19678675085777786;1,9203448748521605;0,079655125147885;9;0,34867678731065255;2;295,0;2,0540064052206453;125,0;5,0;20,0;0,04;0,16;0,8;105,0;0,047619047619047616;True;510;172775,0;52,778;511;172875,0;-100,0;0,0;-155,0;2,0;stop;False;2026-08-10 10:36:09.044;25,0;False;True;True;True;True;ouro;T1
552;2026-08-10 11:20:54.363;1;11,333333333333334;172025,0;172075,0;151,02737388049624;0,054405790271053855;0,01344522388201524;True;-0,10740639752768434;3,8311635047619164;-1,8311635047619041;0;-0,15087575480201176;2;275,0;1,8208619598828477;190,0;5,0;85,0;0,02631578947368421;0,4473684210526316;0,5263157894736842;135,0;0,25925925925925924;True;553;171975,0;414,321;556;171875,0;-100,0;70,0;-125,0;4,0;stop;False;2026-08-10 11:28:56.540;90,0;False;True;True;True;True;ouro;T1
593;2026-08-10 13:19:26.919;-1;13,316666666666666;172325,0;172275,0;145,61452061246192;0,1479024047975459;-0,007031697490780713;False;0,37174203729417976;2,642024455043568;-0,6420244550435419;0;0,6348886010394159;2;300,0;2,0602340943621904;185,0;10,0;75,0;0,05405405405405406;0,40540540540540543;0,5405405405405406;200,0;0,275;True;594;172375,0;1520,845;597;172475,0;0,0;160,0;-155,0;4,0;stop_zero;True;2026-08-10 13:49:15.909;85,0;False;True;True;True;True;ouro;T1
903;2026-08-12 09:01:34.841;-1;9,016666666666667;171460,0;171410,0;171,9331022529973;0,3022710207081428;-0,033420243312592045;False;0,19435638146826414;2,2867326368840275;-0,28673263688405404;0;0,3403577985925683;2;300,0;1,7448646948657622;135,0;5,0;30,0;0,037037037037037035;0,2222222222222222;0,7407407407407407;210,0;0,42857142857142855;True;904;171510,0;1,274;905;171610,0;-100,0;0,0;-145,0;2,0;stop;False;2026-08-12 09:01:36.539;35,0;False;True;True;True;True;ouro;T1
950;2026-08-12 09:06:45.375;-1;9,1;171360,0;171310,0;160,3868232363308;0,12494840389698275;-0,004484417910940589;False;0,43988549439397323;1,5382633389820441;0,46173666101795985;0;0,7441125842735349;2;335,0;2,088700263776506;185,0;5,0;80,0;0,02702702702702703;0,43243243243243246;0,5405405405405406;190,0;0,15789473684210525;True;951;171410,0;7,084;952;171510,0;-100,0;35,0;-150,0;2,0;stop;False;2026-08-12 09:07:30.028;85,0;False;True;True;True;True;ouro;T1
1003;2026-08-12 09:35:15.560;1;9,583333333333334;171460,0;171510,0;153,27408552216139;0,07857227867128572;0,008783360715969595;True;0,23211112837006792;2,3497570343545027;-0,34975703435447303;0;0,40487816611150207;2;265,0;1,7289289255729048;130,0;0,0;30,0;0,0;0,23076923076923078;0,7692307692307693;175,0;0,2571428571428571;True;1004;171410,0;615,574;1012;171710,0;200,0;355,0;-45,0;9,0;alvo;True;2026-08-12 09:48:13.840;30,0;False;True;True;True;True;ouro;T1
1119;2026-08-12 10:44:18.098;-1;10,733333333333333;171060,0;171010,0;152,998052942083;0,1604785002825789;-0,009892066573199266;False;0,4941822413293712;1,062792527494854;0,9372074725051899;0;0,8341885844343112;2;260,0;1,6993680311632613;180,0;20,0;60,0;0,1111111111111111;0,3333333333333333;0,5555555555555556;130,0;0,0;True;1120;171110,0;15,648;1121;171210,0;-100,0;0,0;-155,0;2,0;stop;False;2026-08-12 10:45:08.666;80,0;False;True;True;True;True;ouro;T1
1206;2026-08-12 11:55:45.864;-1;11,916666666666666;171160,0;171110,0;140,39486129154406;0,19789047244517777;-0,02799381276076761;False;0,48317326020817075;1,3995593489904858;0,6004406510094709;0;0,5850379149966418;3;405,0;2,884720966809296;145,0;5,0;40,0;0,034482758620689655;0,27586206896551724;0,6896551724137931;105,0;0,0;True;1207;171210,0;12,971;1208;171310,0;-100,0;0,0;-135,0;2,0;stop;False;2026-08-12 11:56:57.351;45,0;False;True;True;True;True;ouro;T1
1334;2026-08-13 09:31:43.625;1;9,516666666666667;169765,0;169815,0;156,53705381699137;0,10560332821493795;0,013966085442858878;True;0,20083355079167986;2,8258140533582727;-0,8258140533582206;0;0,35313170997123094;2;265,0;1,6928899167210179;130,0;5,0;25,0;0,038461538461538464;0,19230769230769232;0,7692307692307693;165,0;0,21212121212121213;True;1335;169715,0;175,739;1337;170015,0;200,0;360,0;0,0;3,0;alvo;True;2026-08-13 09:34:55.710;30,0;False;True;True;True;True;ouro;T1
1343;2026-08-13 09:45:29.079;1;9,75;170065,0;170115,0;153,20019223954503;0,23752954014709202;-0,015142008889104806;False;0,6209720978632111;2,0338191114031523;-0,03381911140317927;2;1,0418345447641526;2;240,0;1,5665776686802984;185,0;15,0;70,0;0,08108108108108109;0,3783783783783784;0,5405405405405406;125,0;0,16;True;1344;170015,0;372,547;1348;170315,0;200,0;320,0;0,0;5,0;alvo;True;2026-08-13 10:00:24.199;85,0;False;True;True;True;True;ouro;T1
1507;2026-08-13 17:02:21.767;-1;17,033333333333335;170265,0;170215,0;143,2023078542075;0,20934336442526416;-0,024917171816716252;False;0,2745404615592568;2,3083901376369793;-0,3083901376369229;0;0,47611257227923726;2;295,0;2,0600226659778125;140,0;5,0;35,0;0,03571428571428571;0,25;0,7142857142857143;140,0;0,07142857142857142;True;1508;170315,0;2306,326;1509;170415,0;-100,0;5,0;-170,0;2,0;stop;False;2026-08-13 17:55:00.258;40,0;False;True;True;True;True;ouro;T1
1631;2026-08-14 10:19:03.866;-1;10,316666666666666;169700,0;169650,0;151,2864854025106;0,009186456279940965;0,008636693159993417;True;-0,04487522201033186;2,760181047958627;-0,7601810479586332;0;-0,04849417376455867;2;220,0;1,454194665271463;145,0;5,0;40,0;0,034482758620689655;0,27586206896551724;0,6896551724137931;160,0;0,3125;True;1632;169750,0;333,202;1633;169850,0;-100,0;0,0;-100,0;2,0;stop;False;2026-08-14 10:25:40.178;45,0;False;True;True;True;True;ouro;T1
2054;2026-08-17 13:23:08.608;1;13,383333333333333;169945,0;169995,0;152,27818244433456;0,11027799444466886;-0,010476522670707086;False;0,11014777336568597;2,1768235613768123;-0,17682356137677666;1;0,20526671007519842;2;235,0;1,543228295924168;155,0;5,0;50,0;0,03225806451612903;0,3225806451612903;0,6451612903225806;200,0;0,5;True;2055;169895,0;554,322;2056;169795,0;-100,0;0,0;-150,0;2,0;stop;False;2026-08-17 13:34:44.646;55,0;False;True;True;True;True;ouro;T1
2074;2026-08-17 15:17:15.320;-1;15,283333333333333;169745,0;169695,0;148,7773358373628;0,09108214479575874;-0,01562690956179659;False;0,2809138187849264;1,8037384574590702;0,19626154254098585;14;0,26537042766365965;3;305,0;2,050043430898731;175,0;10,0;65,0;0,05714285714285714;0,37142857142857144;0,5714285714285714;100,0;0,0;True;2075;169795,0;333,871;2076;169895,0;-100,0;0,0;-150,0;2,0;stop;False;2026-08-17 15:33:20.022;75,0;False;True;True;True;True;ouro;T1
