i;data;lado;hora;preco_fecha;preco_meio;atr;incl_hma;curva;concava;incl_ema;folga_banda;dist_hma_ema;barras_colada;estic;n_ret;ret_pts;ret_atr;rng;pav_fav;pav_con;pav_fav_r;pav_con_r;corpo_r;rng_ret;pav_ret_con_r;aceito;i_ent;preco_ent;dur_s;i_sai;preco_sai;pts;mfe;mae;barras;motivo;parcial;data_sai;pav_tot;exaustao;ret_ok;geom_ok;e_prata;e_ouro;nivel;terco
58;2026-08-06 10:54:30.265;1;10,9;177100,0;177150,0;152,2147623173388;0,002647117775039521;0,007788471656579867;True;-0,09330361997761766;2,6515533900021744;-0,6515533900021998;0;0,1087696134952541;1;120,0;0,7883598027753895;195,0;0,0;95,0;0,0;0,48717948717948717;0,5128205128205128;120,0;0,041666666666666664;True;59;177050,0;11,578;60;176950,0;-100,0;0,0;-150,0;2,0;stop;False;2026-08-06 10:56:58.626;95,0;False;False;False;False;False;bronze;T1
69;2026-08-06 11:03:25.197;-1;11,05;176800,0;176750,0;139,01423022945815;0,09170366666363133;0,0014414916163937534;True;0,56404544097213;1,551526820177228;0,44847317982273055;0;0,9511104565512443;2;220,0;1,5825717959727288;135,0;0,0;35,0;0,0;0,25925925925925924;0,7407407407407407;160,0;0,3125;True;70;176850,0;13,919;71;176950,0;-100,0;0,0;-165,0;2,0;stop;False;2026-08-06 11:04:18.077;35,0;True;True;True;False;False;bronze;T1
79;2026-08-06 11:11:11.910;-1;11,183333333333334;176800,0;176750,0;139,43994532383687;0,029220844060349496;0,02257005015054902;True;0,21939628918503692;1,595862728107309;0,40413727189279125;0;0,8798668295753426;1;185,0;1,3267360337122476;160,0;0,0;60,0;0,0;0,375;0,625;185,0;0,43243243243243246;True;80;176850,0;190,959;81;176650,0;200,0;205,0;0,0;2,0;alvo;False;2026-08-06 11:15:15.540;60,0;True;False;True;False;False;bronze;T1
147;2026-08-06 16:00:19.227;1;16,0;176400,0;176450,0;153,24943860078662;0,06038266254328901;0,017603290994497284;True;-0,1288112709019345;3,6980567941611557;-1,6980567941611207;0;-0,18629966130316142;2;220,0;1,4355680647750886;195,0;5,0;90,0;0,02564102564102564;0,46153846153846156;0,5128205128205128;135,0;0,25925925925925924;True;148;176350,0;283,355;149;176250,0;-100,0;0,0;-150,0;2,0;stop;False;2026-08-06 16:11:16.666;95,0;False;True;False;True;False;prata;T1
194;2026-08-07 09:04:44.152;-1;9,066666666666666;176120,0;176070,0;153,4744738597227;0,2707044203675112;-0,011033378447579163;False;0,4629166925951734;2,2718484074761376;-0,2718484074761481;0;1,0176972837373712;1;125,0;0,8144676887066661;205,0;10,0;95,0;0,04878048780487805;0,4634146341463415;0,4878048780487805;125,0;0,16;True;195;176170,0;77,665;196;175970,0;200,0;265,0;0,0;2,0;alvo;False;2026-08-07 09:06:24.041;105,0;False;False;False;False;False;bronze;T1
237;2026-08-07 09:30:13.716;1;9,5;175620,0;175670,0;168,29742218420864;0,10140213898483834;-0,012534114551243668;False;0,19192111401605627;2,595845948308402;-0,5958459483084881;0;0,14219190723788083;3;400,0;2,376744663160575;170,0;20,0;50,0;0,11764705882352941;0,29411764705882354;0,5882352941176471;160,0;0,0625;True;238;175570,0;0,799;239;175770,0;200,0;260,0;0,0;2,0;alvo;False;2026-08-07 09:30:14.535;70,0;False;True;True;True;True;ouro;T1
251;2026-08-07 09:35:30.619;1;9,583333333333334;176020,0;176070,0;162,0720445763618;0,17797421897095397;-0,02057230304757312;False;0,3930562722704527;1,2895414356478898;0,7104585643520653;0;0,8895043405325284;1;180,0;1,1106171978671575;205,0;5,0;100,0;0,024390243902439025;0,4878048780487805;0,4878048780487805;180,0;0,4444444444444444;True;252;175970,0;170,632;255;176170,0;200,0;205,0;0,0;4,0;alvo;False;2026-08-07 09:40:45.025;105,0;False;False;False;False;False;bronze;T1
282;2026-08-07 10:14:56.163;-1;10,233333333333333;175920,0;175870,0;147,98850106512418;0,18528434573660393;-0,0017180763814797675;False;0,33917124555231826;2,382724310097279;-0,38272431009734065;0;0,8246232908743356;1;150,0;1,013592265077343;155,0;15,0;40,0;0,0967741935483871;0,25806451612903225;0,6451612903225806;150,0;0,3;True;283;175970,0;15,813;284;176070,0;-100,0;50,0;-155,0;2,0;stop;False;2026-08-07 10:16:21.518;55,0;False;False;True;False;False;bronze;T1
366;2026-08-07 12:31:07.314;1;12,516666666666667;173320,0;173370,0;149,32634728687486;0,14574107323536648;0,051484539841011784;True;0,003055428011012134;5,100766129277921;-3,1007661292779702;0;0,4910452893920568;1;135,0;0,9040601504880306;135,0;0,0;35,0;0,0;0,25925925925925924;0,7407407407407407;135,0;0,2222222222222222;True;367;173270,0;350,993;368;173170,0;-100,0;0,0;-115,0;2,0;stop;False;2026-08-07 12:41:30.739;35,0;True;False;True;False;False;bronze;T1
368;2026-08-07 12:41:30.739;1;12,683333333333334;173320,0;173370,0;152,04656800568168;0,1958454868213426;0,031128829386165676;True;0,11662507828162248;4,7140723121255235;-2,71407231212554;0;0,4529169137563363;1;165,0;1,0851938466235835;165,0;0,0;65,0;0,0;0,3939393939393939;0,6060606060606061;165,0;0,30303030303030304;True;369;173270,0;139,153;370;173170,0;-100,0;0,0;-155,0;2,0;stop;False;2026-08-07 12:47:53.163;65,0;True;False;True;False;False;bronze;T1
