i,saiu,s,ent,res,pnl,dia,barras,gatilho,tam,fams
172,193,1,174905.0,alvo,225.0,2026-06-30,21,168,1.6176470588235294,['medias']
272,273,-1,173830.0,stop,-150.0,2026-07-01,1,271,3.5426008968609866,['vwap']
275,276,1,174105.0,stop,-150.0,2026-07-01,1,273,2.8727272727272726,['vwap']
279,280,1,173645.0,stop,-150.0,2026-07-01,1,278,1.9602649006622517,"['pivos', 'diant']"
310,313,1,173240.0,zero,0.0,2026-07-01,3,307,1.9146482122260668,['medias']
388,390,1,172550.0,stop,-150.0,2026-07-01,2,383,2.217659137577002,['medias']
445,448,1,172900.0,stop,-150.0,2026-07-01,3,443,1.6491228070175439,"['medias', 'vwap']"
487,493,1,173900.0,alvo,225.0,2026-07-01,6,483,1.5172413793103448,[]
721,723,-1,174240.0,stop,-150.0,2026-07-01,2,718,2.549800796812749,['pivos']
818,819,-1,174870.0,stop,-150.0,2026-07-02,1,817,1.6341030195381883,[]
820,821,1,175180.0,alvo,225.0,2026-07-02,1,818,4.0358744394618835,"['medias', 'vwap', 'diant']"
861,868,-1,176305.0,alvo,225.0,2026-07-02,7,856,1.644359464627151,['pivos']
965,970,1,175645.0,alvo,225.0,2026-07-02,5,962,1.7112299465240641,"['medias', 'vwap', 'pivos']"
1024,1033,1,176015.0,zero,0.0,2026-07-02,9,1020,1.6556291390728477,[]
1073,1082,-1,175205.0,alvo,225.0,2026-07-02,9,1068,1.543859649122807,[]
1100,1105,-1,174805.0,stop,-150.0,2026-07-02,5,1098,1.5607985480943738,['medias']
1259,1269,1,174880.0,alvo,225.0,2026-07-02,10,1256,1.6252821670428894,[]
1273,1286,1,175320.0,stop,-150.0,2026-07-02,13,1271,1.6981132075471699,[]
1294,1296,-1,175670.0,stop,-150.0,2026-07-03,2,1289,1.88911704312115,['vwap']
1297,1301,1,175960.0,alvo,225.0,2026-07-03,4,1293,2.057142857142857,['vwap']
1423,1431,-1,175785.0,zero,0.0,2026-07-03,8,1421,1.5353535353535352,[]
1489,1505,1,176010.0,alvo,225.0,2026-07-03,16,1485,1.5694164989939638,['medias']
1620,1645,-1,176920.0,alvo,225.0,2026-07-03,25,1615,1.5718157181571815,"['medias', 'diant']"
1655,1660,-1,176575.0,stop,-150.0,2026-07-03,5,1651,1.834862385321101,['medias']
1669,1673,-1,176505.0,alvo,225.0,2026-07-06,4,1668,2.8508771929824563,"['medias', 'vwap']"
1971,1985,1,174185.0,stop,-150.0,2026-07-06,14,1966,1.6252821670428894,['medias']
2048,2056,1,174445.0,alvo,225.0,2026-07-06,8,2043,1.942257217847769,['medias']
2130,2146,1,174695.0,zero,0.0,2026-07-06,16,2127,1.6981132075471699,"['medias', 'pivos']"
2149,2150,-1,174275.0,stop,-150.0,2026-07-07,1,2148,2.2278481012658227,['vwap']
2158,2159,-1,174890.0,stop,-150.0,2026-07-07,1,2155,1.5579710144927537,['pivos']
2396,2399,1,174755.0,alvo,225.0,2026-07-07,3,2392,1.5250544662309369,[]
