i,saiu,s,ent,res,pnl,dia,barras,gatilho,tam,fams
205,210,1,171890.0,zero,0.0,2026-08-12,5,200,1.516245487364621,['medias']
282,286,-1,171550.0,alvo,225.0,2026-08-12,4,280,1.6508795669824086,[]
624,626,-1,169660.0,stop,-150.0,2026-08-13,2,621,1.8687872763419484,"['medias', 'vwap', 'pivos']"
663,675,1,170310.0,alvo,225.0,2026-08-13,12,660,1.5625,['diant']
709,712,1,171135.0,stop,-150.0,2026-08-13,3,708,1.6135881104033971,['pivos']
718,720,-1,170975.0,stop,-150.0,2026-08-13,2,716,1.593625498007968,['medias']
948,952,1,170530.0,stop,-150.0,2026-08-13,4,943,1.6284987277353689,"['medias', 'vwap']"
1119,1121,1,169585.0,stop,-150.0,2026-08-14,2,1117,1.6037735849056605,"['medias', 'pivos']"
1123,1128,-1,169325.0,stop,-150.0,2026-08-14,5,1119,2.156448202959831,"['medias', 'pivos', 'diant']"
1156,1163,-1,169630.0,stop,-150.0,2026-08-14,7,1154,1.6417910447761195,"['medias', 'vwap']"
1196,1200,-1,168915.0,stop,-150.0,2026-08-14,4,1195,1.5904572564612327,[]
1205,1212,-1,168980.0,zero,0.0,2026-08-14,7,1200,1.851179673321234,['medias']
1298,1302,1,168800.0,stop,-150.0,2026-08-14,4,1294,1.5853658536585367,['medias']
1351,1355,-1,168485.0,stop,-150.0,2026-08-14,4,1348,1.5560640732265447,['medias']
1387,1397,-1,168090.0,stop,-150.0,2026-08-14,10,1385,1.6624685138539044,['pivos']
1437,1441,1,168890.0,alvo,225.0,2026-08-14,4,1435,1.5,['medias']
1493,1497,1,170095.0,zero,0.0,2026-08-14,4,1491,1.9012797074954295,['medias']
1503,1507,-1,170575.0,zero,0.0,2026-08-17,4,1500,1.7302052785923754,['vwap']
1547,1567,-1,169550.0,zero,0.0,2026-08-17,20,1545,1.5058823529411764,[]
1649,1651,-1,170690.0,alvo,225.0,2026-08-17,2,1647,1.5384615384615385,['medias']
1655,1661,-1,170325.0,alvo,225.0,2026-08-17,6,1652,1.6083916083916083,['medias']
1898,1901,-1,169745.0,stop,-150.0,2026-08-17,3,1893,1.5384615384615385,['medias']
1960,1961,1,168975.0,stop,-150.0,2026-08-18,1,1958,2.8183361629881154,[]
2077,2078,1,170240.0,stop,-150.0,2026-08-18,1,2073,1.6414686825053997,"['medias', 'pivos']"
2092,2097,1,170125.0,alvo,225.0,2026-08-18,5,2091,1.507760532150776,['medias']
2308,2322,1,169955.0,stop,-150.0,2026-08-18,14,2307,1.5294117647058822,['medias']
2364,2367,1,169420.0,stop,-150.0,2026-08-18,3,2360,1.7128463476070528,['diant']
2385,2395,-1,169325.0,zero,0.0,2026-08-18,10,2383,1.5384615384615385,"['medias', 'diant']"
2405,2406,-1,168750.0,stop,-150.0,2026-08-19,1,2404,2.8189910979228485,['vwap']
2410,2411,1,169195.0,stop,-150.0,2026-08-19,1,2406,2.4907521578298395,['vwap']
2478,2482,1,170640.0,alvo,225.0,2026-08-19,4,2473,1.5662650602409638,['medias']
2503,2504,-1,171535.0,stop,-150.0,2026-08-19,1,2498,1.6586921850079746,[]
2506,2509,-1,171480.0,stop,-150.0,2026-08-19,3,2504,1.8710493046776233,['diant']
2513,2514,-1,171350.0,stop,-150.0,2026-08-19,1,2509,1.6570771001150748,"['medias', 'diant']"
2607,2608,1,172350.0,stop,-150.0,2026-08-19,1,2602,1.694915254237288,['medias']
2726,2736,-1,172395.0,alvo,225.0,2026-08-19,10,2721,2.085661080074488,['medias']
2813,2820,-1,170845.0,stop,-150.0,2026-08-19,7,2810,1.5053763440860215,['medias']
