data;dia;setup;lado;ent;stop_pts;alvo_pts;res;pnl;pnl_rs;barras
2026-06-30 11:43:00;2026-06-30;T;compra;174125,0;107,2;300,0;zero;-5,144329406903125e-12;-1,0288658813806251e-12;4
2026-06-30 13:00:00;2026-06-30;D;venda;174727,5;87,4;300,0;stop;-87,42966866631798;-17,485933733263597;3
2026-06-30 14:13:00;2026-06-30;D;venda;174942,5;85,1;300,0;stop;-85,0502617491241;-17,01005234982482;1
2026-07-01 09:11:00;2026-07-01;T;compra;173215,0;164,4;300,0;stop;-164,39198811452138;-32,87839762290428;5
2026-07-01 10:13:00;2026-07-01;D;compra;172140,0;95,7;300,0;alvo;197,8270309082812;39,56540618165624;6
2026-07-01 11:12:00;2026-07-01;D;venda;173990,0;112,8;300,0;stop;-112,80735909339703;-22,561471818679408;1
2026-07-01 11:52:00;2026-07-01;D;venda;174060,0;94,2;300,0;alvo;197,1211745823175;39,424234916463504;4
2026-07-01 12:11:00;2026-07-01;D;compra;173542,5;95,0;300,0;alvo;197,4990063994422;39,499801279888445;15
2026-07-01 13:51:00;2026-07-01;D;compra;174455,0;81,2;300,0;stop;-81,23461967072129;-16,24692393414426;1
2026-07-02 09:04:00;2026-07-02;D;venda;174747,5;143,2;300,0;alvo;221,6080883335327;44,321617666706544;4
2026-07-02 09:45:00;2026-07-02;D;compra;176227,5;109,5;300,0;stop;-109,52650413844748;-21,905300827689498;2
2026-07-02 10:25:00;2026-07-02;D;compra;175300,0;105,5;300,0;stop;-105,49264635759931;-21,098529271519865;2
2026-07-02 11:31:00;2026-07-02;D;venda;175477,5;110,3;300,0;alvo;205,16376529406602;41,032753058813206;3
2026-07-02 12:04:00;2026-07-02;D;compra;174820,0;107,3;300,0;stop;-107,32138229821217;-21,464276459642434;1
2026-07-02 13:12:00;2026-07-02;D;venda;174925,0;95,2;300,0;alvo;197,60921006189352;39,521842012378706;4
2026-07-02 15:05:00;2026-07-02;D;venda;174787,5;86,4;300,0;stop;-86,38708094863802;-17,277416189727603;1
2026-07-03 09:16:00;2026-07-03;D;compra;176367,5;101,7;300,0;alvo;200,82974795526147;40,165949591052296;14
2026-07-03 10:51:00;2026-07-03;D;compra;175967,5;103,5;300,0;alvo;201,73435693889047;40,346871387778094;8
2026-07-03 11:35:00;2026-07-03;D;compra;176430,0;84,2;300,0;alvo;192,09244548351134;38,418489096702274;3
2026-07-03 11:56:00;2026-07-03;D;venda;176730,0;76,3;300,0;zero;-5,6488147492927965e-12;-1,1297629498585593e-12;3
