data;dia;setup;lado;ent;res;pnl;pnl_rs;barras
2026-08-12 10:07:00;2026-08-12;B;compra;171505,0;stop;-150,0;-30,0;1
2026-08-12 10:23:00;2026-08-12;B;compra;170615,0;zero;50,0;10,0;3
2026-08-12 15:38:00;2026-08-12;B;compra;170867,5;alvo;200,0;40,0;9
2026-08-12 17:06:00;2026-08-12;A;venda;170955,0;alvo;200,0;40,0;4
2026-08-13 09:35:00;2026-08-13;B;venda;170040,0;stop;-150,0;-30,0;1
2026-08-13 10:00:00;2026-08-13;B;venda;170252,5;zero;50,0;10,0;5
2026-08-13 10:30:00;2026-08-13;A;compra;171035,0;alvo;200,0;40,0;5
2026-08-13 11:24:00;2026-08-13;A;venda;170735,0;zero;50,0;10,0;6
2026-08-13 13:33:00;2026-08-13;A;venda;170037,5;stop;-150,0;-30,0;3
2026-08-13 15:41:00;2026-08-13;A;compra;170310,0;zero;50,0;10,0;4
2026-08-14 09:31:00;2026-08-14;B;compra;169727,5;stop;-150,0;-30,0;5
2026-08-14 09:37:00;2026-08-14;B;compra;169510,0;stop;-150,0;-30,0;3
2026-08-14 15:05:00;2026-08-14;A;venda;168232,5;stop;-150,0;-30,0;3
2026-08-14 16:49:00;2026-08-14;B;venda;169787,5;stop;-150,0;-30,0;2
2026-08-17 10:40:00;2026-08-17;B;compra;169815,0;stop;-150,0;-30,0;2
2026-08-17 11:03:00;2026-08-17;B;venda;170272,5;zero;50,0;10,0;4
2026-08-18 10:01:00;2026-08-18;A;compra;169715,0;zero;50,0;10,0;8
2026-08-18 10:14:00;2026-08-18;B;venda;170242,5;zero;50,0;10,0;6
2026-08-19 10:35:00;2026-08-19;B;venda;172447,5;zero;50,0;10,0;5
2026-08-19 11:25:00;2026-08-19;B;compra;172795,0;alvo;200,0;40,0;3
2026-08-19 11:55:00;2026-08-19;A;venda;172540,0;stop;-150,0;-30,0;1
2026-08-19 13:29:00;2026-08-19;B;compra;170975,0;stop;-150,0;-30,0;3
2026-08-19 15:43:00;2026-08-19;A;venda;171092,5;alvo;200,0;40,0;5
2026-08-20 09:31:00;2026-08-20;B;compra;169520,0;zero;50,0;10,0;3
2026-08-20 09:41:00;2026-08-20;B;compra;169370,0;alvo;200,0;40,0;6
2026-08-20 10:00:00;2026-08-20;B;venda;170182,5;alvo;200,0;40,0;4
2026-08-20 10:01:00;2026-08-20;A;compra;169785,0;alvo;200,0;40,0;4
2026-08-20 10:34:00;2026-08-20;B;venda;170632,5;stop;-150,0;-30,0;1
2026-08-20 11:47:00;2026-08-20;A;compra;171617,5;alvo;200,0;40,0;3
2026-08-20 12:05:00;2026-08-20;A;compra;172367,5;stop;-150,0;-30,0;3
2026-08-20 13:00:00;2026-08-20;A;venda;171487,5;alvo;200,0;40,0;5
2026-08-20 13:55:00;2026-08-20;B;compra;170627,5;stop;-150,0;-30,0;1
2026-08-21 10:06:00;2026-08-21;A;compra;171617,5;zero;50,0;10,0;3
