<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.04	18:15:28	3962.35	3965.57	3962.30	3965.57	262	253	58488
2025.11.04	18:17:09	3965.57	3968.70	3965.43	3968.70	461	439	100434
2025.11.04	18:17:30	3968.70	3971.66	3968.39	3971.66	128	119	20877
2025.11.04	18:18:25	3971.66	3972.35	3969.08	3969.08	292	359	55321
2025.11.04	18:19:27	3969.08	3972.05	3968.78	3972.05	305	314	61950
2025.11.04	18:20:56	3972.05	3972.52	3969.25	3972.52	409	485	88558
2025.11.04	18:22:15	3972.52	3974.31	3971.04	3974.31	358	384	79045
2025.11.04	18:23:56	3974.31	3975.46	3972.19	3972.19	430	466	100803
2025.11.04	18:30:01	3972.19	3975.21	3971.94	3971.94	1287	1230	365432
2025.11.04	18:32:55	3971.94	3972.76	3969.49	3969.49	687	632	173614
2025.11.04	18:35:34	3969.49	3971.65	3968.38	3971.65	716	589	158789
2025.11.04	18:39:08	3971.65	3974.02	3970.75	3970.75	858	816	214063
2025.11.04	18:40:30	3970.75	3970.77	3967.50	3967.50	283	325	82056
2025.11.04	18:42:20	3967.50	3968.98	3965.71	3968.98	410	371	109663
2025.11.04	18:44:12	3968.98	3970.89	3967.62	3967.62	347	295	111480
2025.11.04	18:48:23	3967.62	3970.37	3967.10	3967.10	628	596	250594
2025.11.04	18:50:17	3967.10	3967.52	3964.25	3964.25	322	311	114003
2025.11.04	18:55:54	3964.25	3967.19	3963.92	3967.19	1135	1066	336938
2025.11.04	19:01:42	3967.19	3969.99	3966.72	3969.99	1026	913	348091
2025.11.04	19:06:17	3969.99	3971.05	3967.78	3967.78	720	716	274137
2025.11.04	19:08:04	3967.78	3968.04	3964.77	3964.77	309	319	106869
2025.11.04	19:11:09	3964.77	3965.80	3962.53	3965.80	515	481	185048
2025.11.04	19:11:53	3965.80	3966.03	3962.76	3962.76	124	156	44200
2025.11.04	19:15:15	3962.76	3965.23	3961.96	3965.23	639	578	201416
2025.11.04	19:16:42	3965.23	3965.24	3961.97	3961.97	171	201	87666
2025.11.04	19:21:16	3961.97	3963.86	3960.59	3960.59	678	715	274004
2025.11.04	19:23:01	3960.59	3962.31	3959.04	3962.31	416	349	104889
2025.11.04	19:27:18	3962.31	3963.87	3960.60	3960.60	865	847	256797
2025.11.04	19:32:17	3960.60	3961.72	3958.45	3961.72	1041	1041	298588
2025.11.04	19:34:52	3961.72	3964.68	3961.41	3964.68	509	507	154533
2025.11.04	19:36:13	3964.68	3965.33	3962.06	3962.06	321	322	81419
2025.11.04	19:47:04	3962.06	3962.32	3959.05	3962.32	2043	1985	651386
2025.11.04	19:48:55	3962.32	3964.45	3961.18	3961.18	348	355	110218
2025.11.04	19:50:37	3961.18	3963.11	3959.84	3959.84	324	319	101975
2025.11.04	19:52:07	3959.84	3960.12	3956.85	3956.85	299	308	89850
2025.11.04	19:54:29	3956.85	3958.18	3954.91	3958.18	637	666	142026
2025.11.04	19:57:05	3958.18	3958.21	3954.94	3954.94	527	576	155786
2025.11.04	19:59:26	3954.94	3955.77	3952.50	3955.77	529	499	141263
2025.11.04	20:06:03	3955.77	3956.76	3953.49	3953.49	964	1056	397232
2025.11.04	20:09:49	3953.49	3954.92	3951.65	3951.65	631	656	225358
2025.11.04	20:12:43	3951.65	3953.74	3950.47	3953.74	488	493	174003
2025.11.04	20:13:40	3953.74	3953.74	3950.47	3950.47	159	207	57052
2025.11.04	20:18:51	3950.47	3952.75	3949.48	3949.48	1020	1061	309835
2025.11.04	20:25:27	3949.48	3952.31	3949.04	3952.31	1248	1372	396035
2025.11.04	20:26:39	3952.31	3952.60	3949.33	3949.33	212	254	71767
2025.11.04	20:27:19	3949.33	3949.33	3946.06	3946.06	198	215	40602
2025.11.04	20:29:01	3946.06	3948.74	3945.47	3948.74	435	414	101882
2025.11.04	20:31:37	3948.74	3951.59	3948.32	3948.32	548	496	155767
2025.11.04	20:32:32	3948.32	3948.97	3945.70	3945.70	178	180	54549
2025.11.04	20:33:05	3945.70	3946.34	3943.07	3943.07	116	142	32801
2025.11.04	20:34:34	3943.07	3944.72	3941.45	3944.72	372	392	89319
2025.11.04	20:35:39	3944.72	3944.90	3941.63	3941.63	233	278	65241
2025.11.04	20:36:27	3941.63	3942.20	3938.93	3938.93	223	216	48007
2025.11.04	20:36:35	3938.93	3938.93	3935.66	3935.66	31	53	7409
2025.11.04	20:38:44	3935.66	3937.39	3934.12	3934.12	503	550	128788
2025.11.04	20:39:41	3934.12	3935.62	3932.35	3935.62	234	292	57210
2025.11.04	20:40:59	3935.62	3936.13	3932.86	3936.13	290	319	78169
2025.11.04	20:41:57	3936.13	3937.10	3933.83	3933.83	223	212	57409
2025.11.04	20:42:31	3933.83	3935.49	3932.22	3935.49	157	136	34245
2025.11.04	20:43:52	3935.49	3935.79	3932.52	3935.79	233	271	80905
2025.11.04	20:44:52	3935.79	3938.47	3935.20	3938.47	207	251	60249
2025.11.04	20:46:19	3938.47	3939.21	3935.94	3939.21	349	342	86303
2025.11.04	20:47:20	3939.21	3940.65	3937.38	3940.65	191	182	61370
2025.11.04	20:51:55	3940.65	3941.44	3938.17	3938.17	854	953	274441
2025.11.04	20:53:08	3938.17	3939.14	3935.87	3939.14	261	230	73213
2025.11.04	20:57:45	3939.14	3941.15	3937.88	3937.88	812	749	276992
2025.11.04	21:00:17	3937.88	3939.21	3935.94	3935.94	448	492	150595
2025.11.04	21:02:05	3935.94	3937.87	3934.60	3937.87	375	359	107411
2025.11.04	21:04:51	3937.87	3939.06	3935.79	3935.79	548	543	166021
2025.11.04	21:10:57	3935.79	3939.04	3935.77	3939.04	1419	1314	366451
2025.11.04	21:12:38	3939.04	3942.23	3938.96	3942.23	345	284	100627
2025.11.04	21:14:21	3942.23	3944.29	3941.02	3941.02	390	393	102825
2025.11.04	21:15:16	3941.02	3943.00	3939.73	3943.00	183	156	55372
2025.11.04	21:21:33	3943.00	3944.04	3940.77	3940.77	1139	1143	377134
2025.11.04	21:24:42	3940.77	3943.88	3940.61	3943.88	503	487	188386
2025.11.04	21:29:37	3943.88	3944.03	3940.76	3940.76	418	459	295236
2025.11.04	21:31:10	3940.76	3942.65	3939.38	3939.38	240	233	92695
2025.11.04	21:31:59	3939.38	3941.85	3938.58	3941.85	162	143	49227
2025.11.04	21:38:23	3941.85	3943.14	3939.87	3939.87	1031	1102	383108
2025.11.04	21:42:46	3939.87	3941.99	3938.72	3938.72	480	492	263061
2025.11.04	21:43:34	3938.72	3938.97	3935.70	3935.70	127	148	48660
2025.11.04	21:47:34	3935.70	3938.73	3935.46	3938.73	499	516	239899
2025.11.04	21:54:51	3938.73	3939.19	3935.92	3939.19	830	784	436351
2025.11.04	22:02:53	3939.19	3939.85	3936.58	3936.58	1057	1058	481793
2025.11.04	22:03:49	3936.58	3936.58	3933.31	3933.31	188	207	56540
2025.11.04	22:06:16	3933.31	3934.57	3931.30	3934.57	513	525	146919
2025.11.04	22:07:32	3934.57	3935.55	3932.28	3935.55	333	256	75874
2025.11.04	22:12:43	3935.55	3935.61	3932.34	3932.34	939	830	310587
2025.11.04	22:15:05	3932.34	3934.87	3931.60	3934.87	327	301	141433
2025.11.04	22:19:34	3934.87	3936.41	3933.14	3933.14	585	562	269434
2025.11.04	22:22:58	3933.14	3935.17	3931.90	3935.17	456	460	204189
2025.11.04	22:27:29	3935.17	3936.49	3933.22	3936.49	624	618	270927
2025.11.04	22:30:26	3936.49	3939.41	3936.14	3939.41	376	367	176327
2025.11.04	22:33:53	3939.41	3939.58	3936.31	3936.31	355	458	206507
2025.11.04	22:38:05	3936.31	3939.14	3935.87	3939.14	618	609	251977
2025.11.04	22:42:31	3939.14	3941.33	3938.06	3941.33	618	617	266388
2025.11.04	22:47:28	3941.33	3942.27	3939.00	3939.00	666	743	295688
2025.11.04	22:49:51	3939.00	3940.52	3937.25	3937.25	281	315	142887
