price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
4706.800000,41.200000,2,2,1,1,0.502083,2026-05-13 19:24:00,2026-05-14 07:27:00,3.319820,3.319820,3.553320,205.320000,1,1,1.841817,1.454184,0.500000,1.000000,0.083300,0.983300,0.105000,0.100000,0.666700,0.010000,0.116700
4674.000000,32.300000,3,3,1,1,1.534722,2026-05-12 18:07:00,2026-05-14 06:57:00,2.468217,2.639106,2.639106,202.560000,1,1,1.371091,2.177820,0.500000,1.000000,0.300000,0.425000,0.230800,0.100000,0.166700,0.140000,0.116700
4575.600000,48.300000,3,3,2,1,6.425694,2026-05-18 16:00:00,2026-05-25 02:13:00,2.739140,2.892134,3.020873,126.760000,2,1,0.997575,2.231781,1.700000,2.000000,0.300000,0.675000,0.250800,0.500000,0.000000,0.216700,0.500000
4559.200000,34.700000,3,2,2,1,6.149306,2026-05-15 17:20:00,2026-05-21 20:55:00,2.028595,2.014506,2.147716,99.016667,2,1,1.714874,2.221745,1.700000,2.000000,0.300000,0.033300,0.125000,0.500000,0.566700,0.183300,0.500000
4526.400000,46.700000,2,2,2,2,6.241667,2026-05-27 02:44:00,2026-06-02 08:32:00,2.892265,2.892265,3.036076,207.850000,2,1,1.406242,1.534758,1.700000,2.000000,0.083300,0.733300,0.289200,0.500000,0.200000,0.106700,0.500000
4510.000000,49.200000,2,2,2,2,15.918056,2026-05-19 16:55:00,2026-06-04 14:57:00,2.600616,2.600616,3.658890,218.035000,2,1,1.841814,1.522170,1.700000,2.000000,0.083300,0.666700,0.342500,0.500000,0.633300,0.093300,0.500000
4493.600000,48.800000,4,4,2,1,8.723611,2026-05-18 03:34:00,2026-05-26 20:56:00,2.103103,2.079407,2.473855,83.882500,2,1,1.863930,2.989772,1.700000,2.000000,0.500000,0.125000,0.391700,0.500000,0.733300,0.343300,0.500000
4460.800000,67.200000,4,4,3,2,12.496528,2026-05-20 04:36:00,2026-06-01 16:31:00,2.329806,2.389866,2.707278,102.235000,3,1,1.779753,3.038099,2.500000,3.000000,0.500000,0.391700,0.575800,0.833300,0.600000,0.376700,0.883300
4428.000000,63.700000,4,4,3,3,77.022222,2026-05-27 14:58:00,2026-08-12 15:30:00,2.187247,2.118141,2.568965,150.222500,2,1,1.876052,3.517951,1.700000,2.000000,0.500000,0.191700,0.825000,0.500000,0.766700,0.686700,0.500000
4378.800000,46.300000,2,2,2,2,20.581944,2026-05-28 06:35:00,2026-06-17 20:33:00,3.151749,3.151749,3.529410,142.385000,1,1,1.609963,1.579437,1.200000,1.000000,0.083300,0.925000,0.349200,0.233300,0.400000,0.160000,0.116700
