nivel;zona_min;zona_max;toques;rejeicoes;travessias;taxa_rejeicao;toques_pond;rejeicoes_pond;pivos;pivos_pond;proeminencia;forca_rejeicao;flip;abrangencia;primeiro_toque;ultimo_toque;barras_desde_toque;relevancia;_faixa
174270,0;174150,0;174390,0;24;13;11;0,54;19,475;10,892;4;3,251;5,71;11,83;True;4980;2026-01-22 09:03:56.275;2026-07-29 17:46:29.918;138;82,6;15,0
174030,0;173910,0;174150,0;24;13;11;0,54;19,35;10,874;7;5,575;4,67;10,69;True;4983;2026-01-21 17:54:41.069;2026-07-29 17:46:29.918;138;82,9;13,0
173830,0;173710,0;173950,0;25;14;11;0,56;20,116;11,642;18;14,873;5,34;10,26;True;4827;2026-01-21 17:54:41.069;2026-07-21 11:51:31.997;294;86,8;12,0
173485,0;173360,0;173610,0;22;9;13;0,41;17,893;7,684;8;6,913;5,16;9,28;True;4829;2026-01-21 16:59:15.864;2026-07-21 11:51:31.997;294;80,5;9,0
173245,0;173120,0;173370,0;18;6;12;0,33;14,265;4,938;2;1,604;5,2;7,38;True;4625;2026-01-21 16:50:18.180;2026-07-09 10:31:11.377;499;68,3;8,0
173070,0;172950,0;173190,0;16;9;7;0,56;12,436;7,377;6;4,612;4,83;12,1;True;4626;2026-01-21 16:29:22.143;2026-07-09 10:31:11.377;499;78,3;7,0
172900,0;172780,0;173020,0;17;10;7;0,59;13,172;8,113;8;6,299;8,24;11,93;True;4626;2026-01-21 16:29:22.143;2026-07-09 10:31:11.377;499;83,2;6,0
172630,0;172510,0;172750,0;16;8;8;0,5;12,436;6,537;2;1,575;5,09;11,96;True;4615;2026-01-21 15:47:39.973;2026-07-09 09:01:25.509;511;71,1;4,0
172465,0;172340,0;172590,0;19;13;6;0,68;15,018;10,762;7;5,634;5,09;9,58;True;4616;2026-01-21 15:43:36.144;2026-07-09 09:01:25.509;511;83,8;3,0
172200,0;172080,0;172320,0;18;12;6;0,67;14,324;10,068;4;3,349;6,43;9,62;True;4610;2026-01-21 15:28:12.138;2026-07-08 11:50:23.867;518;82,4;1,0
171990,0;171870,0;172110,0;17;10;6;0,62;13,365;8,355;10;8,325;5,74;10,09;True;4611;2026-01-21 13:29:41.578;2026-07-08 11:50:23.867;518;84,1;0,0
171720,0;171600,0;171840,0;12;5;7;0,42;9,03;3,976;4;3,114;5,67;7,19;True;4280;2026-01-21 13:01:12.189;2026-06-23 10:14:49.161;850;72,4;1,0
171205,0;171080,0;171330,0;13;6;7;0,46;9,704;4,715;3;2,308;5,08;10,45;True;4244;2026-01-21 11:37:16.814;2026-06-22 09:52:32.672;888;71,1;5,0
171055,0;170930,0;171180,0;11;6;5;0,55;8,142;4,714;3;2,353;5,29;9,91;True;4244;2026-01-21 11:05:09.828;2026-06-22 09:20:26.608;889;73,1;6,0
170845,0;170720,0;170970,0;10;5;5;0,5;7,365;3,935;2;1,575;4,49;9,34;True;4242;2026-01-21 10:57:39.700;2026-06-22 09:12:46.119;892;66,5;7,0
170445,0;170320,0;170570,0;11;7;4;0,64;8,13;5,495;3;2,289;5,62;10,61;True;4241;2026-01-21 10:16:31.199;2026-06-22 09:03:51.454;894;75,2;10,0
170190,0;170070,0;170310,0;13;8;5;0,62;9,703;6,271;7;5,387;4,96;10,21;True;4242;2026-01-21 10:11:02.196;2026-06-22 09:03:51.454;894;77,7;12,0
169920,0;169800,0;170040,0;14;9;5;0,64;10,363;6,984;4;3,071;5,38;9,43;True;4158;2026-01-21 09:55:45.084;2026-06-17 09:02:56.787;979;76,8;13,0
169755,0;169630,0;169880,0;12;7;5;0,58;8,824;5,448;6;4,668;9,3;9,81;True;4159;2026-01-21 09:48:53.593;2026-06-17 09:02:56.787;979;77,8;14,0
169205,0;169080,0;169330,0;6;5;1;0,83;4,169;3,864;1;0,795;15,37;10,91;False;4148;2026-01-21 09:11:05.913;2026-06-16 17:32:33.061;992;63,8;18,0
