price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
183995.0000,77.0000,22,15,8,4,104.9264,2026-01-27 12:27:00,2026-05-12 10:41:00,2.3553,2.1822,4.0000,2069.7727,4,1,1.6457,13.1125,4.3000,4.0000,0.6946,0.3574,0.5498,0.7608,0.0243,0.8970,0.7730
183750.0000,89.7000,30,18,9,4,104.7618,2026-01-27 15:24:00,2026-05-12 09:41:00,2.4906,2.4437,4.0000,2362.6667,5,1,1.8257,17.7465,6.8000,5.0000,0.8243,0.5520,0.5797,0.9851,0.0622,0.9359,0.9851
183260.0000,82.8000,28,17,8,4,106.0139,2026-01-26 09:04:00,2026-05-12 09:24:00,2.4293,2.3497,3.7302,2600.0000,4,1,1.8238,16.6571,5.0000,4.0000,0.8068,0.3905,0.5709,0.9568,0.0595,0.9257,0.7730
183015.0000,85.0000,24,16,8,4,102.3007,2026-01-30 09:01:00,2026-05-12 16:14:00,2.5606,2.5236,4.0000,2322.7083,4,1,2.0001,14.3811,4.3000,4.0000,0.7473,0.6331,0.5566,0.7608,0.1649,0.9081,0.7730
182770.0000,69.3000,32,17,8,4,105.1931,2026-01-27 09:42:00,2026-05-12 14:20:00,2.2992,2.2543,3.7055,2170.1562,3,1,1.9279,19.3569,2.5000,3.0000,0.8595,0.2595,0.5704,0.3378,0.1081,0.9489,0.3730
182525.0000,79.4000,24,14,7,4,102.8847,2026-01-30 14:08:00,2026-05-13 11:22:00,2.4419,2.2498,4.0000,2526.4583,4,1,1.7904,14.3020,4.3000,4.0000,0.7473,0.4365,0.5297,0.7608,0.0432,0.9059,0.7730
182280.0000,80.4000,33,15,7,4,102.7285,2026-01-30 16:32:00,2026-05-13 10:01:00,2.2747,2.2523,4.0000,2099.8485,4,1,1.9052,20.5346,4.3000,4.0000,0.8784,0.3291,0.5449,0.7608,0.0946,0.9543,0.7730
182035.0000,68.5000,26,13,8,3,65.6528,2026-01-23 17:25:00,2026-03-30 09:05:00,2.3753,2.4346,3.4785,2089.0385,3,1,2.1559,15.4027,2.5000,3.0000,0.7811,0.3601,0.4560,0.3378,0.3054,0.8673,0.3730
181545.0000,84.7000,16,10,6,4,108.2097,2026-01-26 09:43:00,2026-05-14 14:45:00,2.6391,2.6807,4.0000,2508.4375,4,1,2.5611,9.7011,4.3000,4.0000,0.5338,0.7284,0.4766,0.7608,0.6108,0.8565,0.7730
181300.0000,70.4000,18,9,5,2,56.0521,2026-01-27 09:13:00,2026-03-24 10:28:00,2.2754,2.0317,4.0000,1797.5000,4,1,2.1578,10.8072,4.3000,4.0000,0.5932,0.2581,0.3370,0.7608,0.3108,0.8214,0.7730
181055.0000,77.4000,13,10,7,5,189.9292,2026-01-26 11:35:00,2026-08-04 09:53:00,2.5738,2.7170,3.2628,2092.3077,4,1,1.9429,8.2107,4.3000,4.0000,0.4649,0.5649,0.5215,0.7608,0.1135,0.8565,0.7730
180565.0000,69.5000,14,10,6,4,191.0312,2026-01-26 10:25:00,2026-08-05 11:10:00,2.6063,2.5830,3.8012,2416.7857,3,1,2.0723,9.4854,2.5000,3.0000,0.4892,0.6041,0.4891,0.3378,0.2162,0.8892,0.3730
180075.0000,88.9000,17,9,7,5,191.0028,2026-01-26 10:21:00,2026-08-05 10:25:00,2.7812,2.8525,3.9496,2524.4118,4,1,2.8246,11.5852,4.3000,4.0000,0.5649,0.7878,0.5031,0.7608,0.7703,0.9197,0.7730
179830.0000,73.7000,12,9,7,4,189.9618,2026-01-26 11:36:00,2026-08-04 10:41:00,2.8855,2.9307,4.0000,2501.2500,3,1,2.0168,8.0483,2.5000,3.0000,0.4351,0.8865,0.4685,0.3378,0.1838,0.8543,0.3730
179585.0000,89.9000,23,13,11,5,194.8688,2026-01-22 12:39:00,2026-08-05 09:30:00,2.6530,2.4049,4.0000,2645.4348,4,1,2.8061,16.8703,4.3000,4.0000,0.7243,0.6412,0.5687,0.7608,0.7568,0.9692,0.7730
179340.0000,83.9000,20,13,10,5,193.9250,2026-01-23 12:33:00,2026-08-05 10:45:00,2.5020,2.2943,4.0000,2536.7500,4,1,2.4035,15.1903,4.3000,4.0000,0.6486,0.5135,0.5666,0.7608,0.4973,0.9546,0.7730
179095.0000,85.3000,21,15,11,5,193.8799,2026-01-23 13:01:00,2026-08-05 10:08:00,2.4906,2.4734,3.4333,2542.8571,4,1,2.8502,16.3046,4.3000,4.0000,0.6703,0.4338,0.6001,0.7608,0.7865,0.9643,0.7730
178850.0000,75.6000,24,14,7,4,194.8486,2026-01-22 12:44:00,2026-08-05 09:06:00,2.0692,2.0416,2.9388,1856.0417,4,1,2.3662,18.5669,4.3000,4.0000,0.7473,0.0588,0.5524,0.7608,0.4811,0.9797,0.7730
178605.0000,78.5000,23,15,8,5,192.8021,2026-01-22 13:51:00,2026-08-03 09:06:00,2.2532,2.1458,3.5640,2235.8696,4,1,2.3071,18.8136,4.3000,4.0000,0.7243,0.1865,0.5995,0.7608,0.4351,0.9778,0.7730
178360.0000,71.0000,22,13,9,5,193.9583,2026-01-22 14:31:00,2026-08-04 13:31:00,2.4084,2.1430,3.8528,2568.8636,3,1,2.4811,16.8485,2.5000,3.0000,0.6946,0.3122,0.5671,0.3378,0.5459,0.9649,0.3730
178115.0000,79.0000,25,15,10,5,194.1042,2026-01-22 12:40:00,2026-08-04 15:10:00,2.2058,2.0627,3.6398,2001.0000,4,1,2.4234,19.4715,4.3000,4.0000,0.7649,0.1510,0.6017,0.7608,0.5135,0.9865,0.7730
177870.0000,71.8000,26,18,10,5,195.8160,2026-01-22 14:48:00,2026-08-06 10:23:00,2.2384,2.1652,3.4785,2163.0769,3,1,2.6805,20.8120,2.5000,3.0000,0.7811,0.1676,0.6337,0.3378,0.6892,0.9959,0.3730
177625.0000,89.4000,23,18,10,5,192.7188,2026-01-22 17:32:00,2026-08-03 10:47:00,2.5828,2.6011,3.9291,2287.8261,4,1,2.5522,17.8414,4.3000,4.0000,0.7243,0.6176,0.6294,0.7608,0.6000,0.9711,0.7730
177380.0000,80.4000,21,14,8,5,195.8833,2026-01-22 14:24:00,2026-08-06 11:36:00,2.3913,2.1813,3.3404,2430.0000,4,1,2.6457,17.1076,4.3000,4.0000,0.6703,0.2453,0.5880,0.7608,0.6757,0.9778,0.7730
177135.0000,84.3000,16,11,7,5,189.8465,2026-01-22 16:15:00,2026-07-31 12:34:00,2.7410,2.8065,3.2526,2228.4375,4,1,2.3244,12.6343,4.3000,4.0000,0.5338,0.6696,0.5349,0.7608,0.4514,0.9259,0.7730
176645.0000,87.9000,18,13,9,6,196.9014,2026-01-22 11:25:00,2026-08-07 09:03:00,2.6807,2.6460,3.4591,2656.3889,4,1,2.8254,14.9804,4.3000,4.0000,0.5932,0.6247,0.5949,0.7608,0.7730,0.9568,0.7730
176400.0000,81.0000,7,6,6,5,139.7222,2026-03-20 16:37:00,2026-08-07 09:57:00,3.2061,3.0977,4.0000,2717.1429,4,1,2.1781,6.1313,4.3000,4.0000,0.2581,0.9209,0.4251,0.7608,0.3270,0.8014,0.7730
176155.0000,69.5000,12,9,7,4,186.0146,2026-01-22 11:38:00,2026-07-27 11:59:00,2.6093,2.6186,3.5430,2577.5000,3,1,2.3572,9.6994,2.5000,3.0000,0.4351,0.5892,0.4664,0.3378,0.4757,0.8781,0.3730
175910.0000,74.8000,11,8,5,3,60.0681,2026-05-28 09:03:00,2026-07-27 10:41:00,2.4031,2.3975,3.0849,2325.9091,4,1,3.8152,9.8778,4.3000,4.0000,0.4014,0.3264,0.3708,0.7608,0.9622,0.8830,0.7730
175665.0000,76.1000,19,14,9,4,79.0521,2026-05-19 16:05:00,2026-08-06 17:20:00,2.6183,2.5464,3.9610,2224.7368,3,1,2.5550,16.9551,2.5000,3.0000,0.6230,0.6193,0.5140,0.3378,0.6027,0.9768,0.3730
175420.0000,88.5000,18,13,9,4,79.9632,2026-05-19 10:21:00,2026-08-07 09:28:00,2.4672,2.6650,3.4979,1999.1667,5,1,2.6425,15.5746,6.8000,5.0000,0.5932,0.5193,0.4963,0.9851,0.6730,0.9651,0.9851
174930.0000,65.9000,21,10,7,3,56.2104,2026-05-29 12:06:00,2026-07-24 17:09:00,2.2860,2.1448,3.5321,2132.1429,3,1,2.6166,18.5029,2.5000,3.0000,0.6703,0.1899,0.4072,0.3378,0.6568,0.9673,0.3730
174685.0000,71.9000,16,12,8,3,179.9611,2026-01-22 10:00:00,2026-07-21 09:04:00,2.4744,2.3281,4.0000,2979.6875,3,1,2.7907,13.7449,2.5000,3.0000,0.5338,0.5095,0.4732,0.3378,0.7432,0.9224,0.3730
174440.0000,89.0000,16,10,6,3,52.9458,2026-05-29 12:26:00,2026-07-21 11:08:00,2.7630,2.6379,4.0000,2547.8125,4,1,2.8300,14.0842,5.0000,4.0000,0.5338,0.7831,0.4055,0.9568,0.7784,0.9259,0.7730
174195.0000,75.4000,15,10,7,3,188.3625,2026-01-22 09:04:00,2026-07-29 17:46:00,2.7547,2.5589,4.0000,3293.0000,3,1,2.0708,12.2722,3.5000,3.0000,0.5068,0.7588,0.4504,0.5581,0.2135,0.9186,0.3730
173950.0000,87.8000,17,12,8,4,180.7111,2026-01-21 17:57:00,2026-07-21 11:01:00,2.8633,2.8932,3.7173,2555.5882,4,1,2.5282,14.3225,4.3000,4.0000,0.5649,0.7885,0.5102,0.7608,0.5811,0.9289,0.7730
173705.0000,90.2000,22,13,8,4,180.1153,2026-01-22 09:05:00,2026-07-21 11:51:00,2.7479,2.7015,4.0000,2812.9545,4,1,2.4067,18.5700,4.3000,4.0000,0.6946,0.7892,0.5255,0.7608,0.5027,0.9703,0.7730
173215.0000,72.7000,14,8,5,2,37.9924,2026-06-01 10:30:00,2026-07-09 10:19:00,2.6603,2.5760,3.9270,3508.5714,3,1,2.6287,11.9689,3.1000,3.0000,0.4892,0.6432,0.3044,0.5324,0.6649,0.9076,0.3730
172970.0000,65.0000,8,6,3,2,37.9451,2026-06-01 11:50:00,2026-07-09 10:31:00,2.7426,2.5628,4.0000,3336.8750,3,1,2.1091,6.7889,2.5000,3.0000,0.3108,0.7527,0.2552,0.3378,0.2541,0.8138,0.3730
172725.0000,60.8000,9,6,5,2,29.8285,2026-06-01 13:12:00,2026-07-01 09:05:00,2.3953,2.3169,2.9558,2438.8889,3,1,2.7852,7.4967,3.1000,3.0000,0.3500,0.2689,0.2460,0.5324,0.7378,0.8297,0.3730
172235.0000,80.5000,13,8,5,2,35.0951,2026-06-03 09:33:00,2026-07-08 11:50:00,2.5668,2.7928,3.4495,2268.0769,4,1,3.2468,10.9930,4.3000,4.0000,0.4649,0.6095,0.3017,0.7608,0.9081,0.8946,0.7730
171745.0000,53.1000,9,4,3,1,19.9924,2026-06-03 09:15:00,2026-06-23 09:04:00,2.1219,2.0444,2.7654,1812.7778,3,1,3.9168,7.4517,2.5000,3.0000,0.3500,0.0554,0.1194,0.3378,0.9703,0.8235,0.3730
171500.0000,48.9000,6,5,4,1,18.0354,2026-06-05 09:01:00,2026-06-23 09:52:00,2.5214,2.5693,2.9616,2313.3333,2,1,2.4776,5.0250,1.3000,2.0000,0.2014,0.4669,0.1513,0.0581,0.5432,0.6851,0.0932
171010.0000,45.7000,7,4,4,1,16.9472,2026-06-05 10:36:00,2026-06-22 09:20:00,2.4022,2.3362,3.3860,2067.1429,2,1,2.2739,5.7688,1.3000,2.0000,0.2581,0.3193,0.1151,0.0581,0.4027,0.7395,0.0932
