price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
181790.0000,67.7000,25,13,8,4,192.6819,2026-01-23 17:40:00,2026-08-04 10:02:00,2.0644,1.9361,3.3587,1727.8000,3,1,2.5047,15.5602,2.5000,3.0000,0.7797,0.0908,0.5591,0.3759,0.5519,0.9534,0.4114
181545.0000,85.7000,16,10,6,4,108.2097,2026-01-26 09:43:00,2026-05-14 14:45:00,2.6391,2.6807,4.0000,2508.4375,4,1,2.5611,9.5804,4.3000,4.0000,0.5633,0.7215,0.5093,0.7759,0.6000,0.8638,0.7873
181300.0000,71.4000,18,9,5,2,56.0521,2026-01-27 09:13:00,2026-03-24 10:28:00,2.2754,2.0317,4.0000,1797.5000,4,1,2.1578,10.6732,4.3000,4.0000,0.6190,0.2639,0.3684,0.7759,0.3089,0.8225,0.7873
181055.0000,78.4000,13,10,7,5,189.9292,2026-01-26 11:35:00,2026-08-04 09:53:00,2.5738,2.7170,3.2628,2092.3077,4,1,1.9429,8.1073,4.3000,4.0000,0.4962,0.5608,0.5513,0.7759,0.1266,0.8552,0.7873
180810.0000,66.8000,11,8,6,3,110.6854,2026-01-23 17:33:00,2026-05-14 10:00:00,2.2789,2.3169,3.0666,2407.2727,4,1,1.8114,6.5432,4.3000,4.0000,0.4354,0.2247,0.4352,0.7759,0.0658,0.7957,0.7873
180565.0000,70.8000,14,10,6,4,191.0312,2026-01-26 10:25:00,2026-08-05 11:10:00,2.6063,2.5830,3.8012,2416.7857,3,1,2.0723,9.3633,2.5000,3.0000,0.5177,0.5987,0.5204,0.3759,0.2228,0.8876,0.4114
180320.0000,65.1000,6,4,4,3,117.8521,2026-01-23 17:54:00,2026-05-21 14:21:00,2.5738,2.4163,3.5043,2265.0000,4,1,2.0847,3.4392,4.3000,4.0000,0.2468,0.4699,0.3320,0.7759,0.2278,0.5403,0.7873
180075.0000,89.6000,17,9,7,5,191.0028,2026-01-26 10:21:00,2026-08-05 10:25:00,2.7812,2.8525,3.9496,2524.4118,4,1,2.8246,11.4359,4.3000,4.0000,0.5924,0.7829,0.5329,0.7759,0.7519,0.9162,0.7873
179830.0000,75.2000,12,9,7,4,189.9618,2026-01-26 11:36:00,2026-08-04 10:41:00,2.8855,2.9307,4.0000,2501.2500,3,1,2.0168,7.9451,2.5000,3.0000,0.4684,0.8810,0.5001,0.3759,0.1924,0.8532,0.4114
179585.0000,90.4000,23,13,11,5,194.8688,2026-01-22 12:39:00,2026-08-05 09:30:00,2.6530,2.4049,4.0000,2645.4348,4,1,2.8061,16.6485,4.3000,4.0000,0.7418,0.6342,0.5955,0.7759,0.7392,0.9643,0.7873
