price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
173940.0000,86.7000,18,12,8,4,180.7111,2026-01-21 17:57:00,2026-07-21 11:01:00,2.9036,2.8007,4.0000,2521.6667,4,1,2.6136,14.9905,4.3000,4.0000,0.4252,0.8884,0.4047,0.6808,0.7357,0.8950,0.6983
173745.0000,79.1000,22,12,7,4,168.0542,2026-01-22 09:05:00,2026-07-09 10:23:00,2.9124,2.9313,4.0000,2475.2273,3,1,2.8781,18.2139,2.5000,3.0000,0.5224,0.9052,0.4042,0.2207,0.8628,0.9204,0.2556
173550.0000,57.4000,15,10,7,3,69.8958,2026-06-01 11:35:00,2026-08-10 09:05:00,2.2656,2.1558,3.8529,1842.6667,3,1,2.8463,12.8200,2.5000,3.0000,0.3392,0.1602,0.2855,0.2207,0.8379,0.8930,0.2556
173355.0000,71.4000,13,8,6,4,197.1479,2026-01-22 09:03:00,2026-08-07 12:36:00,2.6793,2.6920,4.0000,2257.6923,3,1,2.4345,10.9100,3.1000,3.0000,0.2855,0.7762,0.3367,0.4314,0.6035,0.8678,0.2556
173160.0000,62.6000,21,10,6,3,69.9938,2026-06-01 10:30:00,2026-08-10 10:21:00,2.3185,2.1852,4.0000,2270.0000,3,1,2.5537,17.9410,2.5000,3.0000,0.5012,0.2936,0.2865,0.2207,0.7007,0.9461,0.2556
172965.0000,53.5000,12,8,4,3,69.9493,2026-06-01 11:50:00,2026-08-10 10:37:00,2.3087,2.0524,4.0000,2325.4167,3,1,2.2683,10.2631,2.5000,3.0000,0.2431,0.2375,0.2445,0.2207,0.4439,0.8474,0.2556
172770.0000,77.4000,16,10,7,3,70.1458,2026-06-01 13:11:00,2026-08-10 16:41:00,2.5259,2.4969,4.0000,2015.9375,4,1,2.4799,14.0266,4.3000,4.0000,0.3703,0.6172,0.2870,0.6808,0.6359,0.9167,0.6983
172575.0000,51.8000,11,7,5,3,68.1562,2026-06-03 10:04:00,2026-08-10 13:49:00,2.4118,2.2258,4.0000,2655.9091,2,1,2.6478,9.7194,1.3000,2.0000,0.2007,0.3685,0.2146,0.0125,0.7481,0.8297,0.0224
172380.0000,78.7000,12,8,6,2,68.9264,2026-06-03 10:52:00,2026-08-11 09:06:00,2.6423,2.6566,3.9561,1757.0833,4,1,3.0204,10.1487,5.0000,4.0000,0.2431,0.6755,0.1989,0.9115,0.8978,0.8466,0.6983
172185.0000,68.4000,12,6,6,3,68.1931,2026-06-03 09:33:00,2026-08-10 14:11:00,2.6920,2.7980,3.7461,2015.4167,3,1,2.9655,10.4652,3.1000,3.0000,0.2431,0.7095,0.1898,0.4314,0.8828,0.8549,0.2556
171990.0000,56.9000,8,6,5,2,69.0139,2026-06-03 10:21:00,2026-08-11 10:41:00,2.7209,2.5485,4.0000,2009.3750,2,1,3.0490,6.7563,1.3000,2.0000,0.1085,0.7612,0.1473,0.0125,0.9077,0.6875,0.0224
171795.0000,63.5000,13,6,5,3,200.8944,2026-01-21 13:30:00,2026-08-10 10:58:00,2.4248,2.4425,4.0000,1726.9231,3,1,3.2699,10.5213,2.5000,3.0000,0.2855,0.4975,0.2457,0.2207,0.9601,0.8551,0.2556
171600.0000,48.8000,8,6,5,2,68.8854,2026-06-03 11:49:00,2026-08-11 09:04:00,2.2958,2.2100,3.2717,1776.8750,3,1,3.0983,6.7317,2.5000,3.0000,0.1085,0.1446,0.1463,0.2207,0.9252,0.6835,0.2556
171405.0000,62.4000,10,8,6,3,201.9486,2026-01-21 11:45:00,2026-08-11 10:31:00,2.7236,2.5217,4.0000,2636.5000,3,1,2.1451,7.8056,2.5000,3.0000,0.1683,0.7463,0.2984,0.2207,0.3167,0.7688,0.2556
171210.0000,39.6000,7,4,3,1,13.2326,2026-06-05 09:08:00,2026-06-18 14:43:00,2.2511,1.9838,3.2337,1025.7143,3,1,1.9159,5.7244,3.1000,3.0000,0.0648,0.0658,0.0292,0.4052,0.1197,0.5736,0.2556
171015.0000,53.6000,11,5,5,2,151.8715,2026-01-21 12:25:00,2026-06-22 09:20:00,2.4559,2.1329,4.0000,1841.3636,3,1,2.4185,8.5830,2.5000,3.0000,0.2007,0.3479,0.1594,0.2207,0.5835,0.7608,0.2556
170820.0000,53.1000,12,8,4,2,148.9938,2026-01-21 11:05:00,2026-06-19 10:56:00,2.1277,2.0039,3.8515,1589.5833,3,1,3.1031,9.3552,2.5000,3.0000,0.2431,0.1060,0.2349,0.2207,0.9277,0.7890,0.2556
170625.0000,43.3000,10,4,3,1,10.9437,2026-06-05 10:41:00,2026-06-16 09:20:00,2.0370,2.0211,3.2681,1195.0000,3,1,2.3305,8.0514,2.5000,3.0000,0.1683,0.0430,0.0267,0.2207,0.5162,0.7367,0.2556
170430.0000,57.2000,6,5,4,2,147.9028,2026-01-21 11:24:00,2026-06-18 09:04:00,2.7107,2.7636,4.0000,2335.0000,3,1,2.4888,4.5521,2.5000,3.0000,0.0212,0.8117,0.1564,0.2207,0.6434,0.4489,0.2556
170235.0000,55.7000,12,7,4,1,16.9590,2026-06-05 10:04:00,2026-06-22 09:05:00,2.4275,2.2406,3.7210,1567.9167,3,1,2.5651,9.7003,3.1000,3.0000,0.2431,0.2915,0.0993,0.4314,0.7057,0.7950,0.2556
