price,score,n_events,unique_days,unique_weeks,unique_months,span_days,first_event,last_event,mean_strength,median_strength,max_strength,mean_reaction,n_scales,n_sources,mean_rel_volume,decayed_touches,c__scale_weight,c__n_pairs,c_touch,c_reaction,c_temporal,c_scale,c_volume,c_recency,c_confluence
188160.0000,86.0000,16,9,6,4,93.9521,2026-02-03 11:48:00,2026-05-08 10:39:00,2.6723,2.9936,4.0000,3184.6875,5,1,2.3058,10.3892,6.8000,5.0000,0.4113,0.8541,0.3166,0.9812,0.4232,0.8205,0.9812
187915.0000,68.7000,16,8,6,5,99.1097,2026-01-29 09:04:00,2026-05-08 11:42:00,2.8606,2.8740,4.0000,3680.3125,3,1,2.4488,10.1097,2.5000,3.0000,0.4113,0.8874,0.3353,0.2338,0.5427,0.8167,0.2713
187425.0000,80.8000,17,8,8,5,99.1750,2026-01-29 11:22:00,2026-05-08 15:34:00,3.1422,3.0848,4.0000,3813.8235,4,1,2.1340,10.7716,4.3000,4.0000,0.4505,0.9258,0.3360,0.7082,0.2696,0.8345,0.7218
186935.0000,80.6000,15,9,9,5,102.0062,2026-01-29 10:10:00,2026-05-11 10:19:00,2.7709,2.7686,4.0000,2914.3333,4,1,2.1328,9.4304,5.0000,4.0000,0.3771,0.8362,0.3641,0.9471,0.2662,0.8085,0.7218
186445.0000,83.3000,18,14,9,5,98.9674,2026-01-28 11:46:00,2026-05-07 10:59:00,2.7445,2.7837,4.0000,2949.1667,4,1,2.4395,11.0021,4.3000,4.0000,0.4863,0.8208,0.4560,0.7082,0.5358,0.8365,0.7218
185955.0000,73.4000,17,11,6,3,58.0535,2026-02-03 09:20:00,2026-04-02 10:37:00,2.4800,2.5464,4.0000,2276.1765,4,1,2.4435,10.3677,4.3000,4.0000,0.4505,0.5930,0.2998,0.7082,0.5392,0.7904,0.7218
185465.0000,82.5000,24,15,7,4,92.1750,2026-02-04 10:15:00,2026-05-07 14:27:00,2.6087,2.6944,3.8196,2502.5000,4,1,2.4387,14.7674,4.3000,4.0000,0.6809,0.6408,0.4318,0.7082,0.5324,0.8805,0.7218
184975.0000,75.8000,19,10,6,3,56.9632,2026-01-28 11:33:00,2026-03-26 10:40:00,2.5845,2.5464,4.0000,2436.5789,4,1,2.3299,11.0569,4.3000,4.0000,0.5239,0.6672,0.2823,0.7082,0.4539,0.8092,0.7218
184730.0000,79.7000,18,11,6,4,104.1917,2026-01-27 13:41:00,2026-05-11 18:17:00,2.9106,3.0666,4.0000,2543.6111,4,1,1.4384,10.5598,4.3000,4.0000,0.4863,0.9155,0.3687,0.7082,0.0034,0.8334,0.7218
184485.0000,66.8000,18,12,6,3,58.9993,2026-01-27 12:24:00,2026-03-27 12:23:00,2.3002,2.2668,3.0913,1838.6111,4,1,2.8546,10.6264,4.3000,4.0000,0.4863,0.1869,0.3150,0.7082,0.8259,0.7959,0.7218
183995.0000,70.4000,22,15,8,4,104.9264,2026-01-27 12:27:00,2026-05-12 10:41:00,2.3553,2.1822,4.0000,2069.7727,4,1,1.6457,13.1125,4.3000,4.0000,0.6143,0.3447,0.4468,0.7082,0.0137,0.8771,0.7218
183750.0000,87.2000,30,18,9,4,104.7618,2026-01-27 15:24:00,2026-05-12 09:41:00,2.4906,2.4437,4.0000,2362.6667,5,1,1.8257,17.7465,6.8000,5.0000,0.7782,0.5572,0.4846,0.9812,0.0512,0.9263,0.9812
183260.0000,78.2000,28,17,8,4,106.0139,2026-01-26 09:04:00,2026-05-12 09:24:00,2.4293,2.3497,3.7302,2600.0000,4,1,1.8238,16.6571,5.0000,4.0000,0.7560,0.3780,0.4735,0.9471,0.0478,0.9133,0.7218
183015.0000,80.2000,24,16,8,4,102.3007,2026-01-30 09:01:00,2026-05-12 16:14:00,2.5606,2.5236,4.0000,2322.7083,4,1,2.0001,14.3811,4.3000,4.0000,0.6809,0.6442,0.4561,0.7082,0.1399,0.8911,0.7218
182525.0000,73.4000,24,14,7,4,102.8847,2026-01-30 14:08:00,2026-05-13 11:22:00,2.4419,2.2498,4.0000,2526.4583,4,1,1.7904,14.3020,4.3000,4.0000,0.6809,0.4292,0.4221,0.7082,0.0307,0.8884,0.7218
182280.0000,75.0000,33,15,7,4,102.7285,2026-01-30 16:32:00,2026-05-13 10:01:00,2.2747,2.2523,4.0000,2099.8485,4,1,1.9052,20.5346,4.3000,4.0000,0.8464,0.3114,0.4414,0.7082,0.0683,0.9495,0.7218
182035.0000,59.9000,26,13,8,3,65.6528,2026-01-23 17:25:00,2026-03-30 09:05:00,2.3753,2.4346,3.4785,2089.0385,3,1,2.1559,15.4027,2.5000,3.0000,0.7235,0.3481,0.3398,0.2338,0.2867,0.8590,0.2713
181545.0000,78.5000,16,10,6,4,108.2097,2026-01-26 09:43:00,2026-05-14 14:45:00,2.6391,2.6807,4.0000,2508.4375,4,1,2.5611,9.7011,4.3000,4.0000,0.4113,0.7363,0.3560,0.7082,0.6280,0.8259,0.7218
181055.0000,69.6000,13,10,7,5,189.9292,2026-01-26 11:35:00,2026-08-04 09:53:00,2.5738,2.7170,3.2628,2092.3077,4,1,1.9429,8.2107,4.3000,4.0000,0.3259,0.5648,0.4076,0.7082,0.0887,0.8188,0.7218
180565.0000,59.5000,14,10,6,4,191.0312,2026-01-26 10:25:00,2026-08-05 11:10:00,2.6063,2.5830,3.8012,2416.7857,3,1,2.0723,9.4854,2.5000,3.0000,0.3549,0.6041,0.3696,0.2338,0.1945,0.8601,0.2713
180075.0000,83.7000,17,9,7,5,191.0028,2026-01-26 10:21:00,2026-08-05 10:25:00,2.7812,2.8525,3.9496,2524.4118,4,1,2.8246,11.5852,4.3000,4.0000,0.4505,0.7969,0.3859,0.7082,0.8020,0.8986,0.7218
179585.0000,86.1000,23,13,11,5,194.8688,2026-01-22 12:39:00,2026-08-05 09:30:00,2.6530,2.4049,4.0000,2645.4348,4,1,2.8061,16.8703,4.3000,4.0000,0.6519,0.6544,0.4657,0.7082,0.7850,0.9611,0.7218
179095.0000,80.3000,21,15,11,5,193.8799,2026-01-23 13:01:00,2026-08-05 10:08:00,2.4906,2.4734,3.4333,2542.8571,4,1,2.8502,16.3046,4.3000,4.0000,0.5836,0.4258,0.5053,0.7082,0.8225,0.9549,0.7218
178605.0000,72.0000,23,15,8,5,192.8021,2026-01-22 13:51:00,2026-08-03 09:06:00,2.2532,2.1458,3.5640,2235.8696,4,1,2.3071,18.8136,4.3000,4.0000,0.6519,0.1485,0.5046,0.7082,0.4334,0.9720,0.7218
178115.0000,73.0000,25,15,10,5,194.1042,2026-01-22 12:40:00,2026-08-04 15:10:00,2.2058,2.0627,3.6398,2001.0000,4,1,2.4234,19.4715,4.3000,4.0000,0.7031,0.1165,0.5073,0.7082,0.5222,0.9829,0.7218
177625.0000,85.5000,23,18,10,5,192.7188,2026-01-22 17:32:00,2026-08-03 10:47:00,2.5828,2.6011,3.9291,2287.8261,4,1,2.5522,17.8414,4.3000,4.0000,0.6519,0.6203,0.5423,0.7082,0.6143,0.9635,0.7218
177135.0000,78.1000,16,11,7,5,189.8465,2026-01-22 16:15:00,2026-07-31 12:34:00,2.7410,2.8065,3.2526,2228.4375,4,1,2.3244,12.6343,4.3000,4.0000,0.4113,0.6741,0.4230,0.7082,0.4505,0.9065,0.7218
176645.0000,82.9000,18,13,9,6,196.9014,2026-01-22 11:25:00,2026-08-07 09:03:00,2.6807,2.6460,3.4591,2656.3889,4,1,2.8254,14.9804,4.3000,4.0000,0.4863,0.6229,0.4964,0.7082,0.8055,0.9454,0.7218
176400.0000,72.7000,7,6,6,5,139.7222,2026-03-20 16:37:00,2026-08-07 09:57:00,3.2061,3.0977,4.0000,2717.1429,4,1,2.1781,6.1313,4.3000,4.0000,0.0853,0.9309,0.2957,0.7082,0.3072,0.7491,0.7218
175910.0000,66.2000,11,8,5,3,60.0681,2026-05-28 09:03:00,2026-07-27 10:41:00,2.4031,2.3975,3.0849,2325.9091,4,1,3.8152,9.8778,4.3000,4.0000,0.2474,0.3191,0.2374,0.7082,0.9829,0.8522,0.7218
175665.0000,68.4000,19,14,9,4,79.0521,2026-05-19 16:05:00,2026-08-06 17:20:00,2.6183,2.5464,3.9610,2224.7368,3,1,2.5550,16.9551,2.5000,3.0000,0.5239,0.6224,0.4044,0.2338,0.6177,0.9706,0.2713
175420.0000,84.5000,18,13,9,4,79.9632,2026-05-19 10:21:00,2026-08-07 09:28:00,2.4672,2.6650,3.4979,1999.1667,5,1,2.6425,15.5746,6.8000,5.0000,0.4863,0.5166,0.3820,0.9812,0.6962,0.9560,0.9812
174930.0000,55.9000,21,10,7,3,56.2104,2026-05-29 12:06:00,2026-07-24 17:09:00,2.2860,2.1448,3.5321,2132.1429,3,1,2.6166,18.5029,2.5000,3.0000,0.5836,0.1527,0.2817,0.2338,0.6792,0.9587,0.2713
174685.0000,63.0000,16,12,8,3,179.9611,2026-01-22 10:00:00,2026-07-21 09:04:00,2.4744,2.3281,4.0000,2979.6875,3,1,2.7907,13.7449,2.5000,3.0000,0.4113,0.5137,0.3546,0.2338,0.7747,0.9020,0.2713
174440.0000,84.2000,16,10,6,3,52.9458,2026-05-29 12:26:00,2026-07-21 11:08:00,2.7630,2.6379,4.0000,2547.8125,4,1,2.8300,14.0842,5.0000,4.0000,0.4113,0.7952,0.2796,0.9471,0.8123,0.9065,0.7218
173950.0000,82.3000,17,12,8,4,180.7111,2026-01-21 17:57:00,2026-07-21 11:01:00,2.8633,2.8932,3.7173,2555.5882,4,1,2.5282,14.3225,4.3000,4.0000,0.4505,0.7918,0.3948,0.7082,0.5973,0.9102,0.7218
