regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
contra>0,461,267,-0.028181576629656584,0.0075362510821873115,0.057977048226642305,0.014240847034017162,-0.0240421364681904,0.6441947565543071,
contra<-.4,2658,1590,-0.009259618243683947,0.006599133040609939,0.024132389104452274,0.0011315327070895937,0.00801841173121296,0.43333333333333335,
contra<-.6,1086,646,-0.02586360462507682,-0.01576808008253538,0.03746200143501904,-0.021609528397668696,0.014156425349960595,0.38854489164086686,
contra3>0,3123,1883,0.0008856251835103913,0.007944162348293048,0.02179841856058216,-0.0035835433210099662,-0.0014540418832773884,0.6133828996282528,
contra3<-.3,2850,1726,-0.02962963086795572,-0.004590875705513191,0.02319884768776867,-0.01352107597031553,-0.0010465134301896638,0.4640787949015064,
pavio=50,787,491,-0.0372427646426135,0.005620256394245639,0.042996601943797584,-0.03112163025723232,0.007725004337001372,0.38085539714867617,
pavio<=65,2530,1551,-0.015894367536152955,-0.014207002078564889,0.024294143835274794,-0.008199355778026388,-0.004667033494685649,0.3894261766602192,
pavio>=115,3975,2456,-0.0035434180872395385,-0.0015020807990211503,0.018891345328019574,-0.0016509335654029888,-0.005242900180460227,0.6368078175895765,
seq=1,3533,2165,-0.001075168305339656,-0.0035120646188999028,0.020270845411732068,0.0018780938345690041,-0.0004730080271565949,0.6193995381062356,
seq>=3,4450,2748,-0.020719358960973044,-0.00041826030989667624,0.01836757944663287,-0.0066367636804957175,-0.0006031589701686155,0.4887190684133916,
seq>=5,1992,1263,-0.03630376659830484,-0.0028620532786371184,0.02710448794972977,-0.016667138787724717,-0.0013673933064717791,0.4885193982581156,
rqtd>1.5,2946,1907,-0.00585601820058315,-0.009769860148555501,0.021713697206975427,-0.004914867061180389,-0.0012090804923769506,0.6056633455689565,
rqtd<0.6,3263,1964,-0.01152037076608491,0.00035843529416483414,0.021610762891148307,-0.0036737978726619864,-0.0002934203218625511,0.46435845213849286,
rdur>1.5,3280,2052,-0.010466538777755977,-0.005975638001688669,0.021001467186007695,-0.00932274493529611,-0.003956797561456179,0.5999025341130604,
rdur<0.6,4496,2840,-0.012513969640278446,0.0007766886955194695,0.017977304725091636,-0.0002669108980580228,0.002710376938332417,0.4795774647887324,
rtam<0.8,583,371,0.03285583105338088,0.0035418268441414357,0.04959267895134531,0.024149211298261267,-0.007900990937029166,0.5768194070080862,
part>.85,1051,778,-0.009107231445912536,0.006006361272991256,0.03418976810661449,0.006767801399721238,-0.005137231181514348,0.532133676092545,
