<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.08.03	09:03:04.430			179590	41007.00000000	56
2026.08.03	09:03:04.430			179590	13603.00000000	56
2026.08.03	09:03:04.430			179590	604.00000000	56
2026.08.03	09:03:04.430			179590	60.00000000	56
2026.08.03	09:03:04.430			179590	2026.00000000	56
2026.08.03	09:03:04.430			179590	207.00000000	56
2026.08.03	09:03:04.430			179590	347.00000000	56
2026.08.03	09:03:04.430			179590	1227.00000000	56
2026.08.03	09:03:04.430			179590	141.00000000	56
2026.08.03	09:03:04.430			179590	124.00000000	56
2026.08.03	09:03:04.430			179590	605.00000000	56
2026.08.03	09:03:04.431			179590	830.00000000	56
2026.08.03	09:03:04.431			179590	233.00000000	56
2026.08.03	09:03:04.431			179590	69.00000000	56
2026.08.03	09:03:04.431			179590	936.00000000	56
2026.08.03	09:03:04.431			179590	490.00000000	56
2026.08.03	09:03:04.431			179590	368.00000000	56
2026.08.03	09:03:04.431			179590	270.00000000	56
2026.08.03	09:03:04.431			179590	253.00000000	56
2026.08.03	09:03:04.432			179590	88.00000000	56
2026.08.03	09:03:04.432			179590	305.00000000	56
2026.08.03	09:03:04.432			179590	338.00000000	56
2026.08.03	09:03:04.432			179590	339.00000000	56
2026.08.03	09:03:04.433			179585	2.00000000	56
2026.08.03	09:03:04.433			179575	1.00000000	56
2026.08.03	09:03:04.433			179570	10.00000000	56
2026.08.03	09:03:04.433			179560	7.00000000	56
2026.08.03	09:03:04.438			179575	1.00000000	56
2026.08.03	09:03:04.438			179570	35.00000000	56
2026.08.03	09:03:04.447			179565	17.00000000	56
2026.08.03	09:03:04.447			179585	1.00000000	56
2026.08.03	09:03:04.448			179580	1.00000000	56
2026.08.03	09:03:04.448			179575	29.00000000	56
2026.08.03	09:03:04.448			179570	6.00000000	56
2026.08.03	09:03:04.449			179575	1.00000000	56
2026.08.03	09:03:04.449			179570	29.00000000	56
2026.08.03	09:03:04.456			179565	42.00000000	56
2026.08.03	09:03:04.456			179570	15.00000000	56
2026.08.03	09:03:04.468			179565	4.00000000	56
2026.08.03	09:03:04.471			179560	2.00000000	56
2026.08.03	09:03:04.471			179565	2.00000000	56
2026.08.03	09:03:04.471			179560	2.00000000	56
2026.08.03	09:03:04.472			179565	2.00000000	56
2026.08.03	09:03:04.472			179560	120.00000000	56
2026.08.03	09:03:04.475			179555	3.00000000	56
2026.08.03	09:03:04.475			179550	9.00000000	56
2026.08.03	09:03:04.475			179545	6.00000000	56
2026.08.03	09:03:04.475			179545	1.00000000	56
2026.08.03	09:03:04.475			179555	3.00000000	56
2026.08.03	09:03:04.478			179550	38.00000000	56
2026.08.03	09:03:04.478			179540	22.00000000	56
2026.08.03	09:03:04.478			179545	2.00000000	56
2026.08.03	09:03:04.479			179550	12.00000000	56
2026.08.03	09:03:04.481			179540	12.00000000	56
2026.08.03	09:03:04.481			179545	1.00000000	56
2026.08.03	09:03:04.482			179540	1.00000000	56
2026.08.03	09:03:04.482			179545	1.00000000	56
2026.08.03	09:03:04.483			179540	2.00000000	56
2026.08.03	09:03:04.483			179535	170.00000000	56
2026.08.03	09:03:04.484			179540	4.00000000	56
2026.08.03	09:03:04.484			179545	1.00000000	56
2026.08.03	09:03:04.484			179535	5.00000000	56
2026.08.03	09:03:04.486			179530	6.00000000	56
2026.08.03	09:03:04.487			179540	1.00000000	56
2026.08.03	09:03:04.487			179535	1.00000000	56
2026.08.03	09:03:04.488			179525	3.00000000	56
2026.08.03	09:03:04.488			179530	1.00000000	56
2026.08.03	09:03:04.488			179525	3.00000000	56
2026.08.03	09:03:04.489			179520	1.00000000	56
2026.08.03	09:03:04.489			179515	8.00000000	56
2026.08.03	09:03:04.490			179525	8.00000000	56
2026.08.03	09:03:04.490			179515	1.00000000	56
2026.08.03	09:03:04.490			179520	4.00000000	56
2026.08.03	09:03:04.491			179515	44.00000000	56
