symbol,tradeDate,contract,settle,last,open,high,low,volume,openInterest
ES,2026-06-24,SEP 26,7428.25,7477.50,7449.25,7496.5,7404.25,"1,761,094","1,976,022"
ES,2026-06-25,SEP 26,7423.25,7433.75,7476.25,7496.0,7390.5,"1,547,837","1,978,419"
ES,2026-06-26,SEP 26,7401.75,7397.25,7431.0,7459.5,7357.25,"1,397,326","1,978,775"
ES,2026-06-26,SEP 26,7401.75,7397.25,7431.00,7459.50,7357.25,"1,397,326","1,978,775"
ES,2026-06-29,SEP 26,7500.25,7493.50,7398.0,7505.0,7398.0,"1,400,892","1,984,281"
ES,2026-06-29,SEP 26,7500.25,7493.50,7398.00,7505.00,7398.00,"1,400,892","1,984,281"
ES,2026-06-30,SEP 26,7548.25,7542.00,7495.5,7567.75,7481.75,"1,217,536","1,961,997"
ES,2026-06-30,SEP 26,7548.25,7542.00,7495.50,7567.75,7481.75,"1,217,536","1,961,997"
ES,2026-07-01,SEP 26,7543.5,7532.75,7543.25,7579.0,7505.75,"1,248,310","1,942,624"
ES,2026-07-01,SEP 26,7543.5,7532.75,7543.25,7579.00,7505.75,"1,248,310","1,942,624"
ES,2026-07-02,SEP 26,7528.25,7523.00,7536.0,7593.75,7479.5,"1,668,613","1,952,991"
ES,2026-07-02,SEP 26,7528.25,7523.00,7536.00,7593.75,7479.50,"1,668,613","1,952,991"
NQ,2026-06-24,SEP 26,29514.25,30095.25B,29770.0,30157.75,29264.75,"670,049","264,463"
NQ,2026-06-25,SEP 26,29724.75,29759.25,30089.75,30263.75,29295.75,"642,170","266,216"
NQ,2026-06-26,SEP 26,29368.25,29283.00,29742.0,29892.75,29160.5,"573,779","269,932"
NQ,2026-06-26,SEP 26,29368.25,29283.00,29742.00,29892.75,29160.50,"573,779","269,932"
NQ,2026-06-29,SEP 26,30052.75,29995.00A,29282.5,30069.5,29273.75,"516,482","272,395"
NQ,2026-06-29,SEP 26,30052.75,29995.00A,29282.50,30069.50,29273.75,"516,482","272,395"
NQ,2026-06-30,SEP 26,30523.5,30500.75,30007.25,30599.75,29934.75,"470,784","274,906"
NQ,2026-06-30,SEP 26,30523.5,30500.75,30007.25,30599.75,29934.75,"470,784","274,906"
NQ,2026-07-01,SEP 26,30094.25,30064.25,30505.75,30553.75,30008.5,"507,465","277,407"
NQ,2026-07-01,SEP 26,30094.25,30064.25,30505.75,30553.75,30008.50,"507,465","277,407"
NQ,2026-07-02,SEP 26,29556.0,29551.75,30089.75,30320.0,29328.5,"631,454","276,543"
NQ,2026-07-02,SEP 26,29556.0,29551.75,30089.75,30320.00,29328.50,"631,454","276,543"
YM,2026-06-24,SEP 26,52279.0,52394.00,52119.0,52676.0,51933.0,"94,126","78,824"
YM,2026-06-25,SEP 26,52339.0,52446.00B,52381.0,53097.0,52215.0,"109,785","79,515"
YM,2026-06-26,SEP 26,52209.0,52161.00,52439.0,52542.0,52008.0,"102,010","79,976"
YM,2026-06-26,SEP 26,52209.0,52161.00,52439.00,52542.00,52008.00,"102,010","79,976"
YM,2026-06-29,SEP 26,52572.0,52530.00B,52183.0,52700.0,52179.0,"87,351","80,342"
YM,2026-06-29,SEP 26,52572.0,52530.00B,52183.00,52700.00,52179.00,"87,351","80,342"
YM,2026-06-30,SEP 26,52670.0,52567.00,52554.0,52763.0,52383.0,"73,187","80,869"
YM,2026-06-30,SEP 26,52670.0,52567.00,52554.00,52763.00,52383.00,"73,187","80,869"
YM,2026-07-01,SEP 26,52668.0,52603.00,52546.0,53105.0,52381.0,"85,351","83,122"
YM,2026-07-01,SEP 26,52668.0,52603.00,52546.00,53105.00,52381.00,"85,351","83,122"
YM,2026-07-02,SEP 26,53183.0,53169.00A,52640.0,53218.0,52551.0,"98,308","83,639"
YM,2026-07-02,SEP 26,53183.0,53169.00A,52640.00,53218.00,52551.00,"98,308","83,639"
