symbol,tradeDate,settle,distancia
ES,2026/06/24,7428.25,49.25
ES,2026/06/25,7423.25,10.5
ES,2026/06/26,7401.75,-4.5
ES,2026/06/29,7500.25,-6.75
ES,2026/06/30,7548.25,-6.25
ES,2026/07/01,7543.5,-10.75
ES,2026/07/02,7528.25,-5.25
ES,2026/07/06,7591.5,5.25
ES,2026/07/07,7551.25,0.5
ES,2026/07/08,7528.75,-13.25
ES,2026/07/09,7588.75,-2.5
ES,2026/07/10,7620.25,5.75
ES,2026/07/13,7563.0,-8.75
ES,2026/07/14,7591.25,-0.25
ES,2026/07/15,7614.75,1.25
ES,2026/07/16,7577.75,-8.5
ES,2026/07/17,7497.75,-3.0
ES,2026/07/20,7484.25,-1.0
ES,2026/07/21,7545.75,-3.0
ES,2026/07/22,7540.25,0.75
ES,2026/07/23,7445.0,10.75
ES,2026/07/24,7447.5,-3.5
ES,2026/07/27,7448.25,5.25
ES,2026/07/28,7465.25,2.25
ES,2026/07/29,7351.25,-16.0
ES,2026/07/30,7472.5,2.0
ES,2026/07/31,7519.25,-15.75
ES,2026/08/03,7628.25,3.0
ES,2026/08/04,7765.5,9.0
ES,2026/08/05,7749.5,9.25
ES,2026/08/06,7734.75,-3.25
ES,2026/08/07,7779.75,-2.5
ES,2026/08/10,7776.75,0.5
ES,2026/08/11,7747.5,5.75
ES,2026/08/12,7770.5,-3.75
ES,2026/08/13,7822.5,2.75
ES,2026/08/14,7805.0,-2.5
ES,2026/08/17,7768.75,-3.25
ES,2026/08/18,7714.0,-0.75
NQ,2026/06/24,29514.25,581.0
NQ,2026/06/25,29724.75,34.5
NQ,2026/06/26,29368.25,-85.25
NQ,2026/06/29,30052.75,-57.75
NQ,2026/06/30,30523.5,-22.75
NQ,2026/07/01,30094.25,-30.0
NQ,2026/07/02,29556.0,-4.25
NQ,2026/07/06,29941.0,6.75
NQ,2026/07/07,29391.5,28.0
NQ,2026/07/08,29468.5,-77.25
NQ,2026/07/09,29937.0,-5.75
NQ,2026/07/10,30032.25,36.25
NQ,2026/07/13,29475.75,-47.0
NQ,2026/07/14,29790.25,3.25
NQ,2026/07/15,29693.25,14.25
NQ,2026/07/16,29225.75,-46.75
NQ,2026/07/17,28773.25,-5.0
NQ,2026/07/20,28778.75,-1.75
NQ,2026/07/21,29316.0,-26.25
NQ,2026/07/22,29181.25,-16.25
NQ,2026/07/23,28620.75,118.5
NQ,2026/07/24,28282.25,24.25
NQ,2026/07/27,28190.0,20.0
NQ,2026/07/28,27922.0,38.5
NQ,2026/07/29,27342.0,-82.75
NQ,2026/07/30,28237.75,95.75
NQ,2026/07/31,28404.25,-117.25
NQ,2026/08/03,28891.75,37.5
NQ,2026/08/04,29863.5,-45.25
NQ,2026/08/05,29615.0,-14.75
NQ,2026/08/06,29488.25,16.0
NQ,2026/08/07,29834.75,4.75
NQ,2026/08/10,29737.0,27.25
NQ,2026/08/11,29626.0,20.75
NQ,2026/08/12,29853.25,-47.5
NQ,2026/08/13,30188.5,25.75
NQ,2026/08/14,30141.75,12.25
NQ,2026/08/17,30096.0,-17.75
NQ,2026/08/18,29586.0,-26.5
YM,2026/06/24,52279.0,115.0
YM,2026/06/25,52339.0,107.0
YM,2026/06/26,52209.0,-48.0
YM,2026/06/29,52572.0,-42.0
YM,2026/06/30,52670.0,-103.0
YM,2026/07/01,52668.0,-65.0
YM,2026/07/02,53183.0,-14.0
YM,2026/07/06,53372.0,48.0
YM,2026/07/07,53197.0,-2.0
YM,2026/07/08,52624.0,-63.0
YM,2026/07/09,52761.0,-46.0
YM,2026/07/10,52906.0,56.0
YM,2026/07/13,52764.0,-44.0
YM,2026/07/14,52791.0,20.0
YM,2026/07/15,52900.0,-3.0
YM,2026/07/16,52786.0,-43.0
YM,2026/07/17,52375.0,0.0
YM,2026/07/20,52073.0,38.0
YM,2026/07/21,52443.0,-27.0
YM,2026/07/22,52449.0,21.0
YM,2026/07/23,51894.0,25.0
YM,2026/07/24,52124.0,-31.0
YM,2026/07/27,52382.0,49.0
YM,2026/07/28,52944.0,-37.0
YM,2026/07/29,51765.0,-30.0
YM,2026/07/30,52380.0,47.0
YM,2026/07/31,52635.0,-111.0
YM,2026/08/03,53334.0,58.0
YM,2026/08/04,54268.0,104.0
YM,2026/08/05,54494.0,61.0
YM,2026/08/06,54013.0,-32.0
YM,2026/08/07,54152.0,-20.0
YM,2026/08/10,54063.0,-2.0
YM,2026/08/11,53880.0,24.0
YM,2026/08/12,53871.0,-7.0
YM,2026/08/13,53935.0,25.0
YM,2026/08/14,53807.0,-29.0
YM,2026/08/17,53544.0,-35.0
YM,2026/08/18,53403.0,3.0
