feature,lag,mean_pos,mean_neg,cohens_d,auc,abs_auc_gap
AggTotalPerQuantity,0,0.7404634282677297,0.7537518738795864,-0.12827349872894972,0.4689882338219168,0.03101176617808321
AggShareOfQuantity,0,0.7404634282677297,0.7537518738795864,-0.12827349872894972,0.4689882338219168,0.03101176617808321
QuantityPerTradeRatio20,1,0.9919835442248414,1.0025623119251266,-0.027215838309046187,0.4753989047367223,0.024601095263277695
AggTotalResidual20,0,8422.233080260303,8965.332539280285,-0.026770968855108407,0.48026173296113583,0.019738267038864166
AggSellNorm,2,102.87324848858148,96.81546796698508,0.06386157035191127,0.5169769297728543,0.016976929772854255
AggTotalRatio20,0,1.5022739512121053,1.5185217318227606,-0.014291062801503225,0.48306585762456944,0.01693414237543056
AggTotalNorm,2,204.02987904060876,192.50901086963253,0.06643619104164841,0.5163699051922007,0.016369905192200718
TradesResidual20,0,3412.0104121475056,3554.764064875824,-0.01867330777771117,0.483747786000376,0.01625221399962401
CloseChange2Bricks,2,-0.032502708559046585,0.06838905775075987,-0.04262036886352018,0.48394430961107615,0.01605569038892385
CloseChange3Bricks,1,-0.04008667388949079,0.08865248226950355,-0.038388345594111334,0.48394430961107615,0.01605569038892385
AggPerBrickProgress,2,371.8591765980499,334.181327254306,0.09024283589931836,0.5159151856035284,0.015915185603528448
TradesRatio20,0,1.5087277683508697,1.5132450270755595,-0.004078781698940423,0.4843087758492358,0.015691224150764183
QuantityResidual20,0,12349.616214750542,12721.601875316777,-0.013183982513814363,0.4845748406085187,0.015425159391481313
QuantityRatio20,0,1.5231474863969274,1.5142140729733937,0.007821400827182056,0.484795828280485,0.015204171719514992
TradesNorm,2,80.14995223033125,75.72307163941016,0.07045654750789522,0.5151009713490984,0.01510097134909838
AggTotalNormMean3,1,204.46362357420537,197.34420302209836,0.05216767870877133,0.5144854396427666,0.014485439642766607
TradesNorm,1,80.35446023031976,78.98830793784177,0.02205414408375011,0.5143174925164736,0.014317492516473629
TradesResidual20,1,-914.0132321041215,-771.3093512417638,-0.021153270395730384,0.485896643735989,0.014103356264010991
AggTotalPerTrade,2,2.48650164502403,2.461884695637357,0.04499972069094243,0.5138067905523704,0.01380679055237044
