,AggBuyNorm,AggSellNorm,AggBalanceNorm,AggTotalNorm,QuantityNorm,TradesNorm,DurationResidual,Range,BodyNorm,Direction,CloseLocation,OpenLocation,UpperWickNorm,LowerWickNorm,WickTotalNorm,WickAsym,AggImbalance,BuyShare,SellShare,AggBalanceChange,AggBalanceAcceleration,AggImbalanceChange,DirVsAggDivergence,AggPerBrickProgress,QuantityPerTrade,TradesPerQuantity,AggTotalPerQuantity,AggTotalPerTrade,AggShareOfQuantity,QuantityResidual20,TradesResidual20,AggTotalResidual20,QuantityRatio20,TradesRatio20,AggTotalRatio20,QuantityPerTradeRatio20,ConsecutiveUpCount,ConsecutiveDownCount,RunLength,SignedRunLength,BodyNormMean3,BodyNormMean5,AggBalanceNormMean3,AggBalanceNormMean5,AggTotalNormMean3,AggTotalNormMean5,DurationResidualMean3,DurationResidualMean5,CloseChange1Bricks,CloseChange2Bricks,CloseChange3Bricks,RangeMean5,RangeRatio20,AggBalanceRunSum,AggBalanceNormMean3Change,DurationRatio20,DurationResidualPct,LogDuration,LogDurationResidual20,DeltaTLog,SecondsSinceSessionOpen,HourOfDay
AggBuyNorm,1.0,0.7980394256385662,0.3027497690860165,0.9476008533178707,0.9335142727313378,0.9290697008272086,0.018227208582125207,0.2698455609969153,-0.2673450809225059,0.21890897526027658,0.2189089752602765,-0.1695521280754197,-0.005590247735503892,0.25194573476113663,0.26734508092250603,-0.14463513467773842,0.23906435746330865,0.27859593611145067,-0.1724113036267054,0.17311655430262798,0.05277996556135313,0.12374682309453248,0.008581188829119088,0.8952000608910146,0.20612694140789528,-0.29293507637116145,-0.11243151251253965,0.27291607676433144,-0.11243151251253965,0.6386667621611588,0.6285905736451874,0.6472784781160046,0.4308170009652222,0.4126824864308258,0.4034818751446702,0.05734938368061008,0.03929606988557551,-0.14438530418222337,-0.055893007429946,0.1015915132820335,-0.17177064295199568,-0.17599019321163048,0.19985654689275417,0.13452110108701495,0.7672946040727333,0.7222282929898316,0.011995449595144501,0.00992253439278039,0.1892454009452811,0.21943152765033994,0.19940608949644217,0.15112465541121595,0.2233339053508431,0.2053318239311147,0.22522993157899865,0.35426750779062066,0.33160581210647144,0.6703549125107744,0.37379298081549917,0.3939661671285996,0.48717399771268227,0.4800106474936836
AggSellNorm,0.7980394256385662,1.0,-0.3327187723207597,0.9487291594150445,0.9335139510426603,0.9296264509142238,0.018246835438854365,0.26131192687556326,-0.26028804007597345,-0.2652102740101115,-0.26521027401011116,0.218829406841832,0.2677253114670957,-0.02924495441603652,0.26028804007597356,0.1675188700219376,-0.2544375107872202,-0.18684767742751268,0.29307091901929366,-0.1589094632450041,-0.039642775314371735,-0.11520972891670284,0.005752685275522527,0.8891258470171733,0.207851205799632,-0.29603866520273364,-0.11070572496207298,0.2769426422281858,-0.11070572496207298,0.6336618025872512,0.6227574333219215,0.6423403573897721,0.4282166835963108,0.4092621458894402,0.4010469184862305,0.05991732483161993,-0.16907224077452626,0.18763211378126737,-0.040066915403568305,-0.21945319340855138,-0.1674135151758666,-0.16751581555971842,-0.24991154368023086,-0.1927191411627353,0.7654573367963791,0.719687038083568,0.012330807133318212,0.010616389704805681,-0.2157997032294,-0.2728201628821508,-0.2630783489989405,0.1414488646863075,0.21367618412908898,-0.26544417490200733,-0.21984948644573882,0.3505918341343754,0.3276868409643523,0.6694343899707141,0.37162359359820485,0.39276368846653126,0.4786767267260953,0.4707965130161696
AggBalanceNorm,0.3027497690860165,-0.3327187723207597,1.0,-0.017578742181504233,-0.015558934391888749,-0.01636590917837979,-0.0003358936106523307,0.008998970842602155,-0.006705293326465651,0.7620259882980618,0.7620259882980612,-0.6114315266034642,-0.4321780102032398,0.44052702539038846,0.006705293326465706,-0.49128668275308124,0.7765294351922443,0.7314940856953004,-0.7333249922521532,0.5222271176584237,0.14529157906737983,0.37585689581260645,0.004330484728674145,-0.0053139650241155936,-0.006162708455233852,0.009791107592181224,-0.0008555123392880154,-0.010917202862221738,-0.0008555123392880154,-0.0027651356325814978,-0.0012866475077543673,-0.0030148876177254484,-0.0030923719771609104,-0.0014920119291372985,-0.002896750685602863,-0.00502097375103665,0.3288967640973939,-0.522706479509118,-0.02409867254024379,0.5060654979584149,-0.004023634134081153,-0.010454170737293083,0.7080015984308986,0.5152950359837014,-0.009903062381111246,-0.008081047461250573,-0.000730491401273735,-0.0012629522593086636,0.6374414803731249,0.7748654392190562,0.7280126470939302,0.012770869146377534,0.011540730789259511,0.7411488315056691,0.7000575772041557,-0.00011115464612820827,0.0006526937078757411,-0.009717325413535472,-0.0028202666341537097,-0.004674697380949712,0.005319115924846191,0.006572290750233674
AggTotalNorm,0.9476008533178707,0.9487291594150445,-0.017578742181504233,1.0,0.9845450554770938,0.9801528374509986,0.01923383666476565,0.2800728808078629,-0.2782184915557679,-0.025768519466547138,-0.025768519466547176,0.027070419063831813,0.13899586881742354,0.11665193340313072,0.2782184915557685,0.012939307618556606,-0.009485305905755227,0.04708169621321628,0.06492803189553234,0.006562968903766874,0.006669106143633351,0.003833367907733676,0.007550819612036311,0.9409164522722944,0.2183090355500287,-0.31059378987225744,-0.11766274377207386,0.28996973716604785,-0.11766274377207386,0.6709203440883733,0.6598543890796285,0.6800381738821842,0.45298515543427625,0.43342476446060874,0.42424366830070986,0.06184520640460089,-0.06901727243495057,0.02373290888991091,-0.050558598016574245,-0.06304911993579704,-0.17885108326809024,-0.18111903365553045,-0.02765404378623728,-0.03160876702833508,0.8082667766622519,0.7603656568584682,0.012828796811645499,0.0108325158192587,-0.015136197629873584,-0.029530843766299598,-0.03487325475322875,0.15425716305520584,0.23042055205353829,-0.03301426629140494,0.0015899614489006692,0.3716817065397887,0.3476524375244237,0.706512154837319,0.3930728891984834,0.4148662444325372,0.5093009456529093,0.5013659798164911
QuantityNorm,0.9335142727313378,0.9335139510426603,-0.015558934391888749,0.9845450554770938,1.0,0.9777618993672692,0.04404145035748243,0.2918089101925808,-0.2907102305618799,-0.02453014274989469,-0.024530142749894776,0.024296734955567396,0.14492070376461574,0.12220702253134827,0.29071023056188017,0.013163650700273814,-0.009449841631941475,0.04040415545326175,0.05818915459995662,0.007054896671225814,0.006522378653213984,0.002910065127425341,0.008901307501305866,0.9317204724352856,0.32184363033023594,-0.3282834183043406,-0.1848701513569834,0.23961405792203375,-0.1848701513569834,0.6862672664459855,0.6653623799036531,0.6769088563469653,0.47604141938256606,0.4425247186436711,0.42546188861173906,0.16207009961124236,-0.06766445435585676,0.02139825043154842,-0.050777203914407196,-0.060874877395006584,-0.17533611177916172,-0.17273186549784958,-0.025764437561342172,-0.02954585495695311,0.7867652936190308,0.7402872210175228,0.02545249822970524,0.023189150814136777,-0.014718796240757295,-0.027981729342398357,-0.03252506177965006,0.14878734280233227,0.2441097398264471,-0.031184424497295138,0.0027708537710387673,0.39013808500053215,0.36701543363059985,0.7166240867169114,0.4100055054359838,0.4053278028988428,0.49089819189454825,0.48346991546820844
TradesNorm,0.9290697008272086,0.9296264509142238,-0.01636590917837979,0.9801528374509986,0.9777618993672692,1.0,0.030485511304833735,0.30726537531783593,-0.30597497981886185,-0.025402038568676264,-0.0254020385686762,0.026702975709047262,0.1515471778851166,0.12961195460941805,0.30597497981886257,0.012745198917901752,-0.008910643142637755,0.051044452800078764,0.06780392822475154,0.008995902003483621,0.0078057284775584785,0.0049977591958368225,0.008429948742535713,0.92863300178511,0.20245163918351375,-0.2738536005079315,-0.15779918876114069,0.20991741688422533,-0.15779918876114069,0.701853409535578,0.7034018962060702,0.7025604337922702,0.503555890289657,0.48452570458865857,0.4648679668128323,0.07019000431710515,-0.07818662213771382,0.016734459679713366,-0.06384399843262135,-0.06632986196529476,-0.19602747059526926,-0.19762660420603081,-0.028614322117272443,-0.033268141448042715,0.7729093860359623,0.7193141796020358,0.01858177700322148,0.014929922259003118,-0.014516785243142403,-0.029205414624975737,-0.034888508638549344,0.1697759672237793,0.2547638831373858,-0.0343057893114843,0.004611393548212143,0.4271994822825137,0.4013934045068162,0.7393225188917815,0.45244751494396085,0.4012216565599501,0.4320578573900714,0.42539059898330667
DurationResidual,0.018227208582125207,0.018246835438854365,-0.0003358936106523307,0.01923383666476565,0.04404145035748243,0.030485511304833735,1.0,0.020140119346775193,-0.017987084201755325,-0.0005809509011890375,-0.0005809509011890341,0.002199014897961739,0.007694919482540121,0.008838961639898947,0.0179870842017553,-0.0006210567565627877,-0.000980698995309557,-0.026738938784834673,-0.02486773610980025,0.0010354271958454622,0.0015138769652592696,0.0027165250871637524,-0.00022885758708019396,0.022760091431433833,0.10427532113587551,-0.02218486868375462,-0.06805374027233516,-0.036477650761898746,-0.06805374027233516,0.01428916820727611,0.0060036332574363435,-0.004223032880082396,0.018569038203442155,0.010258038204316517,0.0027915380638799305,0.0910524662682858,-0.0234245215696636,-0.00867027113745238,-0.027980449762343408,-0.013007209501833967,-0.036276965628522485,-0.05473021625742253,-0.0007897663430638595,-0.0032756147098750212,0.023262188651521232,0.03937655722780592,0.575399838228113,0.4417040817270901,-0.0007530861069571776,0.0020945528899123196,-0.0018252163369448782,0.04992554717128511,0.007179176528695592,-0.0008396600541204366,0.0018216018552363444,0.27752415880152576,0.2800839283500238,0.13312449493977346,0.1387732993069477,0.04014093785597067,0.09817529887256224,0.10023490719122023
Range,0.2698455609969153,0.26131192687556326,0.008998970842602155,0.2800728808078629,0.2918089101925808,0.30726537531783593,0.020140119346775193,1.0,-0.9644592253341859,-0.00991284678910139,-0.009912846789101376,0.014205436084619518,0.4445775806568676,0.4418263026210087,0.9644592253341854,0.0027990068854658345,-0.0031498617449466186,0.059343352805108045,0.0652335029307776,0.0024347769230405863,-0.0009981487814245678,-0.009443110932575287,-0.0102039160013149,0.49610063788191444,0.08155937598282362,0.05108944728571048,-0.0326983187960692,0.04700781206781983,-0.0326983187960692,0.5642211844064644,0.588075382358349,0.5614650949273065,0.5857396384165044,0.5935490830498407,0.567055242001489,0.11169749747936653,-0.19076978734829708,-0.2002726109043095,-0.31177755785138617,-0.04081454383836166,-0.576236949015821,-0.45126240932625344,0.0077977010274724486,0.009674546980691541,0.13876736040306933,0.10117245045420319,-0.007931510859633801,-0.020245219073318707,-0.0073705526907924795,-0.012211190581614054,-0.008870997124934648,0.46792247464489606,0.9602312134488821,0.010079742117379302,0.0016151444004085943,0.4930236868914754,0.49745726755924735,0.4916164452868105,0.638377301426045,0.017401757333743547,0.0368918708676777,0.035795472552666595
BodyNorm,-0.2673450809225059,-0.26028804007597345,-0.006705293326465651,-0.2782184915557679,-0.2907102305618799,-0.30597497981886185,-0.017987084201755325,-0.9644592253341859,1.0,0.015091661516384363,0.015091661516384294,-0.018360255136477162,-0.46382738626625086,-0.4552264949740482,-0.9999999999999998,-0.006138156210918759,0.0016007404757497916,-0.07718939098285445,-0.08014374925074758,-0.005117559896813771,-0.002268600837227467,0.00680979505975792,0.0068466371824119805,-0.4641789492759623,-0.09655611042141928,-0.05466361916067964,0.022370373810336394,-0.070345319084489,0.022370373810336394,-0.5194456061500058,-0.5411628781180974,-0.5163282126871943,-0.5495324526928214,-0.5568937218933477,-0.5306028910840026,-0.12384582181396936,0.20218297370683974,0.1879400584201852,0.3146980624820785,0.05546127332403323,0.6053594834768121,0.4784075355272182,-0.0033901021445442436,-0.004310898681048327,-0.15005848679595862,-0.117050934843939,0.013929044807104322,0.02847208659763718,0.010893534498428219,0.018057334111535515,0.015055368734780743,-0.4593965574899294,-0.9265746117758784,-0.005344268666091064,-0.0018888443179931572,-0.46397676782736674,-0.4641165704784613,-0.5347784542219552,-0.6739257195490964,-0.03339794658920525,-0.05351688769848201,-0.05320825678406555
Direction,0.21890897526027658,-0.2652102740101115,0.7620259882980618,-0.025768519466547138,-0.02453014274989469,-0.025402038568676264,-0.0005809509011890375,-0.00991284678910139,0.015091661516384363,1.0,1.0,-0.435022943192252,-0.765087233031207,0.7550251202002832,-0.01509166151638432,-0.8557773922955126,0.7191877829839296,0.6617933468006765,-0.694845362389365,0.461308204683166,0.18495497920264456,0.42786911799999433,-0.12706537459988568,-0.01607594774836636,-0.02286094748257255,-0.019963022702195167,-0.03238573805067821,-0.02587243679821933,-0.03238573805067821,-0.01045028035947848,-0.008639723306849542,-0.010617318413362647,-0.010927047225584227,-0.009321540760262304,-0.01060148375517329,-0.020336549069920114,0.4352709318076114,-0.6148677050720313,0.01786185630652912,0.6311415922206347,0.010345534459574583,0.011996714102957681,0.5052900380322751,0.37655022282503026,-0.02063876016836176,-0.01994362021570477,0.0001830251847926342,0.0016834910803877096,0.9428588515512871,0.8947197978942879,0.7945259707095982,-0.004869308792952185,-0.0028858716070045308,0.6452868916369672,0.5238862187856143,-0.0006953257675182586,0.002050328281357314,-0.02651786787293765,-0.015837286912430523,-0.010887511593139998,-0.005703304889114555,-0.003866974242294188
