experiment,model,feature_set,n_features,n_oof,base_rate,roc_auc,auc_ci_lo,auc_ci_hi,pr_auc,precision@0.5,recall@0.5,f1@0.5,n_signals@0.5,edge_vs_base,auc_fold_mean,auc_fold_std,auc_fold_min,auc_folds_above_0.5,n_folds
EXP011_STRUCT+VOL_CATBOOST,catboost,STRUCT+VOL,28,1485,0.32525252525252524,0.5245905704119711,0.4951827176630601,0.5541656875527246,0.34384072201743576,0.5,0.006211180124223602,0.012269938650306747,6,0.17474747474747476,0.523955209555941,0.024549983964546815,0.48959625189472233,5,6
EXP100_EXTENDED_TREE,tree,EXTENDED,97,1485,0.32525252525252524,0.5242124446758657,0.4946672617825142,0.5580573586300267,0.34250680488249236,0.3546511627906977,0.12629399585921325,0.18625954198473285,172,0.029398637538172456,0.5299031744937733,0.04318179970690584,0.48429102935097146,4,6
EXP015_EXTENDED_CATBOOST,catboost,EXTENDED,97,1485,0.32525252525252524,0.5231772479884951,0.48994830612629925,0.5537259868051261,0.36587009220755695,0.43023255813953487,0.07660455486542443,0.13005272407732865,86,0.10498003288700963,0.52070852952121,0.03150160723021925,0.4859273956496179,5,6
EXP012_STRUCT+TIME_CATBOOST,catboost,STRUCT+TIME,18,1485,0.32525252525252524,0.5125824954645575,0.4828587420229747,0.5451191566151614,0.3446195163853721,,0.0,,0,,0.5016132300202542,0.03955810030349571,0.45937868949232585,3,6
EXP101_EXTENDED_RF,random_forest,EXTENDED,97,1485,0.32525252525252524,0.5100812867019584,0.4814519335313113,0.5420331686440565,0.335076255644014,,0.0,,0,,0.5143737235460667,0.014414882630381867,0.4884887839433294,5,6
EXP014_BASE_CATBOOST,catboost,BASE,42,1485,0.32525252525252524,0.5084871664538417,0.4768502678793943,0.5385991473572553,0.33267771885488295,0.5,0.002070393374741201,0.004123711340206186,2,0.17474747474747476,0.5093265879298888,0.026444612204239704,0.4625388973110987,4,6
EXP010_STRUCT+AGG_CATBOOST,catboost,STRUCT+AGG,41,1485,0.32525252525252524,0.5048329841352492,0.4741259341923237,0.5387440940053163,0.32652986419105023,0.1724137931034483,0.010351966873706004,0.01953125,29,-0.15283873214907695,0.5088125899168607,0.02214722680754867,0.4801346801346801,4,6
EXP013_STRUCT+CANDLE_CATBOOST,catboost,STRUCT+CANDLE,18,1485,0.32525252525252524,0.5025456333709393,0.470481475379287,0.534153521425421,0.32724827426954717,0.42857142857142855,0.006211180124223602,0.012244897959183673,7,0.10331890331890331,0.5001431575631202,0.05033212577285069,0.4139610389610389,3,6
EXP003_STRUCT+AGG_LOGISTIC,logistic,STRUCT+AGG,41,1485,0.32525252525252524,0.5011984312947604,0.4707008662713747,0.5327781874795149,0.33927299713323944,0.42857142857142855,0.024844720496894408,0.04696673189823875,28,0.10331890331890331,0.5005604615494441,0.04278799520182923,0.46574606827771386,2,6
EXP004_STRUCT+VOL_LOGISTIC,logistic,STRUCT+VOL,28,1485,0.32525252525252524,0.5009546125141022,0.4714625212186933,0.5336519316679773,0.3301462418897858,0.5,0.008281573498964804,0.016293279022403257,8,0.17474747474747476,0.5048087780779681,0.05650977514804529,0.4490836433788067,2,6
EXP002_STRUCT_LOGISTIC,logistic,STRUCT,5,1485,0.32525252525252524,0.5006539715599856,0.4700986680624822,0.5328345534042933,0.32186005493381903,,0.0,,0,,0.5103491530150434,0.04115869934042727,0.46225649350649345,3,6
EXP001_STRUCT_LOGISTIC,logistic,STRUCT,5,1485,0.32525252525252524,0.5006539715599856,0.4700986680624822,0.5328345534042933,0.32186005493381903,,0.0,,0,,0.5103491530150434,0.04115869934042727,0.46225649350649345,3,6
EXP000_ALWAYS_SIGNAL,always_signal,STRUCT,5,1485,0.32525252525252524,0.5,0.5,0.5,0.32525252525252524,0.32525252525252524,1.0,0.4908536585365853,1485,0.0,0.5,0.0,0.5,0,6
EXP007_BASE_LOGISTIC,logistic,BASE,42,1485,0.32525252525252524,0.49652661550604793,0.46530605086088994,0.5290804169701132,0.3372570592417929,0.4444444444444444,0.016563146997929608,0.03193612774451098,18,0.11919191919191918,0.49866636897992395,0.026250464421909037,0.45914289651371093,3,6
EXP006_STRUCT+CANDLE_LOGISTIC,logistic,STRUCT+CANDLE,18,1485,0.32525252525252524,0.4964832240281342,0.4645620727602933,0.5282662331445084,0.3370766540976231,1.0,0.002070393374741201,0.004132231404958678,1,0.6747474747474748,0.499036418938642,0.04665528353186503,0.43749999999999994,4,6
EXP009_STRUCT_CATBOOST,catboost,STRUCT,5,1485,0.32525252525252524,0.49481471838930835,0.4635145186868554,0.5269994376144373,0.3196272694999353,,0.0,,0,,0.5103491530150434,0.04115869934042727,0.46225649350649345,3,6
EXP008_EXTENDED_LOGISTIC,logistic,EXTENDED,97,1485,0.32525252525252524,0.4876954166201758,0.45781170807166627,0.5184606767769236,0.329628468717609,0.3469387755102041,0.035196687370600416,0.06390977443609024,49,0.02168625025767884,0.48766826782021505,0.032118403409986264,0.4633367908720976,2,6
EXP005_STRUCT+TIME_LOGISTIC,logistic,STRUCT+TIME,18,1485,0.32525252525252524,0.47214060491852733,0.4403608743445635,0.5055162326514723,0.3134573503060867,0.5,0.004140786749482402,0.008213552361396304,4,0.17474747474747476,0.4741165926971653,0.04146354944818708,0.42655367231638425,2,6
