target,feature_set,n_features,n_lags,depth,learning_rate,l2_leaf_reg,oof_auc,oof_pr_auc,base_rate,auc_fold_mean,auc_fold_std,auc_fold_min,folds_above_05,n_folds,stability_score
p2c2,STRUCT+AGG,41,5,4,0.02,10.0,0.5357204445296033,0.4744956847792071,0.45373665480427045,0.5390734511240339,0.03512469706283244,0.5052503688275622,6,6,0.5215111025926177
p2c2,STRUCT+VOL,28,5,3,0.1,3.0,0.5433847480360222,0.48645946427053643,0.45373665480427045,0.5440818230894556,0.04556958341262641,0.47648181897075415,4,6,0.5212970313831424
p2c2,BASE,42,5,5,0.02,10.0,0.5265460337229354,0.4853232611015497,0.45373665480427045,0.5365277685749713,0.03058706607479654,0.5021954201867497,6,6,0.5212342355375731
p2c2,BASE,42,5,4,0.02,10.0,0.5519256562559878,0.4938645953987227,0.45373665480427045,0.5480115019728168,0.05435398390379243,0.49003442390581153,5,6,0.5208345100209205
p2c2,STRUCT+VOL,28,5,3,0.05,10.0,0.5285567158459475,0.4729076401174408,0.45373665480427045,0.5318802469647365,0.02887005111405104,0.49690474124215334,5,6,0.517445221407711
p2c2,BASE,42,5,4,0.1,10.0,0.5396124736539567,0.48505340639539196,0.45373665480427045,0.5405607346935337,0.046526241906858834,0.493939656918048,5,6,0.5172976137401043
p2c2,BASE,42,5,5,0.05,3.0,0.5394432202848566,0.49157830858742646,0.45373665480427045,0.5301331339753746,0.025791736968901503,0.48657756949868375,5,6,0.5172372654909239
p2c2,STRUCT+AGG,41,5,6,0.05,3.0,0.5305606118668966,0.4716970586538391,0.45373665480427045,0.542391320103771,0.05069371784471372,0.45630478174086603,5,6,0.5170444611814141
p2c2,STRUCT+AGG,41,5,5,0.02,3.0,0.5391665868301718,0.48293679687747054,0.45373665480427045,0.5378641590523016,0.04602901358706518,0.47706037200960394,5,6,0.514849652258769
p2c2,STRUCT+AGG,41,5,6,0.02,10.0,0.5351124896212556,0.4781221631067146,0.45373665480427045,0.5366784850721963,0.04544082565896119,0.48890624548005446,5,6,0.5139580722427157
p2c2,STRUCT+AGG,41,5,4,0.02,3.0,0.5338506738200166,0.47507653324896215,0.45373665480427045,0.5343319901669538,0.040949429843425075,0.49564638838265496,5,6,0.5138572752452413
p2c2,STRUCT+AGG,41,5,5,0.05,10.0,0.5405661205850418,0.48908604773052616,0.45373665480427045,0.5377930527543237,0.049384826408956646,0.48048829876478927,4,6,0.5131006395498453
p2c2,STRUCT+AGG,41,5,5,0.02,10.0,0.5311985054608162,0.4760180718600305,0.45373665480427045,0.5346001535978852,0.04325822478335899,0.48482658959537567,4,6,0.5129710412062056
p2c2,STRUCT+AGG,41,5,4,0.05,10.0,0.5330307530178195,0.46582168791010475,0.45373665480427045,0.5382652458313238,0.051497117485513624,0.4889930284358819,5,6,0.512516687088567
p2c2,BASE,42,5,5,0.02,3.0,0.5254311170722361,0.4732956627838448,0.45373665480427045,0.5222424337439519,0.019680027095140197,0.4930428997078308,5,6,0.5124024201963817
p2c2,BASE,42,5,4,0.05,3.0,0.5262877626620681,0.47143595345647527,0.45373665480427045,0.5368148788687187,0.05223068251195721,0.46845439555671264,5,6,0.5106995376127401
p2c2,STRUCT+VOL,28,5,4,0.05,10.0,0.5346522322283962,0.48190416790578383,0.45373665480427045,0.5364781032945262,0.052953432794655635,0.4492898261448118,5,6,0.5100013868971983
p2c2,BASE,42,5,5,0.05,10.0,0.5184709714504695,0.46824776073186747,0.45373665480427045,0.5284806472662887,0.03787053920320466,0.48040151580896173,5,6,0.5095453776646864
p2c2,BASE,42,5,3,0.1,3.0,0.5326547231270359,0.47035964492335547,0.45373665480427045,0.5385011591179515,0.060920327445853455,0.44545691226243167,5,6,0.5080409953950248
p2c2,STRUCT+AGG,41,5,5,0.05,3.0,0.5269987066487833,0.4793976689933322,0.45373665480427045,0.5277191411064021,0.04048787990762304,0.48054615406867424,4,6,0.5074752011525905
p2c2,STRUCT+AGG,41,5,6,0.05,10.0,0.5238934661812609,0.4746713569676322,0.45373665480427045,0.5301967459637918,0.045589625109102916,0.4886169689606295,4,6,0.5074019334092403
p2c2,BASE,42,5,3,0.05,3.0,0.5309454237721147,0.47940253750556416,0.45373665480427045,0.5314391300350992,0.04864294962128924,0.4876045011426422,4,6,0.5071176552244546
p2c2,BASE,42,5,6,0.1,3.0,0.530452034233889,0.47132772564698244,0.45373665480427045,0.539065849867476,0.06478106626110541,0.4312245075067257,5,6,0.5066753167369232
p2c2,STRUCT+AGG,41,5,6,0.02,3.0,0.5330311522002937,0.4852553567319133,0.45373665480427045,0.5337580882448112,0.05417365600868603,0.4901501345135815,5,6,0.5066712602404682
p2c2,STRUCT+VOL,28,5,6,0.1,3.0,0.5218396723510251,0.48293232285842624,0.45373665480427045,0.5230589367660209,0.032855103203788975,0.4758309468020481,4,6,0.5066313851641264
p2c2,STRUCT+AGG,41,5,4,0.1,10.0,0.527782701028294,0.46420292276944364,0.45373665480427045,0.5334657757105432,0.05398921939188623,0.4575227879057358,5,6,0.5064711660146001
p2c2,BASE,42,5,4,0.02,3.0,0.5275627514849588,0.46949096097349047,0.45373665480427045,0.5337182258065546,0.05511118829013683,0.4765541381006103,5,6,0.5061626316614862
p2c2,STRUCT+VOL,28,5,3,0.02,10.0,0.527644983074663,0.481375201472447,0.45373665480427045,0.5186418045228024,0.02859017364412241,0.4637970435939715,5,6,0.5043467177007412
p2c2,BASE,42,5,6,0.1,10.0,0.531586910008303,0.4663987522888672,0.45373665480427045,0.533850396472733,0.059157322058969605,0.4768144869680928,4,6,0.5042717354432482
p2c2,BASE,42,5,5,0.1,10.0,0.5234918886121224,0.46968376739647955,0.45373665480427045,0.5315268915449458,0.055908509449215694,0.4646938008041888,5,6,0.5035726368203379
p2c2,BASE,42,5,3,0.02,10.0,0.5335257392859424,0.48220675384303224,0.45373665480427045,0.5300155690925364,0.053745476162371505,0.48510225924961675,3,6,0.5031428310113507
