feature,imp_mean,imp_std,rank_mean,rank_std,rank_worst,times_in_topk,n_folds,topk_fraction,imp_cv
AggBalanceNorm_lag4,0.07905410394941602,0.052467717691076665,6.0,9.38083151964686,25.0,5,6,0.8333333333333334,0.6636937877968858
AggBuyNorm_lag2,0.07896009635341074,0.07445159235715605,9.666666666666666,7.8655366420014,22.0,4,6,0.6666666666666666,0.9429014881633951
TradesNorm_lag2,0.07301725260990015,0.09707052527715215,10.583333333333334,11.137399457084525,25.5,4,6,0.6666666666666666,1.3294190319068606
AggBuyNorm,0.06690186518850984,0.08523981897763006,11.0,6.324555320336759,20.0,4,6,0.6666666666666666,1.274102280070208
AggBalanceNorm,0.04451654603383725,0.0329615022771336,10.833333333333334,9.064583093924764,25.0,4,6,0.6666666666666666,0.7404326079583846
AggBalanceNorm_lag3,0.041780833562335896,0.04433862884379913,11.916666666666666,10.660284549047773,25.5,4,6,0.6666666666666666,1.061219345412223
DurationResidual_lag2,0.04041308373365,0.03120180571701134,12.833333333333334,8.818541073594128,25.0,4,6,0.6666666666666666,0.7720718845078165
DurationResidual_lag5,0.03214857613902213,0.026454592476871923,12.75,10.018732454756938,25.5,4,6,0.6666666666666666,0.8228853546257429
AggBuyNorm_lag4,0.05105608720700013,0.05905399045147087,14.0,9.423375191511797,25.0,3,6,0.5,1.1566493572459695
QuantityNorm_lag3,0.028530738441798615,0.03509994354917922,20.833333333333332,12.480651692386367,40.0,3,6,0.5,1.2302500904693188
AggBalanceNorm_lag2,0.02741079468183542,0.026475821776024065,15.583333333333334,11.32438372127449,27.0,3,6,0.5,0.9658903393110692
AggSellNorm,0.020066736083717063,0.01713582532983376,17.416666666666668,7.939878252635028,25.5,3,6,0.5,0.8539418298194714
AggTotalNorm_lag2,0.034533148823908594,0.06309980296262584,26.0,16.29723902997069,41.0,2,6,0.3333333333333333,1.8272241342480613
TradesNorm_lag1,0.0275896309901011,0.04094284106544836,23.416666666666668,13.260530406686858,37.0,2,6,0.3333333333333333,1.483993790280786
AggTotalNorm_lag3,0.022291327857151697,0.02233512402872064,18.916666666666668,10.071825389008026,29.0,2,6,0.3333333333333333,1.0019647179319957
DurationResidual_lag3,0.018630768730938135,0.02113024508380588,20.416666666666668,9.318887630327273,29.0,2,6,0.3333333333333333,1.1341585196491184
QuantityNorm_lag4,0.01844537911287512,0.022674102199779826,20.166666666666668,12.110601416389967,38.5,2,6,0.3333333333333333,1.2292565016434387
AggSellNorm_lag2,0.01746513048041628,0.016632813233394335,20.75,8.83034540660783,31.0,2,6,0.3333333333333333,0.9523440578955179
AggBalanceNorm_lag1,0.017293631690996455,0.01529599244013166,19.083333333333332,7.2139910359430495,25.5,2,6,0.3333333333333333,0.8844870015414505
QuantityNorm,0.017059002029422114,0.01673394941333086,20.416666666666668,9.552050390710189,33.0,2,6,0.3333333333333333,0.980945390854012
DurationResidual_lag4,0.016669995888253478,0.015865397740962104,20.083333333333332,8.23660528777886,30.0,2,6,0.3333333333333333,0.9517337525045022
DurationResidual,0.016456508211386393,0.013952763551566709,20.416666666666668,6.003471218109292,25.5,2,6,0.3333333333333333,0.8478568705062643
TradesNorm_lag3,0.015045715217733685,0.017322151869440392,21.75,9.411429221961987,37.0,2,6,0.3333333333333333,1.1513013252453148
DurationResidual_lag1,0.035252365935192605,0.05704498944116995,22.25,10.581824039361079,34.0,1,6,0.16666666666666666,1.6181889620129486
TradesNorm,0.019904123201675054,0.015237433026620634,20.75,7.5349187122357195,26.0,1,6,0.16666666666666666,0.7655415348985737
AggSellNorm_lag5,0.015146239403857798,0.013074353534994573,22.583333333333332,7.459334197277038,35.0,1,6,0.16666666666666666,0.8632079017359577
AggBuyNorm_lag1,0.014571837988148885,0.019791628997879073,23.25,9.888124190158617,32.0,1,6,0.16666666666666666,1.3582108869159393
AggTotalNorm_lag1,0.014165729735697635,0.02727885186816165,26.583333333333332,13.610351452724013,37.0,1,6,0.16666666666666666,1.9256933724648826
QuantityNorm_lag2,0.012307227445575766,0.022155700533196994,25.0,12.856904759700136,38.5,1,6,0.16666666666666666,1.800218662665699
AggBalanceNorm_lag5,0.01027592552279761,0.012282056805021872,25.75,8.329165624478842,40.0,1,6,0.16666666666666666,1.195226335357683
AggSellNorm_lag4,0.005555259727193736,0.00975489356962217,28.5,8.694826047713663,38.5,1,6,0.16666666666666666,1.7559743465945736
AggTotalNorm_lag4,0.012269451546400906,0.01176738909177549,24.916666666666668,8.40485970535301,40.0,0,6,0.0,0.9590802854775778
TradesNorm_lag4,0.012169371637443539,0.010812217946805314,24.416666666666668,3.954954698434189,31.0,0,6,0.0,0.888477915617069
AggTotalNorm,0.011320639991271525,0.010146597019306184,23.916666666666668,4.652060475387941,30.0,0,6,0.0,0.8962918198202084
AggBuyNorm_lag5,0.006121796643136783,0.006797642421739858,28.916666666666668,4.363675820528682,37.0,0,6,0.0,1.1103999067595252
TradesNorm_lag5,0.005833028030322347,0.005692969609582312,29.583333333333332,4.176322145939735,34.0,0,6,0.0,0.9759887283222441
AggSellNorm_lag1,0.004104759715180711,0.0053387246016179234,31.5,7.321202087089251,42.0,0,6,0.0,1.3006180561248486
AggSellNorm_lag3,0.003850643109700484,0.0060003510057190105,31.166666666666668,5.715476066494082,38.5,0,6,0.0,1.5582724326237904
AggTotalNorm_lag5,0.003753592026593214,0.009194385167732801,30.833333333333332,8.75595035770913,40.0,0,6,0.0,2.4494897427831783
AggBuyNorm_lag3,0.0032249176674053665,0.005111285866844056,32.75,6.5402599336723615,40.0,0,6,0.0,1.584935305017068
QuantityNorm_lag5,0.002546338694192126,0.004166088880466664,33.166666666666664,6.377042156569664,39.0,0,6,0.0,1.6361094814169779
