fs,model,nfeat,auc,lo,hi,prec,base,folds,nf
BASE,logistic,42,0.5067037162293995,0.4839533581521257,0.5317425430180143,0.5694508537148131,0.5696428571428571,3,6
BASE,catboost,42,0.5356668433512403,0.5120319154284665,0.5609090225047939,0.5695067264573991,0.5696428571428571,6,6
EXTENDED,logistic,97,0.537375291041767,0.5122350814702711,0.5610664616797221,0.583547557840617,0.5696428571428571,5,6
EXTENDED,catboost,97,0.5198538450031868,0.4931656174051962,0.5438037408911193,0.5699316628701595,0.5696428571428571,5,6
PREVCMP,logistic,96,0.533245424628312,0.5089834298620355,0.556356688238357,0.5859649122807018,0.5696428571428571,5,6
PREVCMP,catboost,96,0.5110372305831241,0.4875987444275148,0.5345083834166422,0.5700416088765603,0.5696428571428571,4,6
EXTENDED+PREVCMP,logistic,193,0.5413141104853081,0.5168927333552766,0.5664528310150825,0.5903155603917302,0.5696428571428571,6,6
EXTENDED+PREVCMP,catboost,193,0.5427912693973647,0.5186222138775932,0.5660631321517879,0.5767269355586463,0.5696428571428571,6,6
STRUCT+AGG,logistic,41,0.5012999323612429,0.4780529835242263,0.5269828092031534,0.567895473635091,0.5696428571428571,3,6
STRUCT+AGG,catboost,41,0.5295838265326032,0.504508035667989,0.5518527321191193,0.5703953712632595,0.5696428571428571,5,6
STRUCT+VOL,logistic,28,0.5306341783842141,0.5061864440336531,0.5552724178717015,0.5798319327731093,0.5696428571428571,5,6
STRUCT+VOL,catboost,28,0.5078784518529117,0.48279512649256406,0.5330539390606351,0.5776426566884939,0.5696428571428571,4,6
