BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.4753472363355546,1
5609,2026-07-10 09:57:56.350,0,1,0.4986323077780775,-1
5612,2026-07-10 09:57:59.553,0,0,0.4948322056924305,1
5620,2026-07-10 09:58:09.196,0,0,0.5015710491230819,1
5622,2026-07-10 09:58:12.656,0,0,0.47274117364615065,-1
5628,2026-07-10 09:58:13.374,0,0,0.47241332906674144,-1
5630,2026-07-10 09:58:13.764,0,0,0.5129098110585677,1
5637,2026-07-10 09:58:20.723,0,1,0.5088546728047574,1
5651,2026-07-10 09:58:26.364,0,1,0.4529417848898189,-1
5658,2026-07-10 09:58:26.369,0,1,0.3955719928670066,1
5662,2026-07-10 09:58:26.401,0,0,0.4007348505947599,-1
5665,2026-07-10 09:58:26.403,0,1,0.39697381856346275,-1
5669,2026-07-10 09:58:26.404,0,1,0.44016009910609,1
5672,2026-07-10 09:58:26.412,0,1,0.3806704004909351,-1
5675,2026-07-10 09:58:26.413,0,0,0.3926517661585969,1
5679,2026-07-10 09:58:26.474,0,0,0.47716729103858735,1
5689,2026-07-10 09:58:27.434,0,1,0.46629717730624437,-1
5698,2026-07-10 09:58:52.739,0,1,0.47238801011607173,1
5702,2026-07-10 09:59:05.619,0,0,0.4420898067169963,-1
5707,2026-07-10 09:59:13.110,0,0,0.46953906125659123,1
5710,2026-07-10 10:00:01.521,0,1,0.4731148196388692,1
5716,2026-07-10 10:01:32.732,0,0,0.4850508050478185,-1
5719,2026-07-10 10:02:39.913,0,0,0.49587225631288656,-1
5723,2026-07-10 10:03:23.904,0,0,0.46443818191177794,-1
5725,2026-07-10 10:03:59.261,0,0,0.5024490427624843,1
5732,2026-07-10 10:04:43.027,0,1,0.471037770838742,1
5735,2026-07-10 10:06:06.496,0,0,0.480118844610327,-1
5737,2026-07-10 10:06:52.419,0,0,0.5010521150304414,1
5739,2026-07-10 10:08:02.943,0,1,0.46426127613855334,-1
5746,2026-07-10 10:09:44.482,0,0,0.5054423763300265,1
5748,2026-07-10 10:10:02.857,0,1,0.48842435144980206,-1
5752,2026-07-10 10:11:14.292,0,0,0.48126533693373275,1
5754,2026-07-10 10:12:01.043,0,0,0.4702832915637579,-1
5756,2026-07-10 10:12:51.299,0,0,0.4849041502295999,1
5761,2026-07-10 10:14:43.403,0,0,0.4456596653385976,1
5763,2026-07-10 10:15:01.414,0,0,0.4892759921258976,-1
5765,2026-07-10 10:15:37.642,0,0,0.4714707105090391,1
5767,2026-07-10 10:16:02.471,0,1,0.4900085195199018,-1
5772,2026-07-10 10:17:13.583,0,1,0.45130386249479354,1
5775,2026-07-10 10:18:01.301,0,1,0.49186945582323127,-1
5779,2026-07-10 10:18:45.393,0,0,0.5293199003582136,1
5783,2026-07-10 10:20:09.910,0,0,0.5268311880291168,1
5788,2026-07-10 10:21:45.505,0,1,0.599223131913252,1
5792,2026-07-10 10:22:20.666,0,0,0.4952005144087253,-1
5798,2026-07-10 10:25:05.713,0,0,0.4754391997893756,-1
5807,2026-07-10 10:26:05.970,0,1,0.45680767527871835,-1
5812,2026-07-10 10:27:26.448,0,0,0.45983180694931614,1
5814,2026-07-10 10:28:53.845,0,1,0.4629082944017717,-1
5817,2026-07-10 10:30:14.037,0,1,0.4952839851252175,1
5821,2026-07-10 10:31:50.602,0,0,0.47869721033487245,-1
5823,2026-07-10 10:32:09.890,0,0,0.4718649334837631,1
5827,2026-07-10 10:33:50.592,0,0,0.4611191573346909,-1
5830,2026-07-10 10:34:54.823,0,1,0.49761279303280664,-1
5834,2026-07-10 10:35:18.746,0,1,0.47686699469797006,1
5837,2026-07-10 10:36:08.387,0,0,0.4575966384328046,-1
5845,2026-07-10 10:38:03.507,0,0,0.45508042316885655,-1
5847,2026-07-10 10:38:59.346,0,1,0.3929107130247883,1
5850,2026-07-10 10:40:05.256,0,0,0.4466799805727308,-1
5852,2026-07-10 10:40:27.072,0,0,0.4687706978370154,1
5866,2026-07-10 10:45:16.717,0,0,0.5401129699710469,1
5868,2026-07-10 10:48:52.758,0,0,0.4338450860719644,-1
5878,2026-07-10 10:52:33.606,0,0,0.44284674817601155,-1
5880,2026-07-10 10:55:17.052,0,1,0.5243803043567989,1
5883,2026-07-10 10:56:06.257,0,0,0.4512633517878051,-1
5892,2026-07-10 11:02:27.844,0,1,0.47964893615766974,-1
5898,2026-07-10 11:07:23.548,0,1,0.5034477908798252,1
5901,2026-07-10 11:08:26.944,0,1,0.48342338483651,-1
5907,2026-07-10 11:10:58.146,0,0,0.5964513960354128,1
5910,2026-07-10 11:12:06.024,0,1,0.5273237625215389,1
5920,2026-07-10 11:18:48.729,0,1,0.48524232539838413,-1
5925,2026-07-10 11:23:21.423,0,1,0.49025903357912054,1
5933,2026-07-10 11:27:12.514,0,0,0.4737477541960021,-1
5935,2026-07-10 11:29:59.168,0,0,0.49725023720417005,1
5952,2026-07-10 11:33:07.629,0,0,0.4927069199401555,1
5962,2026-07-10 11:34:06.472,0,0,0.48811394658882695,-1
5968,2026-07-10 11:36:20.343,0,0,0.5004750788414124,-1
5973,2026-07-10 11:39:38.272,0,1,0.5135759653031169,1
5985,2026-07-10 11:53:10.945,0,1,0.4690054600585701,-1
6000,2026-07-10 12:12:47.917,0,0,0.47342691260896047,1
6003,2026-07-10 12:19:04.216,0,1,0.46833643796428603,1
6007,2026-07-10 12:26:38.806,0,1,0.5258871993246004,-1
6012,2026-07-10 12:37:15.650,0,1,0.5135114652014787,1
6015,2026-07-10 12:43:33.864,0,0,0.45059895312749326,-1
6019,2026-07-10 12:53:53.285,0,0,0.4326368292193882,-1
6031,2026-07-10 13:15:39.990,0,0,0.49053576000749816,-1
