BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.4936326270475876,1
5609,2026-07-10 09:57:56.350,0,1,0.46726724573408673,-1
5612,2026-07-10 09:57:59.553,0,0,0.48784514557120706,1
5620,2026-07-10 09:58:09.196,0,0,0.5366689878838184,1
5622,2026-07-10 09:58:12.656,0,0,0.4691027745268061,-1
5628,2026-07-10 09:58:13.374,0,0,0.4610825224586563,-1
5630,2026-07-10 09:58:13.764,0,0,0.4243819173414187,1
5637,2026-07-10 09:58:20.723,0,1,0.47279934314124594,1
5651,2026-07-10 09:58:26.364,0,1,0.42173015654060353,-1
5658,2026-07-10 09:58:26.369,0,1,0.4356124051073654,1
5662,2026-07-10 09:58:26.401,0,0,0.3718865954705483,-1
5665,2026-07-10 09:58:26.403,0,1,0.4091812728818439,-1
5669,2026-07-10 09:58:26.404,0,1,0.42117645982657387,1
5672,2026-07-10 09:58:26.412,0,1,0.4026838181896008,-1
5675,2026-07-10 09:58:26.413,0,0,0.4394870883509982,1
5679,2026-07-10 09:58:26.474,0,0,0.4310165843927568,1
5689,2026-07-10 09:58:27.434,0,1,0.4273191660239434,-1
5698,2026-07-10 09:58:52.739,0,1,0.4451658475982188,1
5702,2026-07-10 09:59:05.619,0,0,0.45104519787789477,-1
5707,2026-07-10 09:59:13.110,0,0,0.4931451604382921,1
5710,2026-07-10 10:00:01.521,0,1,0.4248095240327834,1
5716,2026-07-10 10:01:32.732,0,0,0.45287606841808326,-1
5719,2026-07-10 10:02:39.913,0,0,0.43795473320927714,-1
5723,2026-07-10 10:03:23.904,0,0,0.5065586114472227,-1
5725,2026-07-10 10:03:59.261,0,0,0.5032494853628616,1
5732,2026-07-10 10:04:43.027,0,1,0.48218112652369044,1
5735,2026-07-10 10:06:06.496,0,0,0.4759206628769106,-1
5737,2026-07-10 10:06:52.419,0,0,0.466178258756091,1
5739,2026-07-10 10:08:02.943,0,1,0.5134381477258159,-1
5746,2026-07-10 10:09:44.482,0,0,0.49015592394167024,1
5748,2026-07-10 10:10:02.857,0,1,0.5128636150792287,-1
