BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.48195041576974024,1
5609,2026-07-10 09:57:56.350,0,1,0.4850843675561743,-1
5612,2026-07-10 09:57:59.553,0,0,0.5242812721961769,1
5620,2026-07-10 09:58:09.196,0,0,0.48439374803666746,1
5628,2026-07-10 09:58:13.374,0,0,0.40964223129032146,-1
5637,2026-07-10 09:58:20.723,0,1,0.49195538121678967,1
5651,2026-07-10 09:58:26.364,0,1,0.21908956789193673,-1
5658,2026-07-10 09:58:26.369,0,1,0.7076867870360479,1
5662,2026-07-10 09:58:26.401,0,0,0.3223716648562869,-1
5669,2026-07-10 09:58:26.404,0,1,0.4892103728879691,1
5672,2026-07-10 09:58:26.412,0,1,0.3100355393858034,-1
5675,2026-07-10 09:58:26.413,0,0,0.6467510506799857,1
5679,2026-07-10 09:58:26.474,0,0,0.5267068551085358,1
5698,2026-07-10 09:58:52.739,0,1,0.5037759358626327,1
5702,2026-07-10 09:59:05.619,0,0,0.2103477033575344,-1
5707,2026-07-10 09:59:13.110,0,0,0.4953067484361441,1
5716,2026-07-10 10:01:32.732,0,0,0.4454446877465541,-1
5723,2026-07-10 10:03:23.904,0,0,0.47364827597326825,-1
5732,2026-07-10 10:04:43.027,0,1,0.5171467641833277,1
5735,2026-07-10 10:06:06.496,0,0,0.47074885372940567,-1
5746,2026-07-10 10:09:44.482,0,0,0.4213371760676021,1
5752,2026-07-10 10:11:14.292,0,0,0.4920569226533215,1
5772,2026-07-10 10:17:13.583,0,1,0.4424432666284726,1
5775,2026-07-10 10:18:01.301,0,1,0.4203801513968433,-1
5779,2026-07-10 10:18:45.393,0,0,0.5077736233432698,1
5783,2026-07-10 10:20:09.910,0,0,0.6153853311649403,1
5788,2026-07-10 10:21:45.505,0,1,0.5507348413420619,1
5792,2026-07-10 10:22:20.666,0,0,0.5185786199840124,-1
5798,2026-07-10 10:25:05.713,0,0,0.43690048200285103,-1
5807,2026-07-10 10:26:05.970,0,1,0.49613476386303956,-1
5812,2026-07-10 10:27:26.448,0,0,0.44373190202877205,1
5817,2026-07-10 10:30:14.037,0,1,0.526578786017139,1
5821,2026-07-10 10:31:50.602,0,0,0.47037140697821,-1
5834,2026-07-10 10:35:18.746,0,1,0.47063891611490544,1
5837,2026-07-10 10:36:08.387,0,0,0.43228388107673155,-1
5845,2026-07-10 10:38:03.507,0,0,0.5298011414038987,-1
5850,2026-07-10 10:40:05.256,0,0,0.43182731061901436,-1
5866,2026-07-10 10:45:16.717,0,0,0.48081825780448345,1
5878,2026-07-10 10:52:33.606,0,0,0.5347127968623149,-1
5883,2026-07-10 10:56:06.257,0,0,0.49430107141247315,-1
5892,2026-07-10 11:02:27.844,0,1,0.499089608808128,-1
5898,2026-07-10 11:07:23.548,0,1,0.5844568189865296,1
5901,2026-07-10 11:08:26.944,0,1,0.4988717532919624,-1
