BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.5636049591298659,1
5609,2026-07-10 09:57:56.350,0,1,0.5079765419911079,-1
5612,2026-07-10 09:57:59.553,0,0,0.5058264296596534,1
5620,2026-07-10 09:58:09.196,0,0,0.5244078719169986,1
5628,2026-07-10 09:58:13.374,0,0,0.496315308940959,-1
5637,2026-07-10 09:58:20.723,0,1,0.5253093809049425,1
5651,2026-07-10 09:58:26.364,0,1,0.5166237434534011,-1
5658,2026-07-10 09:58:26.369,0,1,0.6306854388862563,1
5662,2026-07-10 09:58:26.401,0,0,0.5051870187760632,-1
5669,2026-07-10 09:58:26.404,0,1,0.5253829089811597,1
5672,2026-07-10 09:58:26.412,0,1,0.4927265620369088,-1
5675,2026-07-10 09:58:26.413,0,0,0.5256393885213135,1
5679,2026-07-10 09:58:26.474,0,0,0.5258783105893013,1
5698,2026-07-10 09:58:52.739,0,1,0.5142416631773647,1
5702,2026-07-10 09:59:05.619,0,0,0.4669973962484432,-1
5707,2026-07-10 09:59:13.110,0,0,0.5354967299586673,1
5716,2026-07-10 10:01:32.732,0,0,0.47167017576697606,-1
5723,2026-07-10 10:03:23.904,0,0,0.4444478631880745,-1
5732,2026-07-10 10:04:43.027,0,1,0.5004933602801893,1
5735,2026-07-10 10:06:06.496,0,0,0.5045023213519576,-1
5746,2026-07-10 10:09:44.482,0,0,0.519035819297458,1
5752,2026-07-10 10:11:14.292,0,0,0.5155604893608183,1
5772,2026-07-10 10:17:13.583,0,1,0.5727764785985727,1
5775,2026-07-10 10:18:01.301,0,1,0.48843473595739645,-1
5779,2026-07-10 10:18:45.393,0,0,0.4820146694367376,1
5783,2026-07-10 10:20:09.910,0,0,0.5110880678636186,1
5788,2026-07-10 10:21:45.505,0,1,0.4893960647544183,1
5792,2026-07-10 10:22:20.666,0,0,0.5105938722071421,-1
5798,2026-07-10 10:25:05.713,0,0,0.437208651647613,-1
5807,2026-07-10 10:26:05.970,0,1,0.49179751264811394,-1
5812,2026-07-10 10:27:26.448,0,0,0.5926710351768044,1
5817,2026-07-10 10:30:14.037,0,1,0.5266254812583867,1
5821,2026-07-10 10:31:50.602,0,0,0.46847180102380304,-1
5834,2026-07-10 10:35:18.746,0,1,0.4975403891420326,1
5837,2026-07-10 10:36:08.387,0,0,0.47694731109253485,-1
5845,2026-07-10 10:38:03.507,0,0,0.45652707209109544,-1
5850,2026-07-10 10:40:05.256,0,0,0.5082612646132935,-1
5866,2026-07-10 10:45:16.717,0,0,0.5292990942443984,1
5878,2026-07-10 10:52:33.606,0,0,0.5031457932592305,-1
5883,2026-07-10 10:56:06.257,0,0,0.45934094491322747,-1
5892,2026-07-10 11:02:27.844,0,1,0.5053181657925149,-1
5898,2026-07-10 11:07:23.548,0,1,0.49542195065519323,1
5901,2026-07-10 11:08:26.944,0,1,0.4807521246585915,-1
5907,2026-07-10 11:10:58.146,0,0,0.4942111395596242,1
5920,2026-07-10 11:18:48.729,0,1,0.5051193276060414,-1
5925,2026-07-10 11:23:21.423,0,1,0.549425743495854,1
5933,2026-07-10 11:27:12.514,0,0,0.4869252837222891,-1
5952,2026-07-10 11:33:07.629,0,0,0.4834507520950915,1
5962,2026-07-10 11:34:06.472,0,0,0.470176144590596,-1
5968,2026-07-10 11:36:20.343,0,0,0.45465619630909554,-1
5973,2026-07-10 11:39:38.272,0,1,0.5208725790594869,1
5985,2026-07-10 11:53:10.945,0,1,0.4645864979914887,-1
6000,2026-07-10 12:12:47.917,0,0,0.5368451217903465,1
6007,2026-07-10 12:26:38.806,0,1,0.5094721840107285,-1
6012,2026-07-10 12:37:15.650,0,1,0.47787071932224456,1
