BarIndex,Date,fold,y,prob,side
5605,2026-07-10 09:57:52.973,0,1,0.3032997061758395,1
5609,2026-07-10 09:57:56.350,0,0,0.266642785044576,-1
5612,2026-07-10 09:57:59.553,0,0,0.3291014730504935,1
5620,2026-07-10 09:58:09.196,0,0,0.337961580707499,1
5628,2026-07-10 09:58:13.374,0,0,0.26793054104085623,-1
5637,2026-07-10 09:58:20.723,0,1,0.2844171939684596,1
5651,2026-07-10 09:58:26.364,0,1,0.2785581909914953,-1
5658,2026-07-10 09:58:26.369,0,1,0.3425981816029832,1
5662,2026-07-10 09:58:26.401,0,0,0.2777824919148784,-1
5669,2026-07-10 09:58:26.404,0,0,0.34259972681426076,1
5672,2026-07-10 09:58:26.412,0,0,0.2777892841970811,-1
5675,2026-07-10 09:58:26.413,0,0,0.3425997488003809,1
5679,2026-07-10 09:58:26.474,0,0,0.3424268753781729,1
5698,2026-07-10 09:58:52.739,0,1,0.2963158196290542,1
5702,2026-07-10 09:59:05.619,0,0,0.2665120115841488,-1
5707,2026-07-10 09:59:13.110,0,0,0.3407637504421551,1
5716,2026-07-10 10:01:32.732,0,0,0.3127208951475535,-1
5723,2026-07-10 10:03:23.904,0,0,0.30699212758249966,-1
5732,2026-07-10 10:04:43.027,0,0,0.3511384529160502,1
5735,2026-07-10 10:06:06.496,0,0,0.2756202228561957,-1
5746,2026-07-10 10:09:44.482,0,0,0.356568471781002,1
5752,2026-07-10 10:11:14.292,0,0,0.35010330687064223,1
5772,2026-07-10 10:17:13.583,0,0,0.3478701273654085,1
5775,2026-07-10 10:18:01.301,0,1,0.2951550998117704,-1
5779,2026-07-10 10:18:45.393,0,0,0.35136204001266214,1
5783,2026-07-10 10:20:09.910,0,0,0.34112523883350926,1
5788,2026-07-10 10:21:45.505,0,1,0.34128036390611327,1
5792,2026-07-10 10:22:20.666,0,0,0.2801207731477566,-1
5798,2026-07-10 10:25:05.713,0,0,0.2959213171978357,-1
5807,2026-07-10 10:26:05.970,0,1,0.3031729600073418,-1
5812,2026-07-10 10:27:26.448,0,0,0.34499975956500295,1
5817,2026-07-10 10:30:14.037,0,1,0.3805110844069293,1
5821,2026-07-10 10:31:50.602,0,0,0.3354532124966669,-1
5834,2026-07-10 10:35:18.746,0,0,0.3570168959035919,1
5837,2026-07-10 10:36:08.387,0,0,0.2910272183573983,-1
5845,2026-07-10 10:38:03.507,0,0,0.28535157585036397,-1
5850,2026-07-10 10:40:05.256,0,0,0.28866279346771206,-1
5866,2026-07-10 10:45:16.717,0,0,0.3380839992760274,1
5878,2026-07-10 10:52:33.606,0,0,0.27229204084764413,-1
5883,2026-07-10 10:56:06.257,0,0,0.31489485996569355,-1
5892,2026-07-10 11:02:27.844,0,1,0.2845969609388314,-1
5898,2026-07-10 11:07:23.548,0,0,0.3525404238068944,1
5901,2026-07-10 11:08:26.944,0,1,0.29337056097327685,-1
5907,2026-07-10 11:10:58.146,0,0,0.34497406800839125,1
5920,2026-07-10 11:18:48.729,0,1,0.2731328788065314,-1
5925,2026-07-10 11:23:21.423,0,1,0.36961771345310757,1
5933,2026-07-10 11:27:12.514,0,0,0.2791352985697621,-1
5952,2026-07-10 11:33:07.629,0,0,0.365215638077781,1
5962,2026-07-10 11:34:06.472,0,0,0.28742244540489253,-1
5968,2026-07-10 11:36:20.343,0,0,0.2648188098045499,-1
5973,2026-07-10 11:39:38.272,0,1,0.345419653405312,1
5985,2026-07-10 11:53:10.945,0,1,0.2798205281663257,-1
6000,2026-07-10 12:12:47.917,0,0,0.3524651272251142,1
6007,2026-07-10 12:26:38.806,0,1,0.28532766030374224,-1
6012,2026-07-10 12:37:15.650,0,0,0.35886434435674003,1
6015,2026-07-10 12:43:33.864,0,0,0.29751595176441803,-1
6019,2026-07-10 12:53:53.285,0,0,0.2893084015062244,-1
6031,2026-07-10 13:15:39.990,0,0,0.3351591044125278,-1
6038,2026-07-10 13:29:50.049,0,0,0.30452249381453655,-1
6046,2026-07-10 13:50:36.566,0,0,0.3016103922470049,-1
6049,2026-07-10 14:01:21.326,0,0,0.38240591786241457,1
6054,2026-07-10 14:19:43.196,0,0,0.38737485381925346,1
6057,2026-07-10 14:41:40.786,0,0,0.2999083119008053,-1
6060,2026-07-10 14:58:31.792,0,1,0.35499113320071324,1
6068,2026-07-10 15:06:04.906,0,0,0.2935674064367198,-1
6076,2026-07-10 15:17:31.266,0,1,0.33952338228381856,-1
6084,2026-07-10 15:52:32.965,0,0,0.4425089210637437,1
6092,2026-07-10 16:05:57.848,0,0,0.3690782843055427,-1
6103,2026-07-10 17:00:35.191,0,0,0.3914392928623228,-1
6111,2026-07-10 17:11:51.660,0,0,0.3611471795631155,-1
6119,2026-07-10 17:50:39.132,0,0,0.33076369847184645,-1
6123,2026-07-10 18:05:46.183,0,0,0.37549337627552976,-1
6151,2026-07-13 09:03:11.909,0,1,0.3292820195833328,1
6161,2026-07-13 09:03:20.727,0,1,0.26829364204017103,-1
6166,2026-07-13 09:03:22.242,0,1,0.3324049824684449,1
6171,2026-07-13 09:03:26.192,0,0,0.2765404320067009,-1
6178,2026-07-13 09:03:37.093,0,1,0.257794950586109,-1
