index;date;pivot;entry;body;range;upper_wick;lower_wick;upper_wick_ratio;lower_wick_ratio;quantity;trades;duration;run_length;prev_quantity;prev_trades;prev_duration;future_move;adverse_move;net_move;quantity_percentile;trades_percentile;wick_imbalance;quantity_q;trades_q;wick_q
8;2026-06-23 09:03:05.126;HIGH;172200;50;105;55;0;0,5238095238095238;0,0;2988;698;0,01;2;321;13;0,0;40;350;-310;0,4438623645672104;0,4708298606977021;-55;1;1;1
13;2026-06-23 09:03:10.842;HIGH;172350;50;150;100;0;0,6666666666666666;0,0;6434;1426;0,03;4;1995;352;0,0;75;335;-260;0,4770806048339088;0,5501845457792595;-100;1;2;0
15;2026-06-23 09:03:13.112;LOW;172400;50;125;0;75;0,0;0,6;834;71;0,0;2;1732;286;0,0;285;75;210;0,4039766638885582;0,39111799023693294;75;1;1;2
21;2026-06-23 09:03:21.145;HIGH;172550;50;135;85;0;0,6296296296296297;0,0;7129;1359;0,04;6;3271;792;0,02;200;90;110;0,48172401476366233;0,5429217764019526;-85;1;2;0
23;2026-06-23 09:03:23.634;LOW;172600;50;130;0;80;0,0;0,6153846153846154;2590;394;0,0;2;727;44;0,0;40;280;-240;0,4379092749136802;0,4412430051196571;80;1;1;3
27;2026-06-23 09:03:24.672;LOW;172500;50;125;0;75;0,0;0,6;10398;1781;0,06;3;2239;425;0,0;55;350;-295;0,510656030479819;0,5918561733539707;75;2;2;2
29;2026-06-23 09:03:28.475;HIGH;172450;50;105;55;0;0,5238095238095238;0,0;5501;1278;0,06;2;480;70;0,0;400;15;385;0,4681509703536135;0,5348255744731516;-55;1;2;1
32;2026-06-23 09:03:33.491;LOW;172450;50;130;0;80;0,0;0,6153846153846154;2236;374;0,0;3;720;53;0,0;5;550;-545;0,43278961781164427;0,4392784855339921;80;1;1;3
44;2026-06-23 09:04:00.134;LOW;171950;50;135;0;85;0,0;0,6296296296296297;2143;324;0,0;11;1835;274;0,0;90;170;-80;0,4314799380878676;0,4338016430527444;85;1;1;3
46;2026-06-23 09:04:00.278;HIGH;171900;50;140;90;0;0,6428571428571429;0,0;295;56;0,0;2;177;18;0,0;120;55;65;0,36861531134658887;0,3808786760328611;-90;1;1;0
48;2026-06-23 09:04:00.384;LOW;171950;50;140;0;90;0,0;0,6428571428571429;469;88;0,0;2;427;145;0,0;5;175;-170;0,3851649005834028;0,3978449815454221;90;1;1;3
51;2026-06-23 09:04:00.514;LOW;171900;50;120;0;70;0,0;0,5833333333333334;304;27;0,0;2;1238;206;0,0;35;125;-90;0,3697463983807596;0,33414692225264914;70;1;1;2
66;2026-06-23 09:04:00.694;LOW;171850;50;145;0;95;0,0;0,6551724137931034;3265;665;0,0;2;673;112;0,0;310;0;310;0,44683890939397547;0,4666031670436957;95;1;1;3
73;2026-06-23 09:04:01.153;HIGH;172050;50;110;60;0;0,5454545454545454;0,0;133;19;0,0;7;589;19;0,0;75;150;-75;0,3360519109417788;0,2975949517799738;-60;1;1;1
75;2026-06-23 09:04:01.158;LOW;172100;50;110;0;60;0,0;0,5454545454545454;21;5;0,0;2;198;50;0,0;200;125;75;0,18472437194904157;0,1335873318252173;60;0;0;2
79;2026-06-23 09:04:01.307;HIGH;172050;50;115;65;0;0,5652173913043478;0,0;647;166;0,0;2;280;90;0,0;70;305;-235;0,3957614001666865;0,4131444219549946;-65;1;1;1
81;2026-06-23 09:04:01.539;LOW;172100;50;120;0;70;0,0;0,5833333333333334;588;192;0,0;2;887;189;0,0;255;0;255;0,392308608167639;0,41689486843671864;70;1;1;2
