lado;j;i;dt;dia;score;cDiv;cAbs;cClx;cFlip;cCmp;cPav;y;bars
-1;56;57;2026-06-29 10:04:46.832;2026-06-29;7,554979233203985;0,0;0,0;0,1158249383171375;0,492668681832368;0,4080231083689861;0,0;0,0;1,0
-1;57;58;2026-06-29 10:05:01.296;2026-06-29;23,943427002272415;0,0;0,02120853837570409;0,4471071180959937;0,0;0,0;1,0;1,0;2,0
1;58;59;2026-06-29 10:07:27.264;2026-06-29;29,724097742165323;0,0;0,18896390968661297;0,5;0,0;0,0;1,0;0,0;2,0
-1;59;60;2026-06-29 10:09:41.134;2026-06-29;48,305854992657686;1,0;0,05194837138907442;0,40023819026436086;0,7309154422101608;0,0;1,0;0,0;3,0
1;61;62;2026-06-29 10:09:58.102;2026-06-29;13,773246495927001;0,0;0,0;0,1878579846162933;0,45490387918550457;0,8137506957438201;0,0;1,0;3,0
1;62;63;2026-06-29 10:10:36.689;2026-06-29;32,371972981569584;0,6;0,1268295407187205;0,21233642627698976;0,6415486298262295;0,0008012423591204472;0,7823129251700681;1,0;3,0
-1;70;71;2026-06-29 10:13:03.971;2026-06-29;36,40477700676472;0,6;0,0;0,38015923355882386;0,5111888459834442;0,0;1,0;1,0;3,0
1;78;79;2026-06-29 10:15:03.561;2026-06-29;6,699041418375476;0,0;0,0;0,14823888618748643;0,38506330158460406;0,22518748327508836;0,0;0,0;1,0
1;79;80;2026-06-29 10:16:01.599;2026-06-29;19,637958851088083;0,0;0,16067692060645858;0,23931591314560585;0,0;0,0;0,8441558441558441;1,0;2,0
-1;80;81;2026-06-29 10:16:54.102;2026-06-29;32,96207120943641;0,35;0,1592173539580078;0,34105457868287375;0,0;0,0;1,0;1,0;4,0
-1;82;83;2026-06-29 10:17:31.334;2026-06-29;14,758406097929402;0,35;0,0;0,19057489401232564;0,0;0,029115927755963195;0,0;1,0;5,0
-1;83;84;2026-06-29 10:18:01.876;2026-06-29;23,53536780921781;0,0;0,20361364528924267;0,2973739051059073;0,7660703442069414;0,0;0,9523809523809526;0,0;1,0
1;85;86;2026-06-29 10:20:47.893;2026-06-29;55,19604814397067;1,0;0,207841925758827;0,5;0,3352714020657771;0,0;1,0;0,0;2,0
-1;86;87;2026-06-29 10:21:49.808;2026-06-29;35,280819572300935;0,35;0,22932411547063433;0,3599238895178359;1,0;0,0;1,0;1,0;3,0
1;90;91;2026-06-29 10:22:19.505;2026-06-29;4,408823738331055;0,0;0,0;0,06750540614886964;0,5305657034217329;0,2383661553864966;0,0;0,0;3,0
1;91;92;2026-06-29 10:23:05.191;2026-06-29;35,01707035248999;0,6;0,0;0,33390234508299965;0,5537917210057333;0,0;1,0;0,0;1,0
-1;92;93;2026-06-29 10:23:28.666;2026-06-29;13,870159523613587;0,35;0,0;0,14293653960152708;0,31080637248988846;0,08320633355677762;0,0;1,0;3,0
-1;93;94;2026-06-29 10:25:07.574;2026-06-29;32,40014137449937;0,35;0,22209062891268064;0,28580220426242753;0,455379496184519;0,0;0,9523809523809526;0,0;5,0
1;97;98;2026-06-29 10:27:00.836;2026-06-29;25,85566487965481;0,0;0,07544285398920872;0,4656531176641531;0,8618585996776743;0,0;1,0;0,0;5,0
-1;100;101;2026-06-29 10:28:20.341;2026-06-29;36,34242454908019;0,35;0,12018769695518172;0,4862577375066883;0,0;0,0;1,0;1,0;2,0
1;101;102;2026-06-29 10:28:32.131;2026-06-29;24,436460692699157;0,35;0,027352653521620772;0,2326224477935837;0,0;0,020084166915044718;0,7823129251700681;0,0;2,0
1;113;114;2026-06-29 10:30:38.311;2026-06-29;6,936835625378153;0,0;0,0;0,13531963140221598;0,871443646186832;0,2877246683311674;0,0;0,0;3,0
1;114;115;2026-06-29 10:30:46.035;2026-06-29;31,47831370370531;0,6;0,0;0,2816931259633441;1,0;0,020439067310430582;0,7823129251700681;0,0;1,0
