dt;barra;lado;close;ok
2026-06-30 09:05:31.402;431;compra;176050,0;0
2026-06-30 10:34:28.922;719;venda;173400,0;0
2026-06-30 10:42:22.549;738;venda;173250,0;1
2026-07-01 09:47:54.680;1391;venda;172400,0;0
2026-07-01 11:16:37.073;1682;compra;174400,0;0
2026-07-01 11:19:18.383;1687;compra;174350,0;0
2026-07-01 12:51:00.697;1789;compra;174350,0;1
2026-07-01 12:58:51.219;1797;compra;174350,0;1
2026-07-01 13:26:39.791;1804;compra;174400,0;1
2026-07-01 13:55:38.834;1816;compra;174400,0;1
2026-07-01 14:18:04.638;1825;compra;174550,0;0
2026-07-01 14:32:17.016;1830;compra;174500,0;0
2026-07-01 16:13:21.699;1883;compra;174350,0;1
2026-07-01 16:34:45.509;1892;compra;174300,0;1
2026-07-01 16:57:15.262;1900;compra;174300,0;0
2026-07-01 17:21:41.740;1910;compra;174300,0;1
2026-07-02 09:26:59.791;2048;compra;174900,0;1
2026-07-02 09:30:15.070;2168;compra;175300,0;0
2026-07-02 09:30:17.109;2174;compra;175300,0;1
2026-07-02 09:31:24.056;2190;compra;175700,0;1
2026-07-02 09:33:23.150;2205;compra;175950,0;1
2026-07-02 09:35:33.195;2212;compra;176100,0;1
2026-07-02 09:41:20.532;2227;compra;176450,0;1
2026-07-02 09:44:01.455;2239;compra;176350,0;0
2026-07-02 10:40:17.711;2433;compra;176450,0;1
2026-07-02 10:42:00.424;2441;compra;176550,0;0
2026-07-02 10:43:00.946;2448;compra;176500,0;0
2026-07-02 10:46:17.451;2464;compra;176900,0;1
2026-07-02 10:48:36.601;2473;compra;176950,0;0
2026-07-03 09:08:01.937;2900;compra;176400,0;1
2026-07-03 09:20:15.276;2944;compra;176500,0;1
2026-07-03 09:24:06.858;2949;compra;176550,0;1
2026-07-03 09:30:45.888;2960;compra;176600,0;0
2026-07-03 09:53:23.529;2993;compra;176650,0;0
2026-07-03 11:45:18.099;3185;compra;176650,0;0
2026-07-03 12:30:34.299;3198;compra;176900,0;1
2026-07-03 13:30:50.213;3210;compra;177000,0;0
2026-07-06 09:07:08.716;3339;venda;175400,0;0
2026-07-06 10:03:13.288;3432;venda;174850,0;0
2026-07-06 11:11:46.628;3612;venda;174150,0;0
2026-07-07 09:08:36.835;3799;compra;175450,0;0
2026-07-07 09:11:56.667;3807;compra;175450,0;1
2026-07-07 09:16:34.970;3816;compra;175500,0;0
2026-07-07 10:42:49.954;4003;compra;175550,0;1
2026-07-07 10:44:54.776;4010;compra;175600,0;1
2026-07-08 09:02:42.723;4390;compra;173400,0;0
2026-07-08 09:04:02.135;4407;compra;173450,0;1
2026-07-08 09:04:33.477;4412;compra;173500,0;1
2026-07-08 09:06:20.494;4422;compra;173700,0;0
2026-07-08 09:32:27.823;4479;compra;173750,0;0
2026-07-08 09:46:55.525;4485;compra;173650,0;0
2026-07-09 09:06:59.068;5002;compra;173300,0;1
2026-07-09 09:20:53.890;5038;compra;173700,0;1
2026-07-09 09:26:28.776;5045;compra;173750,0;0
2026-07-09 09:30:06.692;5052;compra;173700,0;0
2026-07-09 09:33:01.499;5059;compra;173650,0;0
2026-07-09 11:07:14.642;5218;compra;173800,0;1
2026-07-09 11:21:12.872;5246;compra;173900,0;1
2026-07-09 11:26:59.479;5263;compra;174250,0;1
2026-07-09 11:33:15.725;5269;compra;174350,0;0
2026-07-09 11:38:16.974;5275;compra;174250,0;0
2026-07-09 12:02:17.755;5289;compra;174450,0;1
2026-07-09 13:39:58.083;5324;compra;174500,0;0
2026-07-09 15:04:27.043;5340;compra;174800,0;0
2026-07-09 16:34:53.300;5352;compra;174900,0;1
2026-07-10 09:05:33.217;5455;compra;176750,0;1
2026-07-10 09:07:00.218;5463;compra;176850,0;1
2026-07-10 09:14:31.402;5488;compra;177500,0;1
2026-07-10 09:16:17.217;5499;compra;177350,0;1
2026-07-10 09:26:21.707;5518;compra;177800,0;0
2026-07-10 09:29:59.752;5524;compra;177600,0;1
2026-07-10 09:36:50.394;5533;compra;177650,0;1
2026-07-10 09:41:21.818;5539;compra;177750,0;1
2026-07-10 09:47:52.579;5548;compra;177900,0;1
