dt;o;h;l;c;agb;ags;dur;qt;trd;dirn;is_rev;seq_before;wick;wick_net;trav;brk;newday;sujo;ok;dur_eff;agtot;unk_share;avg_trd;hora;dpos;minac;elig_ntsl;sinal;y;bars
2026-06-29 10:31:29.744;175600,0;175675,0;175550,0;175550,0;11871,0;12855,0;0,3;34251,0;10246,0;-1;1;4;15,0;5,0;25,0;0;0;0;1;0,3;24726,0;0,2780940702461242;3,3428655084911183;10,516666666666667;0,37258687258687256;65,66;1;1;1,0;3,0
2026-06-29 10:39:29.287;175200,0;175255,0;175150,0;175150,0;1727,0;3707,0;0,07;7256,0;2313,0;-1;1;4;11,0;1,0;21,0;0;0;0;1;0,07;5434,0;0,25110253583241454;3,137051448335495;10,65;0,4;73,47999999999996;1;1;0,0;3,0
2026-06-30 10:09:38.999;174150,0;174245,0;174100,0;174100,0;11311,0;12138,0;0,35;32487,0;11703,0;-1;1;5;19,0;9,0;29,0;0;0;0;1;0,35;23449,0;0,2782035891279589;2,7759548833632404;10,15;0,3869565217391304;64,39;1;1;0,0;1,0
2026-06-30 10:20:14.435;173900,0;173970,0;173850,0;173850,0;6837,0;8899,0;0,33;22709,0;8432,0;-1;1;7;14,0;4,0;24,0;0;0;0;1;0,33;15736,0;0,30705887533577;2,6931925996204935;10,333333333333334;0,37404580152671757;74,72999999999996;1;1;0,0;5,0
2026-06-30 10:23:09.180;173900,0;173970,0;173850,0;173850,0;8972,0;9189,0;0,6;24369,0;8218,0;-1;1;3;14,0;4,0;24,0;0;0;0;1;0,6;18161,0;0,25474988715170915;2,965320029204186;10,383333333333333;0,37404580152671757;77,59999999999995;1;1;1,0;3,0
2026-06-30 10:24:50.094;173800,0;173855,0;173750,0;173750,0;4229,0;6265,0;0,23;14645,0;4377,0;-1;1;3;11,0;1,0;21,0;0;0;0;1;0,23;10494,0;0,2834414475930352;3,345899017591958;10,4;0,4122137404580153;79,23999999999995;1;1;0,0;3,0
2026-06-30 10:27:13.167;173850,0;173915,0;173800,0;173800,0;8726,0;11665,0;0,58;27537,0;8578,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,58;20391,0;0,2595053927443077;3,2101888552110047;10,45;0,3931297709923664;81,58999999999996;1;1;1,0;3,0
2026-06-30 10:31:34.970;173800,0;173860,0;173750,0;173750,0;4106,0;6151,0;0,23;12956,0;3898,0;-1;1;6;12,0;2,0;22,0;0;0;0;1;0,23;10257,0;0,20832046928064218;3,323755772190867;10,516666666666667;0,3951310861423221;85,84999999999995;1;1;0,0;5,0
2026-06-30 10:32:55.183;173800,0;173855,0;173750,0;173750,0;1336,0;3705,0;0,08;6412,0;2351,0;-1;1;3;11,0;1,0;21,0;0;0;0;1;0,08;5041,0;0,21381784154709918;2,7273500638026373;10,533333333333333;0,3951310861423221;87,14999999999993;1;1;1,0;3,0
2026-06-30 10:42:22.549;173300,0;173365,0;173250,0;173250,0;3771,0;6785,0;0,22;14819,0;4638,0;-1;1;3;13,0;3,0;23,0;0;0;0;1;0,22;10556,0;0,2876712328767123;3,195127210004312;10,7;0,45222405271828664;96,38999999999992;1;1;1,0;3,0
2026-06-30 10:46:25.494;173550,0;173620,0;173500,0;173500,0;12342,0;14598,0;0,42;36275,0;11284,0;-1;1;10;14,0;4,0;24,0;0;0;0;1;0,42;26940,0;0,2573397656788422;3,2147288195675294;10,766666666666667;0,3475120385232745;100,30999999999992;1;1;0,0;1,0
