feature;media_sucesso;media_falha;mediana_sucesso;mediana_falha;diff_media_%;diff_mediana_%;n_sucesso;n_falha
wick_dn;38,31012733547543;37,78046009656347;55,0;0,0;1,4019607954592226;5500000000000,0;8403;3521
wick_up;38,2208734975604;37,911104799772794;0,0;55,0;0,8170922462309496;-99,99999999818182;8403;3521
duracao;84318,91712602644;56321,35166145981;1,62;1,02;49,71039337417857;58,82352935409458;8403;3521
bricks_ant;3,962275377841247;3,264981539335416;3,0;2,0;21,356746734751745;49,999999974999994;8403;3521
wick_ant;36,52106641275887;41,56773643851179;25,0;45,0;-12,140834353818354;-44,444444443456796;8402;3521
neg_ant;1557,4397762437516;1645,420619142289;362,0;560,0;-5,347012300377392;-35,35714285707972;8402;3521
vol_ant;16267,241014044275;17266,23146833286;5039,0;7252,0;-5,7858048302012195;-30,515719801429874;8402;3521
vol;21797,438176841602;23818,576256745244;8802,0;12417,0;-8,48555370445866;-29,113312394295793;8403;3521
negocios;2139,0974651910033;2344,10337972167;944,0;1268,0;-8,745600399028518;-25,552050473165966;8403;3521
vol_rel;1,5420855949643926;1,3410735089912014;1,1519446777038862;1,0735811036713745;14,988893932780018;7,299269118237597;8402;3521
neg_rel;1,589359213391084;1,4056608584917105;1,25;1,1707397622192866;13,06846908761472;6,770098724823745;8402;3521
wick_tot;76,53100083303582;75,69156489633627;75,0;75,0;1,1090217751979465;0,0;8403;3521
body;50,0;50,0;50,0;50,0;0,0;0,0;8403;3521
