Data;tipo;dir;preco_virada;bricks_anteriores;bricks_novos;cont_apos_2;len_seq;next_len;price_move_seq;Quantity;Trades
2026-06-23 09:03:04.752;Pivô de Baixa → Alta (compra);1;172250;0;2;0;2;2;50;56447;130
2026-06-23 09:03:04.792;Pivô de Alta → Baixa (venda);-1;172200;2;2;0;2;1;50;1014;133
2026-06-23 09:03:05.092;Pivô de Baixa → Alta (compra);1;172250;1;2;0;2;1;50;333;65
2026-06-23 09:03:05.916;Pivô de Baixa → Alta (compra);1;172300;1;4;2;4;2;150;3509;595
2026-06-23 09:03:10.842;Pivô de Alta → Baixa (venda);-1;172350;4;2;0;2;6;50;6434;1426
2026-06-23 09:03:13.112;Pivô de Baixa → Alta (compra);1;172400;2;6;4;6;2;250;834;71
2026-06-23 09:03:21.145;Pivô de Alta → Baixa (venda);-1;172550;6;2;0;2;1;50;7129;1359
2026-06-23 09:03:24.032;Pivô de Alta → Baixa (venda);-1;172500;1;3;1;3;2;100;1505;285
2026-06-23 09:03:24.672;Pivô de Baixa → Alta (compra);1;172500;3;2;0;2;3;50;10398;1781
2026-06-23 09:03:28.475;Pivô de Alta → Baixa (venda);-1;172450;2;3;1;3;1;100;5501;1278
2026-06-23 09:03:33.980;Pivô de Alta → Baixa (venda);-1;172350;1;11;9;11;2;500;3416;723
2026-06-23 09:04:00.134;Pivô de Baixa → Alta (compra);1;171950;11;2;0;2;2;50;2143;324
2026-06-23 09:04:00.278;Pivô de Alta → Baixa (venda);-1;171900;2;2;0;2;1;50;295;56
2026-06-23 09:04:00.425;Pivô de Alta → Baixa (venda);-1;171850;1;2;0;2;1;50;7;3
2026-06-23 09:04:00.620;Pivô de Alta → Baixa (venda);-1;171800;1;2;0;2;7;50;3;1
2026-06-23 09:04:00.694;Pivô de Baixa → Alta (compra);1;171850;2;7;5;7;2;300;3265;665
2026-06-23 09:04:01.153;Pivô de Alta → Baixa (venda);-1;172050;7;2;0;2;1;50;133;19
2026-06-23 09:04:01.167;Pivô de Baixa → Alta (compra);1;172100;1;2;0;2;2;50;427;91
2026-06-23 09:04:01.307;Pivô de Alta → Baixa (venda);-1;172050;2;2;0;2;6;50;647;166
2026-06-23 09:04:01.539;Pivô de Baixa → Alta (compra);1;172100;2;6;4;6;2;250;588;192
2026-06-23 09:04:01.671;Pivô de Alta → Baixa (venda);-1;172250;6;2;0;2;2;50;547;29
2026-06-23 09:04:01.672;Pivô de Baixa → Alta (compra);1;172300;2;2;0;2;2;50;130;15
2026-06-23 09:04:01.674;Pivô de Alta → Baixa (venda);-1;172250;2;2;0;2;1;50;40;12
2026-06-23 09:04:01.722;Pivô de Alta → Baixa (venda);-1;172200;1;2;0;2;2;50;2;2
2026-06-23 09:04:01.729;Pivô de Baixa → Alta (compra);1;172250;2;2;0;2;2;50;56;3
2026-06-23 09:04:01.733;Pivô de Alta → Baixa (venda);-1;172200;2;2;0;2;1;50;12;9
2026-06-23 09:04:01.766;Pivô de Baixa → Alta (compra);1;172250;1;2;0;2;1;50;1;1
2026-06-23 09:04:01.801;Pivô de Alta → Baixa (venda);-1;172200;1;2;0;2;1;50;33;6
2026-06-23 09:04:01.832;Pivô de Alta → Baixa (venda);-1;172150;1;4;2;4;4;150;1;1
2026-06-23 09:04:01.835;Pivô de Baixa → Alta (compra);1;172100;4;4;2;4;4;150;298;11
2026-06-23 09:04:01.837;Pivô de Alta → Baixa (venda);-1;172150;4;4;2;4;4;150;1;1
2026-06-23 09:04:01.838;Pivô de Baixa → Alta (compra);1;172100;4;4;2;4;1;150;1;1
2026-06-23 09:04:01.860;Pivô de Baixa → Alta (compra);1;172250;1;2;0;2;3;50;5;3
2026-06-23 09:04:01.862;Pivô de Alta → Baixa (venda);-1;172200;2;3;1;3;3;100;1;1
2026-06-23 09:04:01.863;Pivô de Baixa → Alta (compra);1;172200;3;3;1;3;4;100;2;2
2026-06-23 09:04:01.863;Pivô de Alta → Baixa (venda);-1;172200;3;4;2;4;4;150;7;1
2026-06-23 09:04:01.864;Pivô de Baixa → Alta (compra);1;172150;4;4;2;4;2;150;42;14
2026-06-23 09:04:01.867;Pivô de Alta → Baixa (venda);-1;172200;4;2;0;2;2;50;3;1
2026-06-23 09:04:01.867;Pivô de Baixa → Alta (compra);1;172250;2;2;0;2;1;50;1;1
2026-06-23 09:04:01.923;Pivô de Alta → Baixa (venda);-1;172200;1;3;1;3;4;100;21;8
2026-06-23 09:04:01.934;Pivô de Baixa → Alta (compra);1;172200;3;4;2;4;2;150;37;10
2026-06-23 09:04:01.937;Pivô de Alta → Baixa (venda);-1;172250;4;2;0;2;1;50;39;8
2026-06-23 09:04:01.949;Pivô de Baixa → Alta (compra);1;172300;1;2;0;2;1;50;2;2
2026-06-23 09:04:01.962;Pivô de Alta → Baixa (venda);-1;172250;1;2;0;2;2;50;2;1
2026-06-23 09:04:01.965;Pivô de Baixa → Alta (compra);1;172300;2;2;0;2;1;50;9;4
