Data;Abertura;Máxima;Mínima;Fechamento;AgressionVolBuy;AgressionVolSell;BarDurationF;Quantity;Trades
14/08/2026 14:10:21.320;332500;332520;332500;332520;8;0;0;8;5
14/08/2026 14:07:25.721;332360;332500;332140;332500;262;150;2,92;412;130
14/08/2026 14:04:10.484;332360;332520;332220;332220;240;251;3,25;491;126
14/08/2026 13:54:00.919;332360;332500;332080;332500;829;903;10,15;1732;471
14/08/2026 13:50:30.297;332360;332540;332220;332220;194;547;3,5;741;214
14/08/2026 13:46:22.473;332500;332660;332360;332360;238;572;4,12;810;237
14/08/2026 13:32:50.031;332640;332920;332500;332500;901;954;13,53;1855;476
14/08/2026 13:30:07.335;332640;332780;332360;332780;558;346;2,7;904;165
14/08/2026 13:29:49.455;332500;332640;332320;332640;329;59;0,28;388;52
14/08/2026 13:28:48.958;332500;332600;332360;332360;146;248;1;394;91
14/08/2026 13:27:30.788;332640;332880;332500;332500;413;378;1,3;791;167
14/08/2026 13:23:36.801;332640;332780;332420;332780;1060;319;3,88;1379;225
14/08/2026 13:22:21.134;332500;332640;332420;332640;133;228;1,25;361;75
14/08/2026 13:13:25.739;332360;332500;332120;332500;671;630;8,92;1301;313
14/08/2026 13:13:12.233;332360;332360;332220;332220;9;73;0,22;82;42
14/08/2026 13:12:37.596;332500;332720;332360;332360;174;270;0,57;444;97
14/08/2026 13:12:24.100;332500;332640;332480;332640;173;43;0,22;216;54
14/08/2026 13:11:00.032;332360;332500;332340;332500;472;341;1,4;813;194
14/08/2026 13:10:38.729;332220;332360;332220;332360;259;55;0,35;314;82
14/08/2026 13:08:51.788;332080;332220;331800;332220;320;187;1,77;507;94
14/08/2026 13:08:09.927;332080;332260;331940;331940;158;317;0,68;475;85
14/08/2026 13:07:23.017;332080;332220;332040;332220;101;26;0,77;127;32
14/08/2026 13:07:10.357;331940;332080;331900;332080;206;101;0,2;307;40
14/08/2026 13:05:27.782;331800;331940;331620;331940;124;121;1,7;245;96
